,category,outliers,words
0,Q920890,"['Periscope', 'Ingress', 'iWeb', 'iPhoto', 'Uw-vandalism3', 'Operational_plan', '']","['Windows_Phone', 'CyanogenMod', 'Bada', 'Symbian', 'Maemo', 'Firefox_OS', 'iOS', 'Android']"
1,Q181175,"['population_density', 'mass_number', 'golden_ratio', 'imaginary_unit', 'apparent_magnitude', 'commutative', '']","['mass', 'capacitance', 'electric_charge', 'time', 'pressure', 'electric_potential', 'resistance', 'electromotive_force']"
2,Q124734,"['Kristallnacht', 'New_York_Draft_Riots', 'oxymoron', 'aphorism', 'reality', 'reason', '']","[""Peasants'_Revolt"", '2011_Yemeni_uprising', 'Easter_Rising', 'Nika_riots', 'Indian_Mutiny', 'Kronstadt_rebellion', 'Boxer_Rebellion', 'Taiping_Rebellion']"
3,Q41156,"['Jafara', 'Murqub_District', 'Thirteen_Colonies', 'SAP_Kosovo', 'Vicenza', 'Venice', '']","['Gyeongju', 'Seoul', 'Goyang', 'Chuncheon', 'Andong', 'Suwon', 'Seongnam', 'Jeonju']"
4,Q1762059,"['21st_Century_Fox', 'KBS', 'Very_Large_Array', 'Spektr-R', '']","['National_Geographic_Society', 'Paramount_Pictures', 'Disney', 'HBO', 'Pixar', '20th_Century_Fox', 'Universal_Pictures', 'Warner_Bros.']"
5,Q1401585,"['demesne', 'Satsuma_Domain', 'Ayl', 'Bachenberg', 'Lower_Sava_Statistical_Region', 'Gorizia_Statistical_Region', '']","['Eisenach', 'Suhl', 'Weimar', 'Aalen', 'Calw', 'Bottrop', 'Baden-Baden', 'Rastatt']"
6,Q24862,"['Apertium', 'The_Burning_Crusade', 'soft_science_fiction', 'space_opera', '']","['The_Red_Balloon', ""Geri's_Game"", 'Vincent', 'Ghosts', 'Captain_EO', 'La_Jetée', 'Frankenweenie', 'Steamboat_Willie']"
7,Q180684,"['55', 'oxymoron', 'Number_of_the_Beast', 'figure_of_speech', 'Sindarin', 'Simlish', '']","['Arab–Israeli_conflict', 'Suez_Crisis', 'Operation_Barbarossa', 'Hungarian_Revolution_of_1956', 'War_of_the_Spanish_Succession', 'Balkan_Wars', 'Crimean_War', 'Napoleonic_Wars']"
8,Q34442,"['Bowery', 'Channel_Tunnel', 'Baden_Airpark', 'King_Abdulaziz_International_Airport', '25_de_Abril_Bridge', 'Vauxhall_Bridge', '']","['freeway', 'Downing_Street', 'Oxford_Street', 'Route_1', 'Interstate_Highway_System', 'Piccadilly_Circus', 'U.S._Route_66', 'Whitehall']"
9,Q4632675,"['Misselwarden', 'Uthlede', 'Gilbert_Islands', 'Sirte', 'Viterbo', 'Verona', '']","['Ablain-Saint-Nazaire', 'Allaines', 'Albert', 'Aizecourt-le-Haut', 'Ablainzevelle', 'Aizecourt-le-Bas', 'Ablaincourt-Pressoir', 'Vitry-en-Artois']"
10,Q57318,"['Tarn', 'department', 'countries', 'raion', '']","['Regensburg', 'Überlingen', 'Frankfurt', 'Aalen', 'Nuremberg', 'Wetzlar', 'Aachen', 'Gelnhausen']"
11,Q2590445,"['Kif_Kroker', 'Mickey_Mouse', 'Wrath_of_the_Lich_King', 'The_Burning_Crusade', ""Na'vi"", 'Simlish', '']","['Yuuzhan_Vong', 'Wookiee', 'Tusken_Raiders', 'Ancients', 'Ewok', 'jötunn', 'Borg', 'Hutt']"
12,Q203904,"['Saruman', 'wizard', 'Halle_Berry', 'Sherlock_Holmes', 'Jingtai_Emperor', 'Hu_Yaobang', '']","['Fingolfin', 'Fëanor', 'Finwë', 'Thranduil', 'Galadriel', 'Gil-galad', 'Legolas', 'Celeborn']"
13,Q188025,"['Lake_Nipigon', 'Lake_Balaton', 'Lake_Kariba', 'Lake_Tisza', 'Donoussa', 'Elephant_Island', '']","['Poopó_Lake', 'Lake_Natron', 'Uvs_Nuur', 'Lake_Van', 'Lop_Nur', 'Caspian_Sea', 'Lake_Urmia', 'Great_Salt_Lake']"
14,Q299191,"['correspondence_chess', 'Immortal_Game', 'Reversi', 'Battleship', 'snowball_fight', 'bridge', '']","['blindfold_chess', 'xiangqi', 'Chess_boxing', 'Chess960', 'shogi', 'Chaturanga', 'rapid', 'shatranj']"
15,Q171318,"['theism', 'Eleusinian_Mysteries', 'Long_Walls', 'wall', 'Ak_Koyunlu', 'Lisu', '']","['mother', 'father', 'son', 'daughter', 'brother', 'uncle', 'grandmother', 'cousin']"
16,Q250811,"[""Daxing'anling_Prefecture"", 'Hotan_Prefecture', 'Korla', 'Yarkand', 'Songjiang_District', 'Jiading', '']","['Harbin', 'Guangzhou', 'Chengdu', 'Wuhan', ""Xi'an"", 'Nanjing', 'Shenzhen', 'Hangzhou']"
17,Q1778821,"['fried', 'braised', 'Duga-3', 'stilts', 'Brown_bread', 'chorba', '']","['New_Nordic_cuisine', 'Fricot', 'English_cuisine', 'Ghapama', 'Gheimeh', 'molecular_gastronomy', 'vegetarian', 'Catalan_cuisine']"
18,Q2074737,"['Fjarðabyggð', 'Seyðisfjörður', 'Rhein-Neckar-Kreis', 'Karlsruhe', 'Almaty', 'Maputo', '']","['Seville', 'Barcelona', 'Lugo', 'Madrid', 'Santiago_de_Compostela', 'Almazán', 'Monzón', 'Valencia']"
19,Q14904124,"['funeral', 'buried_at_sea', 'Typhoon_Haiyan', '1970_Bhola_cyclone', 'milking', 'excavation', '']","['shipbuilding', 'broken_up', 'laid_down', 'scuttled', 'foundered', 'maiden_voyage', 'launched', 'floated_out']"
20,Q2672914,"['stimuli', 'action', 'plasticity', 'electron_configuration', 'commutative', 'range', '']","['momentum', 'electric_dipole_moment', 'magnetization', 'angular_momentum', 'current_density', 'velocity', 'torque', 'impulse']"
21,Q257978,"['Emporia', 'Portsmouth,_Virginia', 'Krasnobród', 'Goldendale,_Washington', 'Rota', 'Sanford', '']","['Karlovy_Vary', 'Liberec', 'Pardubice', 'Olomouc', 'Ostrava', 'Plzeň', 'Brno', 'České_Budějovice']"
22,Q937876,"['Yli-Ii', 'Ekenäs', '10th_arrondissement_of_Paris', '11th_arrondissement_of_Paris', 'Ciutat_Vella', 'Kazimierz', '']","['Vallès_Occidental', 'Vallès_Oriental', 'Osona', 'Cerdanya', ""Val_d'Aran"", 'Baix_Llobregat', 'Barcelonès', 'Alt_Empordà']"
23,Q11086742,"['Fear_Factor', 'Elmer_Fudd', 'game_show', 'talent_show', 'Torre_Ejecutiva_Pemex', 'Fort_Eben-Emael', '']","['Fairy_Tail', 'Neon_Genesis_Evangelion', 'Shaman_King', 'Death_Note', 'Yu-Gi-Oh!', 'Rurouni_Kenshin', 'Dragon_Ball_Z', 'Cowboy_Bebop']"
24,Q677678,"['Lahore_Fort', 'Belém_Tower', 'Praça_do_Comércio', 'Torre_de_Cristal', '']","['Naarden', 'Dubrovnik', 'Groningen', 'Gorinchem', 'Harderwijk', 'Carcassonne', 'Weesp', 'Damme']"
25,Q448801,"['Neckar-Odenwald-Kreis', 'Heilbronn', 'British_Government', 'Navarre', 'County_Antrim', 'County_Tyrone', '']","['Zwickau', 'Reutlingen', 'Konstanz', 'Dachau', 'Tübingen', 'Bautzen', 'Görlitz', 'Meissen']"
26,Q15089,"['Soliera', 'Vignola', 'Line_Islands', 'Jafara', 'Brembate', 'Bracca', '']","['Palermo', 'Pescara', ""L'Aquila"", 'Agrigento', 'Trentino', 'Chieti', 'South_Tyrol', 'Piacenza']"
27,Q4892352,"['graphics_software', 'iWeb', 'bed_sheet', 'handkerchief', 'Tunisia_at_the_Olympics', 'Navigation_Boxes_for_Jewish_[and_Israeli]_Holidays', '']","['Windows_Live_Messenger', 'Skype', 'Viber', 'ICQ', 'Pidgin', 'WhatsApp', 'Miranda_IM', 'QQ']"
28,Q3091916,"['Saint-Maurice', 'Arlesheim', 'Stuttgart', 'Ciutat_Vella', 'Locarno', 'Vallemaggia', '']","['Surselva', 'Maloja', 'Plessur', 'Landquart', 'Albula', 'Hinterrhein', 'Inn', 'Imboden']"
