,word1,word2,relation
0,shirt,re-join,?
1,carrot,world-view,?
2,pheasant,anti-virus,?
3,blouse,fancy,attri
4,blouse,expensive,attri
5,blouse,elegant,attri
6,blouse,dirty,attri
7,blouse,fashionable,attri
8,blouse,comfortable,attri
9,blouse,colorful,attri
10,blouse,clean,attri
11,blouse,blue,attri
12,blouse,black,attri
13,blouse,big,attri
14,battleship,expensive,attri
15,blouse,colourful,attri
16,blouse,feminine,attri
17,blouse,formal,attri
18,blouse,large,attri
19,blouse,long,attri
20,blouse,loose,attri
21,blouse,new,attri
22,blouse,nice,attri
23,blouse,old,attri
24,blouse,pretty,attri
25,blouse,red,attri
26,blouse,short,attri
27,blouse,small,attri
28,blouse,striped,attri
29,blouse,tight,attri
30,blouse,white,attri
31,blouse,clean,attri
32,battleship,destructive,attri
33,battleship,dangerous,attri
34,alligator,aggressive,attri
35,battleship,fast,attri
36,flute,old,attri
37,flute,noisy,attri
38,flute,new,attri
39,flute,melodious,attri
40,flute,loud,attri
41,flute,long,attri
42,flute,expensive,attri
43,flute,big,attri
44,clarinet,tall,attri
45,clarinet,small,attri
46,clarinet,short,attri
47,trout,young,attri
48,trout,slimy,attri
49,trout,silver,attri
50,battleship,big,attri
51,trout,silent,attri
52,trout,oily,attri
53,trout,good,attri
54,trout,fresh,attri
55,trout,edible,attri
56,clarinet,old,attri
57,clarinet,noisy,attri
58,clarinet,new,attri
59,clarinet,melodious,attri
60,clarinet,loud,attri
61,clarinet,long,attri
62,clarinet,expensive,attri
63,clarinet,big,attri
64,battleship,armed,attri
65,battleship,armoured,attri
66,trout,old,attri
67,battleship,gray,attri
68,battleship,grey,attri
69,battleship,heavy,attri
70,cloak,loose,attri
71,cloak,new,attri
72,cloak,nice,attri
73,cloak,old,attri
74,cloak,pretty,attri
75,cloak,red,attri
76,cloak,short,attri
77,cloak,small,attri
78,cloak,warm,attri
79,cloak,white,attri
80,cloak,clean,attri
81,cello,old,attri
82,cello,new,attri
83,cello,melodious,attri
84,cello,large,attri
85,cello,expensive,attri
86,cello,brown,attri
87,coat,colorful,attri
88,coat,clean,attri
89,coat,big,attri
90,wasp,black,attri
91,wasp,dangerous,attri
92,wasp,noisy,attri
93,cloak,long,attri
94,wasp,yellow,attri
95,salmon,big,attri
96,salmon,edible,attri
97,salmon,fast,attri
98,salmon,fresh,attri
99,salmon,golden,attri
100,cello,big,attri
101,salmon,beautiful,attri
102,flute,small,attri
103,cloak,large,attri
104,cloak,grey,attri
105,battleship,huge,attri
106,battleship,large,attri
107,battleship,long,attri
108,battleship,mighty,attri
109,battleship,new,attri
110,battleship,old,attri
111,battleship,powerful,attri
112,battleship,slow,attri
113,cello,small,attri
114,salmon,young,attri
115,salmon,slimy,attri
116,salmon,silver,attri
117,salmon,silent,attri
118,salmon,pink,attri
119,salmon,old,attri
120,salmon,oily,attri
121,salmon,long,attri
122,cloak,gray,attri
123,cloak,fashionable,attri
124,cloak,fancy,attri
125,cloak,elegant,attri
126,cloak,dirty,attri
127,cloak,comfortable,attri
128,cloak,heavy,attri
129,cloak,colourful,attri
130,cloak,clean,attri
131,bull,big,attri
132,cloak,black,attri
133,cloak,big,attri
134,salmon,good,attri
135,salmon,large,attri
136,cloak,colorful,attri
137,flute,thin,attri
138,villa,clean,attri
139,villa,spacious,attri
140,piano,small,attri
141,piano,old,attri
142,piano,new,attri
143,piano,melodious,attri
144,piano,loud,attri
145,piano,large,attri
146,piano,expensive,attri
147,piano,electrical,attri
