,word1,word2,relation
0,horse,hog,coord
1,lake,lough,coord
2,lake,dam,coord
3,lake,lin,coord
4,lake,alberca,coord
5,lake,maroon,coord
6,lake,puddle,coord
7,lake,reservoir,coord
8,lake,dike,coord
9,language,poetry,coord
10,language,phraseology,coord
11,language,dialect,coord
12,language,speech,coord
13,language,talking,coord
14,language,expression,coord
15,language,patois,coord
16,lake,slab,coord
17,language,prose,coord
18,lake,dyke,coord
19,lake,loch,coord
20,knife,penknife,coord
21,knife,razor,coord
22,lady,noblewoman,coord
23,lady,peeress,coord
24,lady,woman,coord
25,lady,female,coord
26,lady,dame,coord
27,lake,broad,coord
28,lake,plash,coord
29,lake,pond,coord
30,lake,ditch,coord
31,lake,pool,coord
32,lake,mere,coord
33,lake,carnation,coord
34,lake,tarn,coord
35,lake,barachois,coord
36,knife,whittle,coord
37,language,idiom,coord
38,language,lingo,coord
39,law,grace,coord
40,law,charter,coord
41,law,constitution,coord
42,law,statute,coord
43,law,pandect,coord
44,law,rule,coord
45,law,decree,coord
46,law,theory,coord
47,lawyer,civilian,coord
48,lawyer,counsellor,coord
49,lawyer,counsel,coord
50,lawyer,legist,coord
51,lawyer,advocate,coord
52,lawyer,jurist,coord
53,lawyer,sergeant-at-law,coord
54,law,directive,coord
55,language,tongue,coord
56,law,jurisprudence,coord
57,law,principle,coord
58,language,vernacular,coord
59,language,style,coord
60,language,words,coord
61,language,writing,coord
62,law,edict,coord
63,law,bylaw,coord
64,law,ruling,coord
65,law,rubric,coord
66,law,code,coord
67,law,formula,coord
68,law,concession,coord
69,law,act,coord
70,law,license,coord
71,law,commandment,coord
72,law,enactment,coord
73,law,regulation,coord
74,lawyer,barrister,coord
75,kazakhstan,kazakh,coord
76,kazakhstan,kazakstan,coord
77,judge,guess,coord
78,judge,court,coord
79,judge,selectman,coord
80,judge,municipality,coord
81,judge,referee,coord
82,judge,ascertain,coord
83,judge,determine,coord
84,judge,decide,coord
85,judge,reviewer,coord
86,judge,connoisseur,coord
87,judge,constable,coord
88,judge,chancellor,coord
89,judge,justice,coord
90,judge,justiciar,coord
91,judge,authority,coord
92,judge,conclude,coord
93,judge,bailiwick,coord
94,judge,bumbledom,coord
95,judge,adjudicator,coord
96,judge,conoscente,coord
97,judge,j.p,coord
98,judge,sheriff,coord
99,judge,magistrate,coord
100,judge,umpire,coord
101,judge,arbitrator,coord
102,judge,moderator,coord
103,judge,critic,coord
104,judge,recorder,coord
105,judge,mediate,coord
106,judge,police,coord
107,judge,shrieve,coord
108,judge,expert,coord
109,judge,gendarmerie,coord
110,judge,evaluator,coord
111,judge,asessor,coord
112,kazakhstan,kazak,coord
113,judge,assess,coord
114,judge,arbiter,coord
115,justice,even-handedness,coord
116,justice,commerce,coord
117,justice,integrity,coord
118,justice,righteousness,coord
119,justice,evenhandedness,coord
120,justice,equitableness,coord
121,justice,honesty,coord
122,justice,justness,coord
123,justice,equity,coord
124,justice,acceptability,coord
125,justice,treasury,coord
126,justice,validity,coord
127,justice,justiciar,coord
128,justice,truthfulness,coord
129,justice,propriety,coord
130,justice,rightfulness,coord
131,judge,virtuoso,coord
132,justice,justiciary,coord
133,justice,principle,coord
134,judge,corporation,coord
135,judge,jurist,coord
136,judge,pronounce,coord
137,judge,beak,coord
138,judge,justiciary,coord
139,judge,constabulary,coord
140,judge,stagirite,coord
141,judge,adjudicate,coord
142,judge,euphemist,coord
143,judge,tribunal,coord
144,judge,dilettante,coord
145,judge,aristarchus,coord
146,judge,estimate,coord
147,justice,impartiality,coord
148,justice,reasonableness,coord
149,justice,fairness,coord
150,lawyer,judge,coord
151,lawyer,pundit,coord
152,lawyer,publicist,coord
153,logician,theorist,coord
154,logician,dreamer,coord
155,logician,truth-seeker,coord
156,logician,thinker,coord
157,logician,dialectician,coord
158,logician,academic,coord
159,machinist,mechanician,coord
160,machinist,hand,coord
161,machinist,worker,coord
162,machinist,engineer,coord
163,machinist,operator,coord
164,machinist,mechanic,coord
165,madame,mistress,coord
166,madame,goody,coord
167,madame,dowager,coord
168,logician,logistician,coord
169,madame,gammer,coord
170,lobbyist,asker,coord
171,lobbyist,activist,coord
172,literature,text,coord
173,literature,letters,coord
174,literature,scholarship,coord
175,literature,writing,coord
176,loan,lend,coord
177,loan,mortgage,coord
178,loan,finance,coord
179,loan,accommodation,coord
180,loan,feneration,coord
181,loan,advance,coord
182,loan,credit,coord
183,lobbyist,contributor,coord
184,lobbyist,supplicant,coord
185,lobbyist,client,coord
186,lobbyist,requester,coord
187,lobbyist,campaigner,coord
188,literature,prose,coord
189,madame,matron,coord
190,maestro,whiz,coord
191,mammal,worm,coord
192,mammal,amphibian,coord
193,mammal,reptile,coord
194,mango,sturgeon,coord
195,mango,vanilla,coord
196,mango,trepang,coord
197,mango,waffle,coord
198,mango,pineapple,coord
199,mango,succotash,coord
200,mango,walnut,coord
201,mango,oyster,coord
202,mango,oatmeal,coord
203,mango,sauerkraut,coord
204,mango,supawn,coord
205,mango,mangosteen,coord
206,mammal,bird,coord
207,maestro,master,coord
208,mammal,microbe,coord
209,mammal,arthropod,coord
210,maestro,expert,coord
211,maestro,genius,coord
212,maestro,ace,coord
213,magician,prestidigitator,coord
214,magician,conjurer,coord
215,magician,performer,coord
216,magician,conjuror,coord
217,magician,illusionist,coord
218,magician,juggler,coord
219,mammal,shellfish,coord
220,mammal,mollusk,coord
221,mammal,animal,coord
222,mammal,insect,coord
223,mammal,fish,coord
224,mammal,crustacean,coord
225,mammal,creature,coord
226,literature,humanities,coord
227,literature,classics,coord
228,literature,journalism,coord
229,lecture,address,coord
230,lecture,scold,coord
231,lecture,talk,coord
232,lecture,speech,coord
233,lecture,discourse,coord
234,lecture,dressing-down,coord
235,lecture,pastoral,coord
236,lecturer,reader,coord
237,lecturer,prolocutor,coord
238,lecturer,prelector,coord
239,lecturer,preacher,coord
240,legislature,institution,coord
241,legislature,plebiscite,coord
242,legislature,law-makers,coord
243,legislature,byelaw,coord
244,lecture,teach,coord
245,legislature,decree,coord
246,lecture,peroration,coord
247,lecture,wigging,coord
248,lawyer,leader,coord
249,lawyer,bencher,coord
250,lawyer,attorney,coord
251,lawyer,tubman,coord
252,lecture,homily,coord
253,lecture,tirade,coord
254,lecture,scolding,coord
255,lecture,rating,coord
256,lecture,pandect,coord
257,lecture,sermon,coord
258,lecture,harangue,coord
259,lecture,criticize,coord
260,lecture,lecturing,coord
261,lecture,reprimand,coord
262,lecture,instruct,coord
263,lecture,trimming,coord
264,legislature,government,coord
265,legislature,code,coord
266,legislature,pandect,coord
267,liberation,disenthrallment,coord
268,liberation,affranchisement,coord
269,liberation,emancipation,coord
270,liberation,discharge,coord
271,liberation,disenthralment,coord
272,liberation,release,coord
273,liberation,freeing,coord
274,liberation,liberty,coord
275,liberation,deliverance,coord
276,liberation,disengagement,coord
277,liberation,manumission,coord
278,liberation,freedom,coord
279,liberation,dismissal,coord
280,liberation,enfranchisement,coord
281,literature,copy,coord
282,liberation,enlargement,coord
283,leisure,relaxation,coord
284,leisure,ease,coord
285,leisure,time,coord
286,legislature,charter,coord
287,legislature,ordonnance,coord
288,legislature,regulation,coord
289,legislature,constitution,coord
290,legislature,canon,coord
291,legislature,enactment,coord
292,legislature,judiciary,coord
293,judge,arbitrate,coord
294,legislature,administration,coord
295,legislature,parliament,coord
296,legislature,statute,coord
297,legislature,law,coord
298,legislature,bylaw,coord
299,legislature,rule,coord
300,leisure,convenience,coord
301,leisure,holiday,coord
302,legislature,ordinance,coord
303,judge,shrievalty,coord
304,judaism,babism,coord
305,judaism,mormonism,coord
306,idealist,romanticist,coord
307,idealist,dreamer,coord
308,idealist,visionary,coord
309,idealist,rhapsodist,coord
310,idealist,mopus,coord
311,idealist,castle-buildier,coord
312,idealist,romancer,coord
313,idealist,romantic,coord
314,idealist,somnambulist,coord
315,immigration,demigration,coord
316,immigration,intermigration,coord
317,immigration,colonization,coord
318,immigration,migration,coord
319,immigration,in-migration,coord
320,innovation,metastasis,coord
321,idealist,optimist,coord
322,innovation,evolution,coord
323,hysteria,frenzy,coord
324,hysteria,hysterics,coord
325,husband,baron,coord
326,husband,companion,coord
327,husband,hubby,coord
328,husband,surveyor,coord
329,husband,wife,coord
330,husband,ranger,coord
331,husband,visitor,coord
332,husband,spouse,coord
333,husband,inspector,coord
334,husband,partner,coord
335,hypothesis,postulatum,coord
336,hypothesis,postulate,coord
337,hypothesis,possibility,coord
338,hypothesis,theory,coord
339,hysteria,madness,coord
340,hysteria,panic,coord
341,husband,consort,coord
342,innovation,renovation,coord
343,innovation,deviation,coord
344,intellect,understanding,coord
345,intellect,wit,coord
346,intellect,verstand,coord
347,intellect,percipience,coord
348,intellect,ability,coord
349,intellect,intelligence,coord
350,intellect,faculties,coord
351,intellect,senses,coord
352,investor,speculator,coord
353,investor,angel,coord
354,investor,coupon-clipper,coord
355,investor,bull,coord
356,investor,operator,coord
357,investor,depositor,coord
358,investor,buyer,coord
359,intellect,brains,coord
360,innovation,turn,coord
361,intellect,intellection,coord
362,intellect,reason,coord
363,innovation,revolution,coord
364,intellect,intuition,coord
365,intellect,mind,coord
366,intellect,observation,coord
367,intellect,instinct,coord
368,intellect,intellectuality,coord
369,intellect,judgment,coord
370,intellect,consciousness,coord
371,intellect,genius,coord
372,intellect,wisdom,coord
373,intellect,vernunft,coord
374,intellect,parts,coord
375,intellect,wits,coord
376,intellect,capacity,coord
377,intellect,rationality,coord
378,intellect,conception,coord
379,hunger,yearning,coord
380,hunger,appetite,coord
381,hunger,craving,coord
382,horse,lamb,coord
383,horse,stallion,coord
384,horse,pig,coord
385,horse,kine,coord
386,horse,voltigeur,coord
387,horse,goer,coord
388,horse,swine,coord
389,horse,jade,coord
390,horse,charger,coord
391,horse,artillery,coord
392,horse,bullock,coord
393,horse,lambkin,coord
394,horse,stot,coord
395,horse,foal,coord
396,horse,thoroughbred,coord
397,horse,hussar,coord
398,horse,pad,coord
399,horse,punch,coord
400,horse,buffalo,coord
401,horse,sheep,coord
402,horse,barb,coord
403,horse,roan,coord
404,horse,sow,coord
405,horse,dragoon,coord
406,horse,cattle,coord
407,horse,teg,coord
408,horse,shorthorn,coord
409,horse,tag,coord
410,horse,bull,coord
411,horse,calf,coord
412,horse,nag,coord
413,horse,steed,coord
414,horse,ram,coord
415,horse,cow,coord
416,horse,cob,coord
417,horse,palfrey,coord
418,horse,pony,coord
419,horse,tup,coord
420,human,person,coord
421,human,individual,coord
422,human,soul,coord
423,hunger,hungriness,coord
424,hunger,starvation,coord
425,hunger,longing,coord
426,hunger,thirst,coord
427,hunger,twist,coord
428,hunger,hankering,coord
429,hunger,passion,coord
430,hunger,thirstiness,coord
431,hunger,hanker,coord
432,hunger,desire,coord
433,hunger,famine,coord
434,hunger,stomach,coord
435,human,creature,coord
436,hotel,court,coord
437,hotel,khan,coord
438,hotel,hall,coord
439,horse,mare,coord
440,hospital,infirmary,coord
441,hospital,pesthouse,coord
442,hospital,lazarhouse,coord
443,hospital,hospice,coord
444,hospital,sickbay,coord
445,hospital,lazaretto,coord
446,investor,saver,coord
447,hospital,sanatorium,coord
448,hotel,hospice,coord
449,hotel,caravansary,coord
450,hotel,tavern,coord
451,hotel,manor-house,coord
452,hotel,lodge,coord
453,hotel,palace,coord
454,hotel,inn,coord
455,hospital,ambulance,coord
456,mango,salmis,coord
457,investor,sponsor,coord
458,investor,scalper,coord
459,joke,pretend,coord
460,joke,fudge,coord
461,joke,jest,coord
462,joke,stunt,coord
463,joke,tease,coord
464,joke,hoax,coord
465,joke,laugh,coord
466,joke,prank,coord
467,journey,ramble,coord
468,journey,ambulation,coord
469,journey,peregrination,coord
470,journey,airing,coord
471,journey,promenade,coord
472,journey,noctambulism,coord
473,journey,stalk,coord
474,joke,jibe,coord
475,journey,walk,coord
476,joke,story,coord
477,joke,tale,coord
478,job,dealings,coord
479,job,appointment,coord
480,job,commission,coord
481,job,doings,coord
482,job,duty,coord
483,job,charge,coord
484,job,activity,coord
485,job,affair,coord
486,job,blow,coord
487,job,passage,coord
488,joke,kid,coord
489,joke,fiddlestick,coord
490,joke,gag,coord
491,joke,jape,coord
492,joke,yarn,coord
493,joke,trick,coord
494,job,vacancy,coord
495,journey,pilgrimage,coord
496,journey,ride,coord
497,journey,expedition,coord
498,judaism,hinduism,coord
499,judaism,mohammedanism,coord
500,judaism,gnosticism,coord
501,judaism,islam,coord
502,judaism,neoplatonism,coord
503,judaism,sabianism,coord
504,judaism,hylotheism,coord
505,judaism,brahminism,coord
506,judaism,islamism,coord
507,judaism,hebraism,coord
508,judaism,turcism,coord
509,judaism,buddhism,coord
510,judaism,gentilism,coord
511,judaism,sufiism,coord
512,journey,journeying,coord
513,journey,somnambulism,coord
514,journey,hajj,coord
515,journey,perambulation,coord
516,journey,turn,coord
517,journey,constitutional,coord
518,journey,saunter,coord
519,journey,excursion,coord
520,journey,march,coord
521,journey,discursion,coord
522,journey,noctambulation,coord
523,journey,tour,coord
524,journey,tramp,coord
525,journey,outing,coord
526,journey,circuit,coord
527,journey,trek,coord
528,journey,trip,coord
529,journey,stroll,coord
530,journey,drive,coord
531,journey,jaunt,coord
532,job,shuffle,coord
533,job,proceeding,coord
534,job,chore,coord
535,jewel,treasure,coord
536,jewel,gemstone,coord
537,jewel,diamond,coord
538,jewel,jewellery,coord
539,jewel,sparkler,coord
540,jewel,bijoutry,coord
541,jewel,crystal,coord
542,jewel,gem,coord
543,jewel,brilliant,coord
544,jewel,ruby,coord
545,jewel,trinket,coord
546,jewel,prince,coord
547,jewel,pearl,coord
548,jewel,jewelry,coord
549,jewel,bijou,coord
550,jeep,landrover,coord
551,jewel,rock,coord
552,jeep,steamer,coord
553,jackpot,prize,coord
554,investor,arbitrager,coord
555,investor,stockholder,coord
556,investor,shareholder,coord
557,investor,patron,coord
558,investor,backer,coord
559,investor,financier,coord
560,investor,share-holder,coord
561,investor,arbitrageur,coord
562,itinerary,tour,coord
563,itinerary,guide,coord
564,itinerary,journey,coord
565,itinerary,program,coord
566,itinerary,schedule,coord
567,itinerary,circuit,coord
568,itinerary,route,coord
569,jackpot,bonanza,coord
570,jewel,bijouterie,coord
571,jewelry,jewels,coord
572,jewelry,rings,coord
573,job,situation,coord
574,job,trade,coord
575,job,employment,coord
576,job,responsibility,coord
577,job,post,coord
578,job,bout,coord
579,job,care,coord
580,job,profession,coord
581,job,work,coord
582,job,step,coord
583,job,occupation,coord
584,job,errand,coord
585,job,career,coord
586,job,task,coord
587,job,mission,coord
588,job,stroke,coord
589,job,measure,coord
590,job,maneuver,coord
591,jingle,song,coord
592,jewelry,trinkets,coord
593,jewelry,charms,coord
594,jewelry,ornaments,coord
595,jewelry,necklaces,coord
596,jewelry,jewellery,coord
597,jewelry,bracelets,coord
598,jewelry,earrings,coord
599,investor,bear,coord
600,jingle,ring,coord
601,jingle,ditty,coord
602,jingle,clink,coord
603,jingle,refrain,coord
604,jingle,tinkle,coord
605,jingle,chorus,coord
606,jingle,rattle,coord
607,jingle,jangle,coord
608,jingle,tune,coord
609,mango,porridge,coord
610,marble,satsuma,coord
611,marble,knob,coord
612,mutation,metamorphosis,coord
613,mutation,variation,coord
614,mutation,deviation,coord
615,mutation,transformation,coord
616,navy,marine,coord
617,navy,shipping,coord
618,navy,fleet,coord
619,navy,flotilla,coord
620,navy,squadron,coord
621,navy,armada,coord
622,newcomer,fledgeling,coord
623,newcomer,entrant,coord
624,newcomer,fledgling,coord
625,newcomer,freshman,coord
626,newcomer,emigrant,coord
627,mutation,metastasis,coord
628,newcomer,newbie,coord
629,mutation,transmutation,coord
630,mutation,modification,coord
631,musician,artiste,coord
632,musician,trumpeter,coord
633,musician,harper,coord
634,musician,organist,coord
635,musician,minstrel,coord
636,mutation,revolution,coord
637,mutation,mood,coord
638,mutation,change,coord
639,mutation,evolution,coord
640,mutation,alteration,coord
641,mutation,permutation,coord
642,mutation,modulation,coord
643,mutation,innovation,coord
644,mutation,turn,coord
645,mutation,inflexion,coord
646,mutation,qualification,coord
647,musician,instrumentalist,coord
648,news,information,coord
649,news,report,coord
650,nutriment,nourishment,coord
651,occupation,occupancy,coord
652,occupation,employment,coord
