,type,word1,word2,word3,target
0,0,solar system      , atom                          ,sun               , nucleus                       
1,0,solar system      , atom                          ,planet            , electron                      
2,0,solar system      , atom                          ,mass              , charge                        
3,0,solar system      , atom                          ,attracts          , attracts                      
4,0,solar system      , atom                          ,revolves          , revolves                      
5,0,solar system      , atom                          ,gravity           , electromagnetism              
6,0,sun               , nucleus                       ,planet            , electron                      
7,0,sun               , nucleus                       ,mass              , charge                        
8,0,sun               , nucleus                       ,attracts          , attracts                      
9,0,sun               , nucleus                       ,revolves          , revolves                      
10,0,sun               , nucleus                       ,gravity           , electromagnetism              
11,0,planet            , electron                      ,mass              , charge                        
12,0,planet            , electron                      ,attracts          , attracts                      
13,0,planet            , electron                      ,revolves          , revolves                      
14,0,planet            , electron                      ,gravity           , electromagnetism              
15,0,mass              , charge                        ,attracts          , attracts                      
16,0,mass              , charge                        ,revolves          , revolves                      
17,0,mass              , charge                        ,gravity           , electromagnetism              
18,0,attracts          , attracts                      ,revolves          , revolves                      
19,0,attracts          , attracts                      ,gravity           , electromagnetism              
20,0,revolves          , revolves                      ,gravity           , electromagnetism              
21,1,heat              , water                         ,transfers         , flows                         
22,1,heat              , water                         ,temperature       , pressure                      
23,1,heat              , water                         ,burner            , water tower                   
24,1,heat              , water                         ,kettle            , bucket                        
25,1,heat              , water                         ,heating           , filling                       
26,1,heat              , water                         ,cooling           , emptying                      
27,1,heat              , water                         ,thermodynamics    , hydrodynamics                 
28,1,transfers         , flows                         ,temperature       , pressure                      
29,1,transfers         , flows                         ,burner            , water tower                   
30,1,transfers         , flows                         ,kettle            , bucket                        
31,1,transfers         , flows                         ,heating           , filling                       
32,1,transfers         , flows                         ,cooling           , emptying                      
33,1,transfers         , flows                         ,thermodynamics    , hydrodynamics                 
34,1,temperature       , pressure                      ,burner            , water tower                   
35,1,temperature       , pressure                      ,kettle            , bucket                        
36,1,temperature       , pressure                      ,heating           , filling                       
37,1,temperature       , pressure                      ,cooling           , emptying                      
38,1,temperature       , pressure                      ,thermodynamics    , hydrodynamics                 
39,1,burner            , water tower                   ,kettle            , bucket                        
40,1,burner            , water tower                   ,heating           , filling                       
41,1,burner            , water tower                   ,cooling           , emptying                      
42,1,burner            , water tower                   ,thermodynamics    , hydrodynamics                 
43,1,kettle            , bucket                        ,heating           , filling                       
44,1,kettle            , bucket                        ,cooling           , emptying                      
45,1,kettle            , bucket                        ,thermodynamics    , hydrodynamics                 
46,1,heating           , filling                       ,cooling           , emptying                      
47,1,heating           , filling                       ,thermodynamics    , hydrodynamics                 
48,1,cooling           , emptying                      ,thermodynamics    , hydrodynamics                 
49,2,sounds            , waves                         ,wall              , shore                         
50,2,sounds            , waves                         ,echoes            , reflects                      
51,2,sounds            , waves                         ,air               , water                         
52,2,sounds            , waves                         ,insulation        , breakwater                    
53,2,sounds            , waves                         ,loud              , rough                         
54,2,sounds            , waves                         ,quiet             , calm                          
55,2,sounds            , waves                         ,vibrating         , crashing                      
56,2,wall              , shore                         ,echoes            , reflects                      
57,2,wall              , shore                         ,air               , water                         
58,2,wall              , shore                         ,insulation        , breakwater                    
59,2,wall              , shore                         ,loud              , rough                         
60,2,wall              , shore                         ,quiet             , calm                          
61,2,wall              , shore                         ,vibrating         , crashing                      
62,2,echoes            , reflects                      ,air               , water                         
63,2,echoes            , reflects                      ,insulation        , breakwater                    
64,2,echoes            , reflects                      ,loud              , rough                         
65,2,echoes            , reflects                      ,quiet             , calm                          
66,2,echoes            , reflects                      ,vibrating         , crashing                      
67,2,air               , water                         ,insulation        , breakwater                    
68,2,air               , water                         ,loud              , rough                         
69,2,air               , water                         ,quiet             , calm                          
70,2,air               , water                         ,vibrating         , crashing                      
71,2,insulation        , breakwater                    ,loud              , rough                         
72,2,insulation        , breakwater                    ,quiet             , calm                          
73,2,insulation        , breakwater                    ,vibrating         , crashing                      
74,2,loud              , rough                         ,quiet             , calm                          
75,2,loud              , rough                         ,vibrating         , crashing                      
76,2,quiet             , calm                          ,vibrating         , crashing                      
77,3,respiration       , combustion                    ,animal            , fire                          
78,3,respiration       , combustion                    ,food              , fuel                          
79,3,respiration       , combustion                    ,breathing         , burning                       
80,3,respiration       , combustion                    ,living            , hot                           
81,3,respiration       , combustion                    ,vigorous          , intense                       
82,3,respiration       , combustion                    ,oxygen            , oxygen                        
83,3,respiration       , combustion                    ,carbon dioxide    , carbon dioxide                
84,3,animal            , fire                          ,food              , fuel                          
85,3,animal            , fire                          ,breathing         , burning                       
86,3,animal            , fire                          ,living            , hot                           
87,3,animal            , fire                          ,vigorous          , intense                       
88,3,animal            , fire                          ,oxygen            , oxygen                        
89,3,animal            , fire                          ,carbon dioxide    , carbon dioxide                
90,3,food              , fuel                          ,breathing         , burning                       
91,3,food              , fuel                          ,living            , hot                           
92,3,food              , fuel                          ,vigorous          , intense                       
93,3,food              , fuel                          ,oxygen            , oxygen                        
94,3,food              , fuel                          ,carbon dioxide    , carbon dioxide                
95,3,breathing         , burning                       ,living            , hot                           
96,3,breathing         , burning                       ,vigorous          , intense                       
97,3,breathing         , burning                       ,oxygen            , oxygen                        
98,3,breathing         , burning                       ,carbon dioxide    , carbon dioxide                
99,3,living            , hot                           ,vigorous          , intense                       
100,3,living            , hot                           ,oxygen            , oxygen                        
101,3,living            , hot                           ,carbon dioxide    , carbon dioxide                
102,3,vigorous          , intense                       ,oxygen            , oxygen                        
103,3,vigorous          , intense                       ,carbon dioxide    , carbon dioxide                
104,3,oxygen            , oxygen                        ,carbon dioxide    , carbon dioxide                
105,4,light             , sound                         ,red               , low                           
106,4,light             , sound                         ,violet            , high                          
107,4,light             , sound                         ,reflects          , echoes                        
108,4,light             , sound                         ,bright            , loud                          
109,4,light             , sound                         ,dim               , quiet                         
110,4,light             , sound                         ,lens              , horn                          
111,4,red               , low                           ,violet            , high                          
112,4,red               , low                           ,reflects          , echoes                        
113,4,red               , low                           ,bright            , loud                          
114,4,red               , low                           ,dim               , quiet                         
115,4,red               , low                           ,lens              , horn                          
116,4,violet            , high                          ,reflects          , echoes                        
117,4,violet            , high                          ,bright            , loud                          
118,4,violet            , high                          ,dim               , quiet                         
119,4,violet            , high                          ,lens              , horn                          
120,4,reflects          , echoes                        ,bright            , loud                          
121,4,reflects          , echoes                        ,dim               , quiet                         
122,4,reflects          , echoes                        ,lens              , horn                          
123,4,bright            , loud                          ,dim               , quiet                         
124,4,bright            , loud                          ,lens              , horn                          
125,4,dim               , quiet                         ,lens              , horn                          
126,5,planet            , projectile                    ,orbit             , trajectory                    
127,5,planet            , projectile                    ,sun               , earth                         
128,5,planet            , projectile                    ,elliptical        , parabolic                     
129,5,planet            , projectile                    ,space             , air                           
130,5,planet            , projectile                    ,gravity           , gravity                       
131,5,planet            , projectile                    ,attracts          , attracts                      
132,5,orbit             , trajectory                    ,sun               , earth                         
133,5,orbit             , trajectory                    ,elliptical        , parabolic                     
134,5,orbit             , trajectory                    ,space             , air                           
135,5,orbit             , trajectory                    ,gravity           , gravity                       
136,5,orbit             , trajectory                    ,attracts          , attracts                      
137,5,sun               , earth                         ,elliptical        , parabolic                     
138,5,sun               , earth                         ,space             , air                           
139,5,sun               , earth                         ,gravity           , gravity                       
140,5,sun               , earth                         ,attracts          , attracts                      
141,5,elliptical        , parabolic                     ,space             , air                           
142,5,elliptical        , parabolic                     ,gravity           , gravity                       
143,5,elliptical        , parabolic                     ,attracts          , attracts                      
144,5,space             , air                           ,gravity           , gravity                       
145,5,space             , air                           ,attracts          , attracts                      
146,5,gravity           , gravity                       ,attracts          , attracts                      
147,6,species           , breeds                        ,competition       , selection                     
148,6,species           , breeds                        ,adaptation        , conformance                   
149,6,species           , breeds                        ,natural           , artificial                    
150,6,species           , breeds                        ,fitness           , popularity                    
151,6,species           , breeds                        ,mating            , breeding                      
152,6,species           , breeds                        ,wild              , domesticated                  
153,6,competition       , selection                     ,adaptation        , conformance                   
154,6,competition       , selection                     ,natural           , artificial                    
155,6,competition       , selection                     ,fitness           , popularity                    
156,6,competition       , selection                     ,mating            , breeding                      
157,6,competition       , selection                     ,wild              , domesticated                  
158,6,adaptation        , conformance                   ,natural           , artificial                    
159,6,adaptation        , conformance                   ,fitness           , popularity                    
160,6,adaptation        , conformance                   ,mating            , breeding                      
161,6,adaptation        , conformance                   ,wild              , domesticated                  
162,6,natural           , artificial                    ,fitness           , popularity                    
163,6,natural           , artificial                    ,mating            , breeding                      
164,6,natural           , artificial                    ,wild              , domesticated                  
165,6,fitness           , popularity                    ,mating            , breeding                      
166,6,fitness           , popularity                    ,wild              , domesticated                  
167,6,mating            , breeding                      ,wild              , domesticated                  
168,7,molecules         , balls                         ,gas               , billiards                     
169,7,molecules         , balls                         ,temperature       , speed                         
170,7,molecules         , balls                         ,container         , table                         
171,7,molecules         , balls                         ,pressing          , bouncing                      
172,7,molecules         , balls                         ,moving            , moving                        
173,7,molecules         , balls                         ,cold              , slow                          
174,7,molecules         , balls                         ,hot               , fast                          
175,7,gas               , billiards                     ,temperature       , speed                         
176,7,gas               , billiards                     ,container         , table                         
177,7,gas               , billiards                     ,pressing          , bouncing                      
178,7,gas               , billiards                     ,moving            , moving                        
179,7,gas               , billiards                     ,cold              , slow                          
180,7,gas               , billiards                     ,hot               , fast                          
181,7,temperature       , speed                         ,container         , table                         
182,7,temperature       , speed                         ,pressing          , bouncing                      
183,7,temperature       , speed                         ,moving            , moving                        
184,7,temperature       , speed                         ,cold              , slow                          
185,7,temperature       , speed                         ,hot               , fast                          
