,type,word1,word2,word3,target
0,JJ_JJR,good,better,rough,rougher
1,JJR_JJ,better,good,rougher,rough
2,JJ_JJS,good,best,rough,roughest
3,JJS_JJ,best,good,roughest,rough
4,JJS_JJR,best,better,roughest,rougher
5,JJR_JJS,better,best,rougher,roughest
6,JJ_JJR,good,better,mean,meaner
7,JJR_JJ,better,good,meaner,mean
8,JJ_JJS,good,best,mean,meanest
9,JJS_JJ,best,good,meanest,mean
10,JJS_JJR,best,better,meanest,meaner
11,JJR_JJS,better,best,meaner,meanest
12,JJ_JJR,good,better,heavy,heavier
13,JJR_JJ,better,good,heavier,heavy
14,JJ_JJS,good,best,heavy,heaviest
15,JJS_JJ,best,good,heaviest,heavy
16,JJS_JJR,best,better,heaviest,heavier
17,JJR_JJS,better,best,heavier,heaviest
18,JJ_JJR,good,better,mighty,mightier
19,JJR_JJ,better,good,mightier,mighty
20,JJ_JJS,good,best,mighty,mightiest
21,JJS_JJ,best,good,mightiest,mighty
22,JJS_JJR,best,better,mightiest,mightier
23,JJR_JJS,better,best,mightier,mightiest
24,JJ_JJR,good,better,noisy,noisier
25,JJR_JJ,better,good,noisier,noisy
26,JJ_JJS,good,best,noisy,noisiest
27,JJS_JJ,best,good,noisiest,noisy
28,JJS_JJR,best,better,noisiest,noisier
29,JJR_JJS,better,best,noisier,noisiest
30,JJ_JJR,high,higher,bad,worse
31,JJR_JJ,higher,high,worse,bad
32,JJ_JJS,high,highest,bad,worst
33,JJS_JJ,highest,high,worst,bad
34,JJS_JJR,highest,higher,worst,worse
35,JJR_JJS,higher,highest,worse,worst
36,JJ_JJR,high,higher,sad,sadder
37,JJR_JJ,higher,high,sadder,sad
38,JJ_JJS,high,highest,sad,saddest
39,JJS_JJ,highest,high,saddest,sad
40,JJS_JJR,highest,higher,saddest,sadder
41,JJR_JJS,higher,highest,sadder,saddest
42,JJ_JJR,high,higher,wild,wilder
43,JJR_JJ,higher,high,wilder,wild
44,JJ_JJS,high,highest,wild,wildest
45,JJS_JJ,highest,high,wildest,wild
46,JJS_JJR,highest,higher,wildest,wilder
47,JJR_JJS,higher,highest,wilder,wildest
48,JJ_JJR,high,higher,strict,stricter
49,JJR_JJ,higher,high,stricter,strict
50,JJ_JJS,high,highest,strict,strictest
51,JJS_JJ,highest,high,strictest,strict
52,JJS_JJR,highest,higher,strictest,stricter
53,JJR_JJS,higher,highest,stricter,strictest
54,JJ_JJR,high,higher,narrow,narrower
55,JJR_JJ,higher,high,narrower,narrow
56,JJ_JJS,high,highest,narrow,narrowest
57,JJS_JJ,highest,high,narrowest,narrow
58,JJS_JJR,highest,higher,narrowest,narrower
59,JJR_JJS,higher,highest,narrower,narrowest
60,JJ_JJR,great,greater,classy,classier
61,JJR_JJ,greater,great,classier,classy
62,JJ_JJS,great,greatest,classy,classiest
63,JJS_JJ,greatest,great,classiest,classy
64,JJS_JJR,greatest,greater,classiest,classier
65,JJR_JJS,greater,greatest,classier,classiest
66,JJ_JJR,great,greater,early,earlier
67,JJR_JJ,greater,great,earlier,early
68,JJ_JJS,great,greatest,early,earliest
69,JJS_JJ,greatest,great,earliest,early
70,JJS_JJR,greatest,greater,earliest,earlier
71,JJR_JJS,greater,greatest,earlier,earliest
72,JJ_JJR,great,greater,fat,fatter
73,JJR_JJ,greater,great,fatter,fat
74,JJ_JJS,great,greatest,fat,fattest
75,JJS_JJ,greatest,great,fattest,fat
76,JJS_JJR,greatest,greater,fattest,fatter
77,JJR_JJS,greater,greatest,fatter,fattest
78,JJ_JJR,great,greater,full,fuller
79,JJR_JJ,greater,great,fuller,full
80,JJ_JJS,great,greatest,full,fullest
81,JJS_JJ,greatest,great,fullest,full
82,JJS_JJR,greatest,greater,fullest,fuller
83,JJR_JJS,greater,greatest,fuller,fullest
84,JJ_JJR,great,greater,costly,costlier
85,JJR_JJ,greater,great,costlier,costly
86,JJ_JJS,great,greatest,costly,costliest
87,JJS_JJ,greatest,great,costliest,costly
88,JJS_JJR,greatest,greater,costliest,costlier
89,JJR_JJS,greater,greatest,costlier,costliest
90,JJ_JJR,low,lower,tough,tougher
91,JJR_JJ,lower,low,tougher,tough
92,JJ_JJS,low,lowest,tough,toughest
93,JJS_JJ,lowest,low,toughest,tough
94,JJS_JJR,lowest,lower,toughest,tougher
95,JJR_JJS,lower,lowest,tougher,toughest
96,JJ_JJR,low,lower,gentle,gentler
97,JJR_JJ,lower,low,gentler,gentle
98,JJ_JJS,low,lowest,gentle,gentlest
99,JJS_JJ,lowest,low,gentlest,gentle
100,JJS_JJR,lowest,lower,gentlest,gentler
101,JJR_JJS,lower,lowest,gentler,gentlest
102,JJ_JJR,low,lower,short,shorter
103,JJR_JJ,lower,low,shorter,short
104,JJ_JJS,low,lowest,short,shortest
