,type,word1,word2,word3,target
0,0,lull,trust,balk,fortitude
1,0,lull,trust,betray,loyalty
2,0,lull,trust,cajole,compliance
3,0,lull,trust,hinder,destination
4,0,lull,trust,soothe,passion
5,0,balk,fortitude,betray,loyalty
6,0,balk,fortitude,cajole,compliance
7,0,balk,fortitude,hinder,destination
8,0,balk,fortitude,soothe,passion
9,0,betray,loyalty,cajole,compliance
10,0,betray,loyalty,hinder,destination
11,0,betray,loyalty,soothe,passion
12,0,cajole,compliance,hinder,destination
13,0,cajole,compliance,soothe,passion
14,0,hinder,destination,soothe,passion
15,1,ostrich,bird,lion,cat
16,1,ostrich,bird,goose,flock
17,1,ostrich,bird,ewe,sheep
18,1,ostrich,bird,cub,bear
19,1,ostrich,bird,primate,monkey
20,1,lion,cat,goose,flock
21,1,lion,cat,ewe,sheep
22,1,lion,cat,cub,bear
23,1,lion,cat,primate,monkey
24,1,goose,flock,ewe,sheep
25,1,goose,flock,cub,bear
26,1,goose,flock,primate,monkey
27,1,ewe,sheep,cub,bear
28,1,ewe,sheep,primate,monkey
29,1,cub,bear,primate,monkey
30,2,word,language,paint,portrait
31,2,word,language,poetry,rhythm
32,2,word,language,note,music
33,2,word,language,tale,story
34,2,word,language,week,year
35,2,paint,portrait,poetry,rhythm
36,2,paint,portrait,note,music
37,2,paint,portrait,tale,story
38,2,paint,portrait,week,year
39,2,poetry,rhythm,note,music
40,2,poetry,rhythm,tale,story
41,2,poetry,rhythm,week,year
42,2,note,music,tale,story
43,2,note,music,week,year
44,2,tale,story,week,year
45,3,coop,poultry,aquarium,fish
46,3,coop,poultry,forest,wildlife
47,3,coop,poultry,crib,nursery
48,3,coop,poultry,fence,yard
49,3,coop,poultry,barn,tool
50,3,aquarium,fish,forest,wildlife
51,3,aquarium,fish,crib,nursery
52,3,aquarium,fish,fence,yard
53,3,aquarium,fish,barn,tool
54,3,forest,wildlife,crib,nursery
55,3,forest,wildlife,fence,yard
56,3,forest,wildlife,barn,tool
57,3,crib,nursery,fence,yard
58,3,crib,nursery,barn,tool
59,3,fence,yard,barn,tool
60,4,legend,map,subtitle,translation
61,4,legend,map,bar,graph
62,4,legend,map,figure,blueprint
63,4,legend,map,key,chart
64,4,legend,map,footnote,information
65,4,subtitle,translation,bar,graph
66,4,subtitle,translation,figure,blueprint
67,4,subtitle,translation,key,chart
68,4,subtitle,translation,footnote,information
69,4,bar,graph,figure,blueprint
70,4,bar,graph,key,chart
71,4,bar,graph,footnote,information
72,4,figure,blueprint,key,chart
73,4,figure,blueprint,footnote,information
74,4,key,chart,footnote,information
75,5,billboard,advertisement,sculpture,museum
76,5,billboard,advertisement,store,window
77,5,billboard,advertisement,library,book
78,5,billboard,advertisement,canvas,painting
79,5,billboard,advertisement,theater,intermission
80,5,sculpture,museum,store,window
81,5,sculpture,museum,library,book
82,5,sculpture,museum,canvas,painting
83,5,sculpture,museum,theater,intermission
84,5,store,window,library,book
85,5,store,window,canvas,painting
86,5,store,window,theater,intermission
87,5,library,book,canvas,painting
88,5,library,book,theater,intermission
89,5,canvas,painting,theater,intermission
90,6,custom,society,hypothesis,evidence
91,6,custom,society,testimony,trial
92,6,custom,society,ballot,election
