,type,word1,word2,word3,target
0,2c,water,drop,hour,seconds
1,2c,mile,yard,hour,seconds
2,2c,time,moment,hour,seconds
3,2c,water,drop,feet,inches
4,2c,mile,yard,feet,inches
5,2c,time,moment,feet,inches
6,2c,water,drop,foot,inch
7,2c,mile,yard,foot,inch
8,2c,time,moment,foot,inch
9,2c,water,drop,week,day
10,2c,mile,yard,week,day
11,2c,time,moment,week,day
12,2c,water,drop,book,page
13,2c,mile,yard,book,page
14,2c,time,moment,book,page
15,2c,water,drop,forest,tree
16,2c,mile,yard,forest,tree
17,2c,time,moment,forest,tree
18,2c,water,drop,book,pages
19,2c,mile,yard,book,pages
20,2c,time,moment,book,pages
21,2c,water,drop,pizza,slice
22,2c,mile,yard,pizza,slice
23,2c,time,moment,pizza,slice
24,2c,water,drop,movie,scene
25,2c,mile,yard,movie,scene
26,2c,time,moment,movie,scene
27,2c,water,drop,pound,ounce
28,2c,mile,yard,pound,ounce
29,2c,time,moment,pound,ounce
30,2c,water,drop,chain,link
31,2c,mile,yard,chain,link
32,2c,time,moment,chain,link
33,2c,water,drop,book,chapters
34,2c,mile,yard,book,chapters
35,2c,time,moment,book,chapters
36,2c,water,drop,body,cell
37,2c,mile,yard,body,cell
38,2c,time,moment,body,cell
39,2c,water,drop,state,county
40,2c,mile,yard,state,county
41,2c,time,moment,state,county
42,2c,water,drop,song,notes
43,2c,mile,yard,song,notes
44,2c,time,moment,song,notes
45,2c,water,drop,poem,verses
46,2c,mile,yard,poem,verses
47,2c,time,moment,poem,verses
48,2c,water,drop,book,chapter
49,2c,mile,yard,book,chapter
50,2c,time,moment,book,chapter
51,2c,water,drop,gallon,quart
52,2c,mile,yard,gallon,quart
53,2c,time,moment,gallon,quart
54,2c,water,drop,cake,slice
55,2c,mile,yard,cake,slice
56,2c,time,moment,cake,slice
57,2c,water,drop,pie,slices
58,2c,mile,yard,pie,slices
59,2c,time,moment,pie,slices
60,2c,water,drop,blood,droplets
61,2c,mile,yard,blood,droplets
62,2c,time,moment,blood,droplets
63,2c,water,drop,chapter,page
64,2c,mile,yard,chapter,page
65,2c,time,moment,chapter,page
66,2c,water,drop,gallon,ounce
67,2c,mile,yard,gallon,ounce
68,2c,time,moment,gallon,ounce
69,2c,water,drop,quarter,pennies
70,2c,mile,yard,quarter,pennies
71,2c,time,moment,quarter,pennies
72,2c,water,drop,dollar,coins
73,2c,mile,yard,dollar,coins
74,2c,time,moment,dollar,coins
75,2c,water,drop,quilt,squares
76,2c,mile,yard,quilt,squares
77,2c,time,moment,quilt,squares
78,2c,water,drop,cloth,fibers
79,2c,mile,yard,cloth,fibers
80,2c,time,moment,cloth,fibers
81,2c,water,drop,page,paragraph
82,2c,mile,yard,page,paragraph
83,2c,time,moment,page,paragraph
84,2c,water,drop,earthworm,segment
85,2c,mile,yard,earthworm,segment
86,2c,time,moment,earthworm,segment
87,2c,water,drop,soup,spoonful
88,2c,mile,yard,soup,spoonful
89,2c,time,moment,soup,spoonful
90,2c,water,drop,school,student
91,2c,mile,yard,school,student
92,2c,time,moment,school,student
93,2c,water,drop,thread,snip
94,2c,mile,yard,thread,snip
95,2c,time,moment,thread,snip
96,2c,water,drop,air,puff
97,2c,mile,yard,air,puff
98,2c,time,moment,air,puff
99,2c,water,drop,day,week
100,2c,mile,yard,day,week
101,2c,time,moment,day,week
102,2c,water,drop,cell,body
103,2c,mile,yard,cell,body
104,2c,time,moment,cell,body
105,2c,water,drop,hive,bee
106,2c,mile,yard,hive,bee
107,2c,time,moment,hive,bee
108,2c,water,drop,instant,nanosecond
109,2c,mile,yard,instant,nanosecond
110,2c,time,moment,instant,nanosecond
111,2c,water,drop,symphony,movements
112,2c,mile,yard,symphony,movements
113,2c,time,moment,symphony,movements
114,2c,water,drop,country,city
115,2c,mile,yard,country,city
116,2c,time,moment,country,city
117,2c,water,drop,droplets,blood
118,2c,mile,yard,droplets,blood
119,2c,time,moment,droplets,blood
120,2c,water,drop,train,car
121,2c,mile,yard,train,car
122,2c,time,moment,train,car
123,2c,water,drop,seconds,hour
124,2c,mile,yard,seconds,hour
125,2c,time,moment,seconds,hour
126,2c,water,drop,scene,movie
127,2c,mile,yard,scene,movie
128,2c,time,moment,scene,movie
129,3h,crescendo,sound,acceleration,speed
130,3h,brighten,color,acceleration,speed
131,3h,discount,price,acceleration,speed
132,3h,crescendo,sound,dim,light
133,3h,brighten,color,dim,light
134,3h,discount,price,dim,light
135,3h,crescendo,sound,lower,volume
136,3h,brighten,color,lower,volume
137,3h,discount,price,lower,volume
138,3h,crescendo,sound,darken,color
139,3h,brighten,color,darken,color
140,3h,discount,price,darken,color
141,3h,crescendo,sound,raise,salary
142,3h,brighten,color,raise,salary
143,3h,discount,price,raise,salary
144,3h,crescendo,sound,decrescendo,sound
145,3h,brighten,color,decrescendo,sound
146,3h,discount,price,decrescendo,sound
147,3h,crescendo,sound,flood,water
148,3h,brighten,color,flood,water
149,3h,discount,price,flood,water
150,3h,crescendo,sound,inflation,price
151,3h,brighten,color,inflation,price
152,3h,discount,price,inflation,price
153,3h,crescendo,sound,terror,fear
154,3h,brighten,color,terror,fear
155,3h,discount,price,terror,fear
156,3h,crescendo,sound,shorten,distance
157,3h,brighten,color,shorten,distance
158,3h,discount,price,shorten,distance
159,3h,crescendo,sound,speed,movement
160,3h,brighten,color,speed,movement
161,3h,discount,price,speed,movement
162,3h,crescendo,sound,soften,voice
163,3h,brighten,color,soften,voice
164,3h,discount,price,soften,voice
165,3h,crescendo,sound,heat,temperature
166,3h,brighten,color,heat,temperature
167,3h,discount,price,heat,temperature
168,3h,crescendo,sound,force,pressure
169,3h,brighten,color,force,pressure
170,3h,discount,price,force,pressure
171,3h,crescendo,sound,death,population
172,3h,brighten,color,death,population
173,3h,discount,price,death,population
174,3h,crescendo,sound,rise,tide
175,3h,brighten,color,rise,tide
176,3h,discount,price,rise,tide
177,3h,crescendo,sound,silence,noise
178,3h,brighten,color,silence,noise
179,3h,discount,price,silence,noise
180,3h,crescendo,sound,waning,sunlight
181,3h,brighten,color,waning,sunlight
182,3h,discount,price,waning,sunlight
183,3h,crescendo,sound,saturation,hue
184,3h,brighten,color,saturation,hue
185,3h,discount,price,saturation,hue
186,3h,crescendo,sound,goal,score
187,3h,brighten,color,goal,score
188,3h,discount,price,goal,score
189,3h,crescendo,sound,increment,number
190,3h,brighten,color,increment,number
191,3h,discount,price,increment,number
192,3h,crescendo,sound,drought,water
193,3h,brighten,color,drought,water
194,3h,discount,price,drought,water
195,3h,crescendo,sound,boost,price
196,3h,brighten,color,boost,price
197,3h,discount,price,boost,price
198,3h,crescendo,sound,decline,health
199,3h,brighten,color,decline,health
200,3h,discount,price,decline,health
201,3h,crescendo,sound,torture,pain
202,3h,brighten,color,torture,pain
203,3h,discount,price,torture,pain
204,3h,crescendo,sound,shorten,hem
205,3h,brighten,color,shorten,hem
206,3h,discount,price,shorten,hem
207,3h,crescendo,sound,melt,density
208,3h,brighten,color,melt,density
209,3h,discount,price,melt,density
210,3h,crescendo,sound,light,dim
211,3h,brighten,color,light,dim
212,3h,discount,price,light,dim
213,3h,crescendo,sound,deposit,balance
214,3h,brighten,color,deposit,balance
215,3h,discount,price,deposit,balance
216,3h,crescendo,sound,deepen,flavor
217,3h,brighten,color,deepen,flavor
218,3h,discount,price,deepen,flavor
219,3h,crescendo,sound,trim,tree
220,3h,brighten,color,trim,tree
221,3h,discount,price,trim,tree
222,3h,crescendo,sound,rage,irritation
223,3h,brighten,color,rage,irritation
224,3h,discount,price,rage,irritation
225,3h,crescendo,sound,movement,speed
226,3h,brighten,color,movement,speed
227,3h,discount,price,movement,speed
228,3h,crescendo,sound,stink,smell
229,3h,brighten,color,stink,smell
230,3h,discount,price,stink,smell
231,3h,crescendo,sound,obese,body
232,3h,brighten,color,obese,body
233,3h,discount,price,obese,body
234,3h,crescendo,sound,emaciated,body
235,3h,brighten,color,emaciated,body
236,3h,discount,price,emaciated,body
237,3h,crescendo,sound,disgrace,embarrassment
238,3h,brighten,color,disgrace,embarrassment
239,3h,discount,price,disgrace,embarrassment
240,3h,crescendo,sound,baby,family
241,3h,brighten,color,baby,family
242,3h,discount,price,baby,family
243,3h,crescendo,sound,sunlight,waning
244,3h,brighten,color,sunlight,waning
