,category,word
0,precious stone,diamond
1,precious stone,ruby
2,precious stone,emerald
3,precious stone,sapphire
4,precious stone,pearl
5,precious stone,opal
6,precious stone,jade
7,precious stone,topaz
8,precious stone,amethyst
9,precious stone,onyx
10,precious stone,garnet
11,precious stone,turquoise
12,precious stone,gem
13,precious stone,aquamarine
14,precious stone,gold
15,precious stone,silver
16,precious stone,zircon
17,precious stone,quartz
18,precious stone,moonstone
19,precious stone,star sapphire
20,precious stone,crystal
21,precious stone,alexandrite
22,precious stone,cameo
23,precious stone,jewel
24,precious stone,bloodstone
25,precious stone,platinum
26,precious stone,uranium
27,precious stone,amherst
28,precious stone,black pearl
29,precious stone,coral ebony
30,precious stone,granite
31,precious stone,lapis lazuli
32,precious stone,marble
33,precious stone,peridot
34,precious stone,rhinestone
35,unit of time,hour
36,unit of time,minute
37,unit of time,second
38,unit of time,year
39,unit of time,day
40,unit of time,century
41,unit of time,month
42,unit of time,decade
43,unit of time,week
44,unit of time,millisecond
45,unit of time,eon
46,unit of time,era
47,unit of time,score
48,unit of time,millenium
49,unit of time,fortnight
50,unit of time,half hour
51,unit of time,age
52,unit of time,microsecond
53,unit of time,light-year
54,unit of time,eternity
55,unit of time,generation
56,unit of time,epoch
57,unit of time,period
58,unit of time,night
59,unit of time,infinity
60,unit of time,a.d.
61,unit of time,afternoon
62,unit of time,b.c.
63,unit of time,degree
64,unit of time,lifetime
65,unit of time,moment
66,unit of time,quarter hour
67,unit of time,semester
68,unit of time,centennial
69,unit of time,clock
70,unit of time,moon
71,unit of time,one-tenth second
72,unit of time,biennium
73,unit of time,evening
74,unit of time,half minute
75,unit of time,split second
76,unit of time,ten minutes
77,unit of time,twenty-four hours
78,relative,aunt
79,relative,uncle
80,relative,father
81,relative,mother
82,relative,brother
83,relative,sister
84,relative,cousin
85,relative,grandmother
86,relative,grandfather
87,relative,nephew
88,relative,niece
89,relative,husband
90,relative,son
91,relative,daughter
92,relative,mother-in-law
93,relative,brother-in-law
94,relative,wife
95,relative,great-aunt
96,relative,sister-in-law
97,relative,father-in-law
98,relative,grandparents
99,relative,second cousin
100,relative,grandmom
101,relative,great-uncle
102,relative,grandpop
103,relative,great-grandfather
104,relative,great-grandmother
105,relative,in-laws
106,relative,dad
107,relative,mom
108,relative,children
109,relative,grandson
110,relative,granddaughter
111,relative,parents
112,relative,stepfather
113,relative,stepsister
114,relative,first cousin
115,relative,godmother
116,relative,godparents
117,relative,half brother
118,relative,half sister
119,relative,stepbrother
120,relative,stepmother
121,relative,stepson
122,relative,great-grandparents
123,relative,son-in-law
124,unit of distance,mile
125,unit of distance,foot
126,unit of distance,inch
127,unit of distance,yard
128,unit of distance,meter
129,unit of distance,centimeter
130,unit of distance,kilometer
131,unit of distance,millimeter
132,unit of distance,rod
133,unit of distance,light-year
134,unit of distance,decimeter
135,unit of distance,block
136,unit of distance,league
137,unit of distance,acre
138,unit of distance,fathom
139,unit of distance,knot
140,unit of distance,furlong
141,unit of distance,angstrom unit
142,unit of distance,micron
143,unit of distance,parsec
144,unit of distance,chain
145,unit of distance,cubit
146,unit of distance,micrometer
147,unit of distance,span
148,unit of distance,degree
149,unit of distance,half mile
150,unit of distance,liter
151,unit of distance,millimicron
152,unit of distance,pace
153,unit of distance,square
154,unit of distance,square yard
155,unit of distance,step
156,unit of distance,half inch
157,unit of distance,kilogram
158,unit of distance,length
159,unit of distance,measured in time
160,unit of distance,milligram
161,unit of distance,nautical mile
162,unit of distance,quarter inch
163,unit of distance,quarter mile
164,unit of distance,square foot
165,unit of distance,square inch
166,unit of distance,square mile
167,metal,iron
168,metal,copper
169,metal,steel
170,metal,gold
171,metal,aluminum
172,metal,silver
173,metal,tin
174,metal,zinc
175,metal,brass
176,metal,lead
177,metal,bronze
178,metal,magnesium
179,metal,platinum
180,metal,nickel
181,metal,sodium
182,metal,mercury
183,metal,potassium
184,metal,manganese
185,metal,uranium
186,metal,tungsten
187,metal,cobalt
188,metal,titanium
189,metal,chromium
190,metal,ore
191,metal,cadmium
192,metal,lithium
193,metal,alloy
194,metal,calcium
195,metal,rubidium
196,metal,beryllium
197,metal,barium
198,metal,chrome
199,metal,francium
200,metal,good conduct
201,metal,molybdenum
202,metal,pewter
203,metal,bismuth
204,metal,boron
205,metal,cesium
206,metal,radium
207,metal,sulfur
208,metal,antimony
209,metal,argon
210,metal,carbon
211,metal,car
212,metal,medal of honor
213,metal,palladium
214,metal,phosphorus
215,metal,plutonium
216,metal,purple heart
217,metal,solder
218,metal,zirconium
219,type of reading material,magazine
220,type of reading material,book
221,type of reading material,newspaper
222,type of reading material,pamphlet
223,type of reading material,novel
224,type of reading material,textbook
225,type of reading material,paper
226,type of reading material,comic book
227,type of reading material,short story
228,type of reading material,journal
229,type of reading material,article
230,type of reading material,letter
231,type of reading material,play
232,type of reading material,encyclopedia
233,type of reading material,essay
234,type of reading material,peiodical
235,type of reading material,poem
236,type of reading material,leaflet
237,type of reading material,fiction
238,type of reading material,paperback
239,type of reading material,poster
240,type of reading material,bulletin
241,type of reading material,bible
242,type of reading material,poetry
243,type of reading material,brochure
244,type of reading material,dictionary
245,type of reading material,note
246,type of reading material,nonfiction
247,type of reading material,biography
248,type of reading material,booklet
249,type of reading material,digest
250,type of reading material,circular
251,type of reading material,history
252,type of reading material,report
253,type of reading material,thesis
254,type of reading material,manuscript
255,type of reading material,sign
256,type of reading material,billboard
257,type of reading material,playboy
258,type of reading material,reference
259,type of reading material,science fiction
