,category,word
0,water_animal,carp
1,water_animal,catfish
2,water_animal,cod
3,water_animal,dolphin
4,water_animal,goldfish
5,water_animal,herring
6,water_animal,mackerel
7,water_animal,salmon
8,water_animal,trout
9,water_animal,tuna
10,water_animal,whale
11,water_animal,
12,bird,crow
13,bird,dove
14,bird,eagle
15,bird,falcon
16,bird,goose
17,bird,hawk
18,bird,owl
19,bird,penguin
20,bird,pheasant
21,bird,pigeon
22,bird,robin
23,bird,sparrow
24,bird,swan
25,bird,vulture
26,bird,woodpecker
27,bird,
28,ground_mammal,bear
29,ground_mammal,beaver
30,ground_mammal,bull
31,ground_mammal,cat
32,ground_mammal,cow
33,ground_mammal,coyote
34,ground_mammal,deer
35,ground_mammal,donkey
36,ground_mammal,elephant
37,ground_mammal,fox
38,ground_mammal,giraffe
39,ground_mammal,goat
40,ground_mammal,gorilla
41,ground_mammal,horse
42,ground_mammal,lion
43,ground_mammal,pig
44,ground_mammal,rabbit
45,ground_mammal,rat
46,ground_mammal,sheep
47,ground_mammal,squirrel
48,ground_mammal,tiger
49,ground_mammal,
50,vegetable,beet
51,vegetable,broccoli
52,vegetable,cabbage
53,vegetable,carrot
54,vegetable,cauliflower
55,vegetable,celery
56,vegetable,corn
57,vegetable,cucumber
58,vegetable,garlic
59,vegetable,lettuce
60,vegetable,onion
61,vegetable,parsley
62,vegetable,potato
63,vegetable,radish
64,vegetable,spinach
65,vegetable,turnip
66,vegetable,
67,appliance,dishwasher
68,appliance,freezer
69,appliance,fridge
70,appliance,oven
71,appliance,phone
72,appliance,radio
73,appliance,stereo
74,appliance,stove
75,appliance,television
76,appliance,toaster
77,appliance,washer
78,appliance,
79,tool,axe
80,tool,chisel
81,tool,corkscrew
82,tool,fork
83,tool,hammer
84,tool,hatchet
85,tool,knife
86,tool,rake
87,tool,saw
88,tool,screwdriver
89,tool,shovel
90,tool,sieve
91,tool,spade
92,tool,spoon
93,tool,wrench
94,tool,
95,container,bag
96,container,bottle
97,container,bowl
98,container,box
99,container,jar
100,container,mug
101,container,
102,fruit,apple
103,fruit,apricot
104,fruit,banana
105,fruit,cherry
106,fruit,coconut
107,fruit,cranberry
108,fruit,grapefruit
109,fruit,grape
110,fruit,lemon
111,fruit,lime
112,fruit,peach
113,fruit,pear
114,fruit,pineapple
115,fruit,plum
116,fruit,strawberry
117,fruit,
118,clothing,blouse
119,clothing,cloak
120,clothing,coat
121,clothing,dress
122,clothing,glove
123,clothing,hat
124,clothing,jacket
125,clothing,robe
126,clothing,scarf
127,clothing,shirt
128,clothing,sweater
129,clothing,vest
130,clothing,
131,vehicle,ambulance
132,vehicle,battleship
133,vehicle,bomber
134,vehicle,bus
135,vehicle,car
136,vehicle,ferry
137,vehicle,fighter
138,vehicle,frigate
139,vehicle,glider
140,vehicle,helicopter
141,vehicle,jet
142,vehicle,motorcycle
143,vehicle,scooter
144,vehicle,tanker
145,vehicle,train
146,vehicle,truck
147,vehicle,van
148,vehicle,yacht
149,vehicle,
150,musical_instrument,cello
151,musical_instrument,clarinet
152,musical_instrument,flute
153,musical_instrument,guitar
154,musical_instrument,piano
155,musical_instrument,saxophone
156,musical_instrument,trumpet
157,musical_instrument,violin
158,musical_instrument,
159,furniture,bed
160,furniture,bookcase
161,furniture,chair
162,furniture,couch
163,furniture,desk
164,furniture,dresser
165,furniture,sofa
166,furniture,table
167,furniture,wardrobe
168,furniture,
169,building,castle
170,building,cathedral
171,building,cottage
172,building,hospital
173,building,hotel
174,building,library
175,building,pub
176,building,restaurant
177,building,villa
178,building,
179,weapon,bomb
180,weapon,cannon
181,weapon,dagger
182,weapon,grenade
183,weapon,gun
184,weapon,missile
185,weapon,musket
186,weapon,pistol
187,weapon,revolver
188,weapon,rifle
189,weapon,spear
190,weapon,sword
191,weapon,
192,amphibian_reptile,alligator
193,amphibian_reptile,frog
194,amphibian_reptile,lizard
195,amphibian_reptile,snake
196,amphibian_reptile,turtle
197,amphibian_reptile,
198,insect,ant
199,insect,beetle
200,insect,butterfly
201,insect,cockroach
202,insect,grasshopper
203,insect,hornet
204,insect,moth
205,insect,wasp
206,insect,
207,tree,acacia
208,tree,birch
209,tree,cedar
210,tree,cypress
211,tree,elm
212,tree,oak
213,tree,pine
214,tree,poplar
215,tree,willow
216,tree,
