,word1,word2,similarity
0,polster,joya,0.185
1,mönch,esclavo,0.56
2,werkzeug,grúa,1.605
3,zauberer,oráculo,2.0
4,reise,gallo,0.02
5,mönch,asilo,0.335
6,zauberer,hechicero,3.585
7,autogramm,orilla,0.02
8,berg,colina,3.605
9,sklave,monje,0.56
10,obst,caldera,0.565
11,nahrung,fruta,3.105
12,backofen,fruta,0.565
13,küste,autógrafo,0.02
14,werkzeug,instrumento,3.065
15,junge,gallo,0.29
16,fahrt,viaje,3.19
17,friedhof,bosque,0.875
18,werkzeug,caldera,1.04
19,glas,mago,0.33
20,vogel,grulla,3.23
21,hahn,viaje,0.02
22,sklave,siervo,3.705
23,glas,recipiente,3.25
24,juwel,cristal,1.52
25,hahn,chico,0.29
26,forst,costa,1.125
27,bursche,chico,3.855
28,magier,mago,3.585
29,juwel,gema,3.56
30,magier,chaval,0.48
31,kran,instrumento,1.605
32,orakel,mago,2.0
33,herd,loma,0.04
34,schnur,mediodía,0.02
35,lächeln,cordel,0.0
36,bursche,sonrisa,0.685
37,juwel,cojín,0.185
38,obst,asilo,0.125
39,backofen,instrumento,1.04
40,kranich,gallo,2.19
41,berg,estufa,0.04
42,mittag,mediodía,3.77
43,wald,orilla,1.0
44,ufer,bosque,1.0
45,gorst,cementerio,0.42
46,edelstein,joya,3.56
47,orakel,sabio,1.73
48,friedhof,loma,0.835
49,seil,cordel,3.525
50,wald,colina,1.71
51,unterschrift,autógrafo,3.5
52,fabel,hechicero,1.895
53,küste,loma,1.46
54,hügel,loma,3.605
55,wald,pájaro,1.65
56,schnur,cuerda,3.525
57,irrenhaus,monje,0.335
58,psychiatrie,cementerio,0.44
59,kirchhof,cementerio,3.5
60,irrenhaus,cementerio,0.54
61,hahn,grulla,2.19
62,reise,orilla,1.065
63,auto,cojín,0.77
64,irrenhaus,fruta,0.125
65,vogel,bosque,1.65
66,reise,trayecto,3.19
67,fahrt,coche,2.335
68,auto,viaje,2.335
69,gockel,gallo,2.815
70,nahrung,gallo,1.71
71,hügel,cementerio,0.835
72,kraftfahrzeug,coche,3.855
73,küste,orilla,3.355
74,vogel,gallo,3.52
75,lächeln,sonrisa,3.69
76,zauberer,vaso,0.33
77,hahn,pájaro,3.0225
78,ufer,costa,3.355
79,friedhof,cementerio,3.5
80,kranich,pollo,3.52
81,junge,sabio,0.585
82,magier,sabio,1.895
83,kissen,cojín,3.21
84,kirchhof,selva,0.42
85,grinsen,instrumento,0.04
86,mönch,oráculo,0.915
87,küste,bosque,1.125
88,leibeigener,esclavo,3.705
89,friedhof,asilo,0.54
90,seil,sonrisa,0.0
91,mittag,cuerda,0.02
92,fabel,oráculo,1.73
93,becher,vaso,3.25
94,bursche,hechicero,0.48
95,berg,orilla,1.46
96,polster,automóvil,0.77
97,auto,automóvil,3.855
98,forst,bosque,3.48
99,polster,almohada,3.21
100,bursche,hermano,1.5
101,friedhof,manicomio,0.44
102,magier,automóvil,0.02
103,wald,selva,3.48
104,hahn,comida,1.71
105,backofen,estufa,3.23
106,werkzeug,sonrisa,0.04
107,obst,comida,3.105
108,hügel,costa,1.375
109,junge,chaval,3.855
110,gerät,herramienta,3.065
111,glas,joya,1.52
112,herd,caldera,3.23
113,grinsen,sonrisa,3.69
114,ufer,colina,1.375
115,berg,bosque,1.71
116,autogramm,firma,3.5
117,bruder,chaval,1.5
118,wald,cementerio,0.875
119,küste,viaje,1.065
120,mittagsstunde,mediodía,3.77
121,fabel,chico,0.585
122,grinsen,chaval,0.685
123,orakel,monje,0.915
124,kraftfahrzeug,hechicero,0.02
