,word1,word2,similarity
0,Schule,centro,4.3269230769
1,Kerbe,segnale,3.26923076925
2,Staat,cittadino,7.15384615385
3,Monat,cinque,2.45384615385
4,Liste,categoria,6.2307692308
5,Tennis,calcio,5.3846153846
6,Gewinnanteil,calcolo,7.28461538465
7,Auto,lusso,5.87692307695
8,Ohren,bere,0.5730769231
9,Leben,termine,6.65384615385
10,Ursache,ipertensione,2.8269230769
11,Alkohol,chimica,6.0576923077
12,Jaguar,gatto,6.69615384615
13,Meeresfrüchte,aragosta,7.53846153845
14,Information,precedente,3.96923076925
15,Krankenhaus,ictus,7.6923076923
16,Hersteller,apparecchiatura,5.4653846154
17,Zubehör,telefono,5.65384615385
18,Fingerabdruck,FBI,7.1923076923
19,Wichtigkeit,moralità,5.2692307692
20,Vorrat,telefono,1.03846153845
21,Krise,governo,6.6923076923
22,Psychologie,scienza,6.36538461535
23,Kilometer,miglio,7.9807692308
24,Telefon,provvista,1.03846153845
25,Niederlage,gioco,6.8269230769
26,Papier,libro,7.73076923075
27,Tag,alba,7.00384615385
28,Dürre,estate,6.4230769231
29,Geld,dollaro,8.3076923077
30,Versicherung,responsabilita,6.78846153845
31,Auto,treno,5.65384615385
32,dumm,intelligente,5.65384615385
33,Weltraum,mondo,6.48076923075
34,Allee,strada,8.01923076925
35,Film,popcorn,6.5769230769
36,Landschaft,canyon,7.19230769235
37,Bischoff,rabbino,7.51923076925
38,Schläger,tennis,8.1923076923
39,Familie,pianificazione,5.82692307695
40,Verlust,dollaro,5.4615384615
41,Bibliothek,libro,8.71153846155
42,Änderung,atteggiamento,5.0269230769
43,Kartoffel,cetriolo,4.96153846155
44,Gurke,professore,0.23076923075
45,Mund,bere,7.36538461535
46,Geschichte,teatro,4.82692307695
47,Hummer,Pesce,7.53846153845
48,Jaguar,tigre,6.9230769231
49,Bericht,guadagno,2.51153846155
50,Ausgabe,sviluppo,3.8846153846
51,Telefon,apparecchiatura,5.65384615385
52,Bursche,fratello,4.5384615385
53,Fünf,mese,2.45384615385
54,Sex,amore,8.2692307692
55,Polizei,investigazione,8.0769230769
56,Annäherung,zucchero,1.4615384615
57,Metal,vetro,4.1153846154
58,Bruder,monaco,6.3076923077
59,Oper,sapone,3.71153846155
60,Karte,credito,7.48076923075
61,Basketball,calcio,6.0769230769
62,Jazz,rock,6.59615384615
63,Untersuchung,sforzo,4.73076923075
64,Wissenschaft,psicologia,6.36538461535
65,Beispielhaft,collezione,2.1153846154
66,Sonne,pianeta,7.15384615385
67,Disziplin,psicologia,5.4423076923
68,Internet,computer,8.2692307692
69,Vorausgehend,precedente,7.65384615385
70,Baseball,stagione,5.66153846155
71,Wasser,infiltrazione,6.75
72,Wettbewerb,prezzo,6.75
73,Straße,posto,5.76923076925
74,Arbeitsgerät,gru,6.0
75,Tod,vita,8.6923076923
76,Zentrum,scuola,4.3269230769
77,Regen,temporale,6.6153846154
78,Tiger,carnivoro,8.0576923077
79,Entwicklung,popolazione,5.23076923075
80,Orakel,monaco,2.6346153846
81,Hummer,vino,4.5
82,Geld,operazione,4.76923076925
83,Größe,prominenza,5.30769230765
84,Flughafen,problema,2.82692307695
85,Vorrat,giaguaro,0.3076923077
86,Mittwoch,notizie,2.1923076923
87,Verzögerung,razzismo,1.46153846155
88,Geld,contanti,9.27884615385
89,Wald,legno,8.8076923077
90,Jahr,inizio,5.08076923075
91,Auto,bere,2.6153846154
92,Trinken,tazza,7.46153846155
93,Auto,aereo,5.3076923077
94,Prozent,cento,7.84615384615
95,Einstellung,cambiamento,5.0269230769
96,Regen,alluvione,6.09615384615
97,Erkenntnis,psicologia,5.4230769231
98,Katze,tigre,8.0076923077
99,Gesetz,precedente,5.3653846154
100,Planung,famiglia,5.82692307695
101,Organismus,tigre,4.12307692305
102,Fußball,pallacanestro,6.0769230769
103,Tapferkeit,decorazione,6.13461538465
104,Computer,notizie,5.34615384615
105,Konstellation,pianeta,6.0576923077
106,Zucker,approccio,1.4615384615
107,Vorurteil,riconoscimento,3.0192307692
108,Depression,psicologia,6.98076923075
109,Mißbrauch,droga,6.78846153845
110,Liebe,sesso,8.2692307692
111,Objekt,tazza,6.26923076925
112,Planet,costellazione,6.0576923077
113,Vorbildlich,gruppo,2.25
114,Planet,astronomo,7.23076923075
115,Beginn,anno,5.08076923075
116,Planet,stella,7.1923076923
117,Leck,acqua,6.75
118,Herd,fornace,7.90384615385
119,Sex,santo,1.1923076923
120,Wanderung,produzione,1.0
121,Vorrat,uovo,2.9038461538
122,Präzedensfall,legge,5.3653846154
123,Einlass,biglietto,7.3846153846
124,Platz,strada,5.76923076925
125,Video,archivio,5.39615384615
126,Krise,energia,4.9615384615
127,Yen,dollaro,7.82692307695
128,Telefon,comunicazione,8.5576923077
129,Dämmerung,giorno,7.00384615385
130,Seife,opera,3.71153846155
131,Katastrophe,area,4.7692307692
132,Geld,propriet,7.03846153845
133,Hahn,cibo,3.92307692305
134,Gewitter,doccia,6.6153846154
135,Wissenschaftler,Marte,6.1730769231
136,Planet,popolo,5.45384615385
137,Nachhaltigkeit,ambiente,7.4807692308
138,Runde,gioco,6.6076923077
139,Museum,teatro,5.88461538465
140,Häuserblock,strada,6.1923076923
141,Auto,viaggio,7.09615384615
142,Ei,provvista,2.9038461538
143,Problem,sfida,6.5
144,Handel,media,3.91538461535
145,Irrenanstalt,manicomio,7.4807692308
146,Brandy,vodka,7.95384615385
147,Ermittlung,FBI,8.0769230769
148,Nachrichten,Mercoledi,2.1923076923
149,Anerkennung,pregiudizio,3.0192307692
150,Geld,prelievo,6.8076923077
151,Öl,azioni,5.89615384615
152,Bank,denaro,8.52884615383
153,Schrank,vestiti,7.4346153846
154,Säugetier,tigre,7.34615384615
155,Psychologie,cognizione,5.4230769231
156,Kohl,re,0.4230769231
157,Prominenz,dimensione,5.30769230765
158,Situation,isolamento,2.80769230765
159,Aktivität,viaggio,6.1153846154
160,Erhaltung,mondo,5.1153846154
161,König,cavolo,0.4230769231
162,Rabbi,vescovo,7.51923076925
163,Vorrat,CD,0.57692307695
164,Rock,jazz,6.59615384615
165,Ding,tazza,3.8846153846
166,Zuschauer,serie,6.2192307692
167,Tiger,felino,7.97692307695
168,Tier,tigre,7.96153846155
169,Essen,aragosta,7.50384615385
170,Börse,provvista,7.7307692308
171,Schlussfolgerung,situazione,4.3846153846
172,Kleider,ripostiglio,7.4346153846
173,Computer,internet,8.2692307692
174,Wort,somiglianza,3.2115384615
175,Kranich,uccello,7.4019230769
176,Richtwert,indice,5.4807692308
177,Menschen,pianeta,5.45384615385
178,Essen,preparazione,6.33076923075
179,Jaguar,macchina,7.8538461538
180,Sieben,serie,2.7423076923
181,Reihe,sette,2.7423076923
182,Tollhaus,asilo,7.4807692308
183,Nachrichten,computer,5.34615384615
184,Institution,pratica,4.03846153845
185,Welt,preservazione,5.1153846154
186,Radio,televisione,6.8076923077
187,Mönch,schiavo,1.03846153845
188,Währung,denaro,8.28846153845
189,Juwel,gemma,9.1346153846
190,Eintritt,ammissione,7.3846153846
191,Ankunft,hotel,5.65384615385
192,Geld,valuta,8.28846153845
193,Drink,macchina,2.6153846154
194,Sex,fottere,9.11538461535
195,Magier,stregone,9.30769230765
196,Partie,inizio,5.0307692308
197,Tasse,liquido,5.6576923077
198,Wein,aragosta,4.5
199,Abheben,denaro,6.96153846155
200,CD,provvista,0.57692307695
201,Geld,possesso,6.5576923077
202,Wald,camposanto,2.5
203,Auszeichnung,valore,6.13461538465
204,Kino,teatro,6.96153846155
205,Aktie,petrolio,5.89615384615
206,Hotel,arrivo,5.65384615385
207,Nachrichten,annuncio,7.1923076923
208,Turnier,campionato,8.29615384615
209,Richtung,combinazione,3.05769230765
210,Geld,riciclaggio,6.96153846155
211,Totschlag,omicidio,8.65384615385
212,Mann,donna,7.8269230769
213,Oberfläche,immagine,4.46153846155
214,Mittag,corda,0.28846153845
215,Arzt,personale,5.11538461535
216,Faden,mezzogiorno,0.28846153845
217,Zubehör,fabbricatore,5.4653846154
218,Aufzählung,prossimità,1.53846153845
219,Computer,tastiera,8.1923076923
220,Tag,estate,4.05
221,Aktie,vita,1.84615384615
222,Dollar,perdita,5.4615384615
223,Meisterschaft,torneo,8.29615384615
224,Erinnerungsstück,esposizione,5.4423076923
225,Junge,giovanotto,9.1923076923
226,Amerikaner,Giapponese,5.3653846154
227,Physik,chimica,7.71153846155
228,Aufwand,annuncio,2.1923076923
229,Jerusalem,Israele,9.1153846154
230,Hardware,rete,6.9576923077
231,Weltall,scoperta,5.84615384615
232,Kran,strumento,6.0
233,klug,stupido,5.65384615385
234,Haut,occhio,4.78846153845
235,Planet,galassia,7.28846153845
236,Tasse,caff,7.79615384615
237,Brot,burro,6.0
238,OPEC,petrolio,8.17307692305
239,Reise,attività,6.1153846154
240,Interview,governatore,3.5192307692
241,Glaubwürdigkeit,possibilità,3.51923076925
242,Umwelt,ecologia,7.4807692308
243,Proton,fisica,7.8269230769
244,Mannschaft,gioco,7.4576923077
245,Gruppe,precedente,2.25
246,Geld,ricchezza,8.34615384615
247,Notfall,vittima,6.6346153846
248,Weltall,chimica,4.23076923075
249,Tiger,animale,7.96153846155
250,Küste,foresta,2.6923076923
251,Hundert,percento,7.84615384615
252,Spiel,vittoria,7.11538461535
253,Vorbereitung,cibo,6.33076923075
254,Essen,bere,7.82692307695
255,Trinken,bocca,7.36538461535
256,Unternehmen,azioni,6.88461538465
257,Israel,Gerusalemme,9.1153846154
258,Versicherung,pace,2.7692307692
259,Jaguar,provvista,0.3076923077
260,Mars,scienziato,6.1730769231
261,Netzwerk,hardware,6.9576923077
262,Medien,commercio,3.91538461535
263,Eigentum,denaro,7.03846153845
264,Luxus,macchina,5.87692307695
