,word1,word2,similarity
0,cord,lächeln,0.01
1,monk,irrenhaus,0.32
2,brother,mönch,2.89
3,forest,küste,0.965
4,bird,hahn,3.005
5,furnace,werkzeug,1.205
6,oracle,zauberer,1.765
7,boy,hahn,0.365
8,automobile,magier,0.075
9,crane,hahn,1.81
10,woodland,berg,1.615
11,brother,bursche,1.995
12,string,schnur,3.395
13,boy,fabel,0.67
14,madhouse,friedhof,0.4
15,forest,kirchhof,0.73
16,car,kraftfahrzeug,3.855
17,voyage,küste,1.34
18,magician,glas,0.51
19,hill,wald,1.615
20,forest,wald,3.7
21,fruit,backofen,0.485
22,cushion,auto,1.11
23,wizard,kraftfahrzeug,0.075
24,voyage,fahrt,3.415
25,rooster,vogel,3.84
26,cemetery,kirchhof,3.44
27,string,mittag,0.04
28,furnace,herd,3.265
29,automobile,polster,1.11
30,magician,magier,3.585
31,sage,magier,2.0
32,asylum,friedhof,0.56
33,cock,gockel,2.9
34,sage,junge,0.67
35,implement,backofen,1.205
36,wizard,bursche,0.785
37,fruit,irrenhaus,0.115
38,wizard,zauberer,3.585
39,bird,wald,1.435
40,coast,ufer,3.635
41,monk,sklave,0.575
42,boy,bursche,3.805
43,asylum,psychiatrie,3.355
44,mound,herd,0.07
45,slave,mönch,0.575
46,furnace,obst,0.485
47,shore,autogramm,0.05
48,mound,küste,1.34
49,noon,mittag,3.74
50,coast,hügel,1.255
51,madhouse,irrenhaus,3.355
52,lad,magier,0.785
53,implement,werkzeug,3.33
54,gem,juwel,3.885
55,magician,orakel,1.765
56,graveyard,friedhof,3.44
57,smile,seil,0.01
58,cushion,kissen,3.485
59,crane,werkzeug,2.165
60,autograph,unterschrift,3.565
61,wizard,fabel,2.0
62,rooster,nahrung,1.485
63,graveyard,gorst,0.73
64,journey,reise,3.415
65,smile,grinsen,3.42
66,stove,backofen,3.265
67,cock,kranich,3.84
68,hill,ufer,1.255
69,lad,grinsen,0.73
70,asylum,obst,0.115
71,fruit,nahrung,2.99
72,cemetery,irrenhaus,0.56
73,jewel,glas,1.43
74,shore,küste,3.635
75,oracle,mönch,0.725
76,rooster,kranich,1.81
77,woodland,vogel,1.435
78,woodland,forst,3.7
79,mound,hügel,3.375
80,cord,seil,3.395
81,woodland,ufer,1.095
82,shore,wald,1.095
83,food,hahn,1.485
84,voyage,hahn,0.02
85,glass,juwel,1.43
86,hill,berg,3.375
87,glass,zauberer,0.51
88,food,obst,2.99
89,asylum,mönch,0.32
90,cushion,juwel,0.37
91,cemetery,wald,1.07
92,slave,leibeigener,3.645
93,rooster,junge,0.365
94,glass,becher,3.35
95,woodland,friedhof,1.07
96,monk,bruder,2.89
97,autograph,küste,0.05
98,shore,reise,1.34
99,shore,berg,1.34
100,implement,kran,2.165
101,signature,autogramm,3.565
102,tumbler,glas,3.35
103,grin,werkzeug,0.09
104,cemetery,hügel,1.305
105,lad,junge,3.805
106,serf,sklave,3.645
107,monk,orakel,0.725
108,jewel,edelstein,3.885
109,rooster,reise,0.02
110,automobile,auto,3.855
111,jewel,polster,0.37
112,noon,schnur,0.04
113,crane,vogel,3.11
114,grin,bursche,0.73
115,implement,grinsen,0.09
116,graveyard,psychiatrie,0.4
117,midday,mittagsstunde,3.74
118,tool,gerät,3.33
119,stove,berg,0.07
120,pillow,polster,3.485
121,mound,friedhof,1.305
122,lad,bruder,1.995
123,coast,forst,0.965
124,grin,lächeln,3.42
