,word1,word2,similarity
0,fencing,Gymnastik,2.17
1,volcano,Magma,2.21
2,lizard,Krokodil,3.13
3,episode,Kapitel,3.17
4,Times,Guardian,3.17
5,Latin,Deutsch,2.92
6,Clinton,Obama,3.04
7,Jupiter,Merkur,3.21
8,evolution,Darwin,2.25
9,essay,Hausaufgaben,2.33
10,handicraft,Tradition,1.46
11,tank,Auto,2.5
12,singer,Chor,2.63
13,dance,Kleid,0.96
14,Olympic Games,Gemütsart,0.41
15,dress,Tanz,0.96
16,motherboard,Mainboard,3.92
17,Rome,Hamedan,2.71
18,World War II,Beethoven,0.21
19,zero,Unendlichkeit,2.29
20,actor,Polyeder,0.21
21,mother tongue,Sprache,3.25
22,table,Sonnenuntergang,0.0
23,mutual respect,Wettbewerb,1.04
24,smartphone,Ananas,0.0
25,therapy,Behaviorismus,1.75
26,Plato,Aristoteles,3.17
27,Star Wars,Mozart,0.09
28,drawing,Aufstand,0.04
29,Faraday constant,Rucksack,0.0
30,office,Arbeiter,1.38
31,spirit,Olympische Spiele,0.41
32,princess,Keks,0.04
33,class,Chaos,0.09
34,geyser,Quelle,3.13
35,chapter,Episode,3.17
36,treatment,chirurgischer Eingriff,2.63
37,wind,Windbö,3.04
38,cardigan,Hemd,2.79
39,radar,Steuerknüppel,0.8
40,accident,Buch,0.04
41,boat,Baum,0.21
42,wallpaper,Hintergrund,3.33
43,base,Säure,2.83
44,tram,Zug,3.21
45,silkworm,Raupe,3.42
46,glacier,Erderwärmung,1.42
47,music,Flöte,2.04
48,crochet,Uniform,0.75
49,joystick,Radar,0.8
50,chaos,Klasse,0.09
51,working class,Fabrik,1.5
52,skyscraper,Palast,2.38
53,Julius Caesar,Cäsar,3.88
54,McDonald's,KFC,3.04
55,translator,Ausländer,1.08
56,citrus fruit,Pampelmuse,3.21
57,car,Fahrrad,2.75
58,Alexander Fleming,Penicillin,2.04
59,plane,Boeing,3.13
60,Sun,Kabel,0.04
61,stock market,Börse,3.58
62,mask,Fest,0.92
63,Bolzano,Theorem,1.88
64,chess queen,herrschende Königin,0.75
65,politician,Polizist,2.21
66,cloud computing,Regen,0.0
67,Earth,Meteorit,1.83
68,window,Dach,2.0
69,dictionary,Enzyklopädie,3.17
70,dream,Himmel,0.58
71,Renascence,Renaissance,3.83
72,sodium chloride,Salz,3.96
73,vexillology,Flagge,2.21
74,desert,Düne,2.04
75,orchestra,Band,3.29
76,alien,Outlander,3.29
77,popcorn,Kino,1.46
78,mosaic,Basilika,1.38
79,honey,Milchprodukt,0.88
80,pedestrian crossing,Person,1.13
81,sword,Thron,1.5
82,stadium,Oscars,0.17
83,journalist,Dichter,2.38
84,behaviourism,Therapie,1.75
85,clock tower,Stein,0.5
86,film,Theater,2.17
87,Mensa,IQ,1.83
88,quality of life,Einkommen,1.88
89,suffrage,Ausgang,0.25
90,sergeant,Pistole,1.25
91,digit,Cytoplasma,0.34
92,stone,Uhrturm,0.5
93,United Nations,Europäisches Parlament,2.33
94,woodland,Tiger Woods,0.04
95,monitor,Bildschirm,3.96
96,conqueror,Alexander der Grosse,2.83
97,statute,Eiszeit,0.0
98,source,Schachtel,0.0
99,coin,Bezahlung,1.67
100,broom,Staub,1.67
101,Queen Victoria,England,1.67
102,champion,Gewinner,3.33
103,agriculture,Pflanze,1.92
104,mojito,Mochito,4.0
105,ruler,König,3.63
106,hail,Regen,2.88
107,biotope,Biologie,1.54
108,club,Markierung,0.29
109,elementary school,Kugelschreiber,1.0
110,illustration,Ampulle,0.0
111,acetylcholine,Iris,0.29
112,underwear,Körper,1.0
113,cube,Würfel,2.71
114,payment,Münze,1.67
115,instructor,Lehrer,3.88
116,KFC,McDonald's,3.04
117,blood,Virus,1.29
118,Renaissance,Wiedergeburt,3.83
119,fault,System,0.33
120,autonomous car,selbstfahrendes Auto,4.0
121,steel,Legierung,3.25
122,legend,Moral,0.83
123,somatotropin,Wachstumshormon,3.83
124,germ,Erreger,3.79
125,equator,Ecuador,1.08
126,article,Manuskript,3.33
127,negotiation,Diplomatie,2.67
128,distance,Perspektive,1.63
129,Darwin,Evolution,2.25
130,vapor,absoluter Nullpunkt,1.04
131,peace,Soldat,1.0
132,multiple sclerosis,MS,3.96
133,cryptogram,Symbol,2.21
134,topology,Struktur,1.75
135,LED,Tuberkulose,0.13
136,playoff,Basketball,1.5
137,decoration,Umschlag,0.25
138,MS,Multiple Sklerose,3.96
139,battery,Energie,2.46
140,sexism,Geschlechtsdiskriminierung,3.96
141,visa,Globalisierung,1.17
142,flora,Natur,2.88
143,slave,Diener,3.29
144,square,Karte,0.88
145,comic book,Comicroman,3.63
146,orchard,Strauss,0.46
147,nature,Flora,2.88
148,wood,Decke,0.46
149,delta,Meer,2.0
150,actor,Fernsehen,1.79
151,supporting character,Film,1.67
152,stamen,Bestäubung,2.33
153,simulation,Robotik,1.58
154,person,Charakter,2.83
155,rucksack,Faraday-Konstante,0.0
156,heavy metal,Bühne,1.08
157,watch,Rock,0.67
158,development,Finanzmittelbeschaffung,0.75
159,Jerusalem,Hebräisch,1.58
160,dinosaur,Elephant,2.33
161,forest,Amazonas,2.71
162,NATO,Allianz,3.08
163,cable,Kapelle,0.13
164,protein molecule,Rezeptor,3.04
165,book,Unfall,0.04
166,snapdragon,Wandelröschen,3.08
167,German,Latein,2.92
168,meadow,Graslandschaft,3.42
169,symbol,Zeichen,3.58
170,lifestyle,Zivilisation,1.63
171,carbon dioxide,CO2,4.0
172,cytoplasm,Ziffer,0.34
173,bipolar disorder,Problem,2.0
174,yogurt,Vieh,1.04
175,worm,Schadprogramm,3.0
176,blizzard,Regen,2.71
177,ISIS,Islamophobie,1.71
178,Tiger Woods,Gehölz,0.04
179,museum,Münzamt,1.08
180,accumulation,Normalabweichung,0.71
181,harbor,Hülle,0.04
182,medal,Turnschuhe,0.38
183,outlander,Ausserirdischer,3.29
184,surfing,Wassersport,3.0
185,sister,Bruder,2.88
186,heater,Regenschirm,0.21
187,guitar,Geige,3.13
188,water,Krönung,0.17
189,IMF,Deutsche Bank,2.5
190,car,Lastwagen,3.17
191,mark,Club,0.29
192,iPhone,Apple,2.58
193,syllabus,Prüfung,2.33
194,malware,Wurm,3.0
195,Joule,Raumschiff,0.41
196,wall,Schloss,1.67
197,cinnamon,Süssigkeiten,1.38
198,plant,Landwirtschaft,1.92
199,Shakespeare,Dickens,2.96
200,infinity,Null,2.29
201,coach,Spieler,2.46
202,king,Herrscher,3.63
203,truck,Auto,3.17
204,valley,Depression,2.25
205,monarchy,Demokratie,2.79
206,Hebrew,Jerusalem,1.58
207,The Last Supper,Leonardo da Vinci,2.25
208,constitution,Kaiser,0.96
209,exit,Stimmrecht,0.25
210,Fox Terrier,Canon,0.0
211,Si-o-seh pol,Mathematiker-Brücke,3.0
212,pineapple,Handy,0.0
213,magma,Vulkan,2.21
214,caterpillar,Seidenraupe,3.42
215,anthropology,Archeologie,2.92
216,throne,Schwert,1.5
217,flag,Fahnenstange,1.75
218,drug,Pfizer,2.25
219,hammer,Zahn,0.0
220,biology,Biotop,1.54
221,snow,Eis,2.83
222,foot,Sand,0.46
223,GDP,Wirtschaftskrise,1.54
224,Britain,HSBC,1.21
225,soldier,Frieden,1.0
226,cable,Sonne,0.04
227,coast,Kanonboot,1.0
228,skirt,Uhr,0.67
229,mint,Museum,1.08
230,alphabet,Stift,0.58
231,lawyer,Staatsanwalt,3.33
232,patriotism,Nationalhymne,2.29
233,food,Programm,0.29
234,earthquake,Erschütterung,3.71
235,stool,Sessel,3.08
236,map,Viereck,0.88
237,brainstorming,Teleskop,0.0
238,phonology,Bildschirm,0.0
239,palace,Wolkenkratzer,2.38
240,standard deviation,Kumulation,0.71
241,paint,grüne Revolution,0.04
242,emperor,Verfassung,0.96
243,Green Revolution,Farbe,0.04
244,chair,Hocker,3.08
245,English,Amerikanisch,3.33
246,city center,Bus,0.75
247,lobster,Walhai,2.33
248,sociobiology,Mutant,0.63
249,WikiLeaks,WiFi,0.42
250,cathedral,Kirche,3.38
251,pathology,Hämatologie,2.96
252,economy,Ecosystem,0.71
253,band,Orchester,3.29
254,list,Array,3.67
255,Microsoft,Celsius,0.04
256,curtain,Jalousie,3.29
257,statue,Skulptur,3.88
258,uniform,Häkeln,0.75
259,biscuit,Prinzessin,0.04
260,islamophobia,ISIS,1.71
261,racing,Philosoph,0.0
262,slide,Zeiger,1.17
263,worker,Büro,1.38
264,Chelsea,Nietzsche,0.09
265,Ebola,Ebola Virus,3.92
266,capacitor,Diode,2.67
267,web browser,Flora,0.0
268,Orion,Sternbild,2.83
269,Amazon,Wald,2.71
270,highway,Strasse,3.29
271,rosewater,Rosenöl,2.79
272,Dingle,Dell,0.04
273,cellphone,Telefon,3.71
274,vampire,Fledermaus,2.25
275,political party,Vereinigung,2.38
276,pollination,Staubblatt,2.33
277,Aristotle,Plato,3.17
278,engagement,Ring,1.63
279,Asia,Welt,1.83
280,Alexander the Great,Eroberer,2.83
281,stone,Holz,2.33
282,Moscow,Europäische Union,1.71
283,Photoshop,Paint,3.25
284,button,Nähmaschine,1.42
285,mill,Korn,1.17
286,moisture,Spanisch,0.0
287,Ecuador,Equator,1.08
288,level,Punktezahl,2.5
289,Promised Land,Baku,0.38
290,Google Drive,Fahrer,0.0
291,winner,Meister,3.33
292,cloud,See,0.79
293,piston,Motor,2.21
294,kindergarten,Vorschule,3.63
295,drought,Wasser,1.96
296,Pfizer,Medikament,2.25
297,self-driving car,Roboterauto,4.0
298,electric train,Siemens,1.42
299,boss,Regisseur,3.17
300,phone,Opfer,0.08
301,gray heron,See,1.29
302,brother,Schwester,2.88
303,entropy,Information,2.0
304,United Nations,Ban Ki-moon,2.29
305,democracy,Monarchie,2.79
306,strawberry,Kirsche,3.04
307,demon,Engel,2.71
308,manuscript,Buch,3.0
309,mathematician,Aufführung,0.04
310,notebook,Laptop,4.0
311,theory,Theorem,2.71
312,rose oil,Rosenwasser,2.79
313,Middle East,Euphrates,1.21
314,roof,Fenster,2.0
315,blanket,Sturm,0.42
316,Euphrates,Nahost,1.21
317,neurosis,Verstand,1.54
318,box,Quelle,0.0
319,Dell,Dingle,0.04
320,forecast,bedeckt,1.67
321,gold,Zink,2.92
322,mine,Stein,1.46
323,cloud,Fenster,0.58
324,case,Hardware,2.17
325,England,Königin Victoria,1.67
326,piece,Flughafen,0.04
327,navy,Insel,0.88
328,honor,Ansehen,3.29
329,Leonardo da Vinci,Das Abendmahl,2.25
330,paper,Poster,2.67
331,alloy,Stahl,3.25
332,affix,Suffix,3.21
333,polyhedron,Actant,0.21
334,helicopter,Flugzeug,3.0
335,sewing machine,Knopf,1.42
336,wrapper,Hafen,0.04
337,Juventus,Bayern München,3.0
338,income,Lebensqualitàt,1.88
339,trainers,Medaille,0.38
340,Union Jack,Flagge,2.83
341,world,Asien,1.83
342,emperor,Gouverneur,3.17
343,actor,Schauspielerin,3.58
