,word1,word2,similarity
0,constellation,Planet,6.65384615385
1,stroke,Krankenhaus,6.3846153846
2,theater,Geschichte,3.25
3,money,Eigentum,6.0
4,profit,Verlust,7.26923076925
5,magician,Zauberer,9.2115384615
6,information,Basis,4.4307692308
7,journal,Verein,2.3846153846
8,metal,Aluminium,7.71153846155
9,plan,Frieden,3.76923076925
10,museum,Theater,5.71153846155
11,stock,Öl,5.4153846154
12,credit,Information,5.2115384615
13,announcement,Nachrichten,6.96153846155
14,murder,Totschlag,8.1346153846
15,equality,Geschlecht,5.03846153845
16,car,Fahrzeug,9.3653846154
17,lobster,Wein,3.34615384615
18,tiger,Katze,7.90192307692
19,center,Schule,4.53846153845
20,planning,Familie,5.65384615385
21,drought,Sommer,5.6153846154
22,precedent,Beispiel,6.8384615385
23,territory,Oberfläche,3.86538461535
24,furnace,Herd,8.25
25,round,Spiel,5.39615384615
26,ecology,Umwelt,7.38461538465
27,hotel,Monat,0.5
28,interview,Direktor,1.8846153846
29,day,Dämmerung,6.7923076923
30,moon,Planet,7.61538461535
31,professor,Doktor,6.03846153845
32,earning,Investor,5.23846153845
33,index,Richtwert,4.6923076923
34,discipline,Psychologie,5.5
35,Japanese,Amerikaner,5.9423076923
36,seven,Reihe,2.39615384615
37,crane,Vogel,7.8846153846
38,game,Sieg,6.8076923077
39,feline,Tiger,7.68846153845
40,mammal,Tiger,7.6923076923
41,landscape,Schlucht,7.07692307695
42,sea,Meeresfrüchte,7.62884615385
43,proximity,Aufzählung,1.4423076923
44,movie,Kritik,5.96153846155
45,television,Radio,6.3076923077
46,food,Tasse,2.9615384615
47,physics,Proton,6.6923076923
48,movie,Star,7.53846153845
49,flight,Auto,3.61538461535
50,deployment,Abzug,7.03846153845
51,alcohol,Chemie,4.84615384615
52,avenue,Straße,8.25
53,governor,Mann,5.73076923075
54,match,Beginn,3.14615384615
55,surface,Gebiet,3.86538461535
56,gain,Medien,1.5576923077
57,laboratory,Computer,4.4423076923
58,precedent,Information,4.4307692308
59,tableware,Tasse,7.76923076925
60,drink,Essen,6.91923076925
61,Mars,Wasser,2.7115384615
62,victim,Notfall,6.73076923075
63,car,Flug,3.61538461535
64,atmosphere,Landschaft,3.03846153845
65,network,Hardware,7.30384615385
66,arrangement,Registrierung,3.90384615385
67,activity,Reise,5.57692307695
68,withdrawal,Geld,6.8076923077
69,glass,Metal,4.25
70,bird,Hahn,6.46153846155
71,scientist,Mars,4.9230769231
72,potato,Gurke,5.4230769231
73,government,Krise,5.03846153845
74,OPEC,Öl,7.5865384615
75,psychiatry,Psychologie,7.5961538462
76,opera,Aufführung,6.92307692305
77,galaxy,Planet,7.36538461535
78,health,Psychologie,6.22692307695
79,boy,Bursche,9.36538461535
80,tennis,Fußball,5.5769230769
81,cup,Objekt,6.15384615385
82,Arafat,Terror,5.57692307695
