,word1,word2,similarity
0,cushion,almohada,3.565
1,asylum,monje,0.405
2,glass,mago,0.26
3,autograph,firma,3.525
4,forest,bosque,3.43
5,serf,esclavo,3.52
6,car,viaje,1.735
7,automobile,coche,3.92
8,magician,oráculo,2.055
9,implement,sonrisa,0.13
10,glass,recipiente,3.35
11,noon,mediodía,3.97
12,stove,caldera,3.075
13,food,gallo,1.315
14,cord,sonrisa,0.01
15,oracle,monje,1.1
16,bird,bosque,1.455
17,shore,bosque,0.805
18,string,cordel,3.54
19,tumbler,vaso,3.35
20,mound,colina,3.52
21,woodland,selva,3.43
22,grin,chaval,0.835
23,shore,loma,1.09
24,brother,monje,2.245
25,jewel,gema,3.615
26,monk,hermano,2.245
27,rooster,grulla,1.79
28,cemetery,asilo,0.77
29,rooster,chico,0.365
30,furnace,fruta,0.13
31,woodland,pájaro,1.455
32,mound,estufa,0.11
33,automobile,cojín,0.63
34,oracle,mago,2.055
35,slave,siervo,3.52
36,graveyard,cementerio,3.94
37,asylum,fruta,0.2
38,autograph,orilla,0.03
39,cemetery,bosque,0.985
40,cemetery,cementerio,3.94
41,rooster,pollo,3.36
42,grin,instrumento,0.13
43,cord,cuerda,3.54
44,boy,sabio,0.875
45,graveyard,manicomio,0.46
46,implement,herramienta,3.395
47,magician,vaso,0.26
48,implement,caldera,1.205
49,gem,joya,3.615
50,asylum,cementerio,0.77
51,coast,colina,1.38
52,voyage,orilla,0.945
53,wizard,mago,3.21
54,wizard,sabio,2.355
55,wizard,chaval,0.685
56,woodland,colina,1.575
57,forest,costa,1.01
58,fruit,comida,2.805
59,crane,gallo,1.79
60,grin,sonrisa,3.73
61,lad,chico,3.87
62,boy,gallo,0.365
63,journey,viaje,3.355
64,bird,gallo,2.545
65,hill,bosque,1.575
66,signature,autógrafo,3.525
67,boy,chaval,3.87
68,sage,oráculo,2.41
69,lad,hermano,1.915
70,cock,gallo,3.36
71,furnace,instrumento,1.205
72,woodland,orilla,0.805
73,voyage,trayecto,3.355
74,sage,chico,0.875
75,automobile,hechicero,0.055
76,lad,hechicero,0.685
77,smile,sonrisa,3.73
78,madhouse,cementerio,0.46
79,journey,coche,1.735
80,shore,costa,3.32
81,fruit,asilo,0.2
82,midday,mediodía,3.97
83,cock,pájaro,2.545
84,mound,orilla,1.09
85,rooster,viaje,0.04
86,noon,cuerda,0.02
87,sage,hechicero,2.355
88,hill,loma,3.52
89,coast,orilla,3.32
90,food,fruta,2.805
91,wizard,automóvil,0.055
92,forest,cementerio,0.69
93,cushion,joya,0.265
94,magician,hechicero,3.21
95,shore,autógrafo,0.03
96,cushion,automóvil,0.63
97,coast,bosque,1.01
98,woodland,cementerio,0.985
99,monk,asilo,0.405
100,rooster,comida,1.315
101,lad,sonrisa,0.835
102,jewel,cristal,1.87
103,string,mediodía,0.02
104,pillow,cojín,3.565
105,fruit,caldera,0.13
106,stove,loma,0.11
107,slave,monje,0.555
108,shore,viaje,0.945
109,voyage,gallo,0.04
110,cemetery,loma,1.22
111,smile,cordel,0.01
112,brother,chaval,1.915
113,jewel,cojín,0.265
114,graveyard,selva,0.69
115,tool,instrumento,3.395
116,monk,oráculo,1.1
117,car,automóvil,3.92
118,mound,cementerio,1.22
119,hill,costa,1.38
120,crane,pájaro,2.8
121,bird,grulla,2.8
122,furnace,estufa,3.075
123,oracle,sabio,2.41
124,glass,joya,1.87
125,monk,esclavo,0.555
