,word1,word2,similarity
0,cyclone,tifón,3.71
1,International Mathematical Olympiad,teoría,0.83
2,translator,extranjero,1.5
3,chemical substance,base,2.67
4,acetylcholine,iris,0.58
5,cotton,poliéster,3.08
6,news,editorial,2.58
7,violin,guitarra,3.17
8,winner,campeón,3.71
9,delta,mar,2.29
10,cloud,ventana,0.58
11,world,Asia,2.33
12,christian,protestante,3.38
13,joystick,radar,0.67
14,Times,Guardian,3.17
15,self-driving car,vehículo autónomo,3.96
16,Clinton,Obama,3.08
17,evolution,Darwin,2.79
18,tennis,estadística,0.7
19,internet,educación a distancia,1.58
20,dune,desierto,2.29
21,artwork,artista,2.25
22,handle,proteína,0.0
23,priest,billete,0.0
24,chips,cursor,0.13
25,suspect,hombre,1.17
26,Caesar,Julio César,3.83
27,provirus,membrana plasmática,1.71
28,bank loan,deuda,2.88
29,precipitation,cambio climático,1.46
30,journalist,poeta,2.17
31,fossil,combustible fósil,1.96
32,curtain,persiana,3.21
33,tug of war,Serpientes y Escaleras,1.96
34,plane,helicóptero,3.08
35,muffin,perejil,0.79
36,pygmy hog,suidae,3.38
37,rain,tormenta de nieve,2.67
38,fox,glóbulo,0.21
39,student,profesor,2.25
40,dance,vestido,0.96
41,patriotism,himno nacional,2.17
42,soldier,paz,0.96
43,pathology,hematología,2.79
44,compass,elefante,0.09
45,key,corona,0.17
46,Silk Road,gusano de seda,0.79
47,Mercury,Júpiter,3.25
48,window,nube,0.58
49,government,lagartija,0.0
50,governor,emperador,3.29
51,supporting character,película,1.58
52,wizard,Harry Potter,3.13
53,score,nivel,2.63
54,teeth,martillo,0.0
55,stamen,polinización,2.29
56,pc game,videojuego,3.46
57,pest,pesticida,1.5
58,sphere,balón,2.75
59,chair,taburete,3.08
60,GDP,recesión,1.67
61,cardigan,camisa,3.08
62,South Pole,baile,0.0
63,angel,demonio,2.58
64,galaxy,astrónomo,1.46
65,highway,carretera,3.5
66,map,plaza,1.0
67,brain,mente,3.71
68,ostrich,huerto,0.58
69,McDonald's,KFC,3.17
70,worker,oficina,1.63
71,show,matemático,0.04
72,Legion of Honour,papelería,0.0
73,muslim,obispo,1.42
74,quality of life,renta,2.04
75,plane,Boeing,3.08
76,democracy,monarquía,2.54
77,cloud,lago,0.7
78,Alexander the Great,conquistador,3.0
79,monarchy,democracia,2.54
80,Ban Ki-moon,Naciones Unidas,2.38
81,sergeant,pistola,1.5
82,phonology,pantalla,0.0
83,cash,dinero,3.42
84,church,catedral,3.42
85,brush,acuarela,2.21
86,snow,avalancha,2.25
87,actor,poliedro,0.0
88,Julius Caesar,César,3.83
89,tuberculosis,LED,0.0
90,office,trabajador,1.63
91,lobster,tiburón ballena,2.21
92,Mozilla Firefox,navegador web,3.46
93,sky,sueño,0.54
94,Renascence,Renaissance,3.96
95,sword,medio ambiente,0.0
96,lock,llave,2.21
97,priest,profeta,2.42
98,jeans,mujer,0.75
99,mother tongue,idioma,3.25
100,director,jefe,3.21
101,money,efectivo,3.42
102,boat,árbol,0.21
103,watch,falda,0.54
104,screen,monitor,3.92
105,typhoon,ciclón,3.71
106,lake,garza real,1.33
107,iris,acetilcolina,0.58
108,mosaic,basílica,1.54
109,pollination,estambre,2.29
110,Spider-Man,calle,0.34
111,essay,deberes,2.33
112,stool,silla,3.08
113,snapdragon,lantana,3.08
114,bronchitis,acetaminofeno,1.38
115,CO2,dióxido de carbono,4.0
116,strategy,juego de estrategia,2.0
117,syllabus,examen,2.08
118,digit,citoplasma,0.8
119,underwear,cuerpo,1.04
120,skirt,reloj,0.54
121,writer,regalo,0.17
122,justice,tribunal,2.5
123,Jupiter,Mercurio,3.25
124,ant,mosca,2.96
125,session,paciente,1.04
126,table,puesta de sol,0.0
127,piano,armonía,1.46
128,Moscow,Unión Europea,2.0
129,box,fuente,0.0
130,mohito,mojito,4.0
131,episode,capítulo,3.25
132,woodland,Tiger Woods,0.08
133,honor,estima,2.79
134,patient,sesión,1.04
135,playoff,baloncesto,1.54
136,statistical measure,esperanza de vida,2.21
137,source,caja,0.0
138,Neanderthal,deporte,0.0
139,princess,galleta,0.04
140,Coke,Coca Cola,3.88
141,opera,cine,2.75
142,xenophobia,racismo,3.63
143,butterfly,rosa,1.13
144,athlete,corredor,3.29
145,matrix,molécula,0.13
146,Earth,meteorito,1.79
147,telephone,móvil,3.71
148,actor,actriz,3.46
149,magma,volcán,2.33
150,flag,vexilología,2.33
151,sadness,felicidad,2.46
152,problem,trastorno bipolar,1.96
153,sewing machine,botón,1.38
154,king,nepotismo,1.25
155,volcano,magma,2.33
156,museum,ceca,1.25
157,helicopter,avión,3.08
158,climate change,precipitación,1.46
159,body,ropa interior,1.04
160,legend,moraleja,1.29
161,gunboat,costa,1.33
162,intention,voluntad,3.29
163,cursor,patatas fritas,0.13
164,KFC,McDonald's,3.17
165,astronomer,galaxia,1.46
166,Mensa,CI,1.92
167,compiler,subrutina,2.33
168,stock exchange,mercado de valores,3.58
169,World War II,Beethoven,0.04
170,vocalist,personal,1.33
171,camera,secuela,0.79
172,offender,criminal,3.54
173,peppermint,chicle,1.71
174,weapon,casco,1.75
175,fertilizer,crecimiento,1.54
176,woman,vaqueros,0.75
177,equator,Ecuador,1.38
178,Renaissance,Renacimiento,3.96
179,competition,respeto mutuo,1.08
180,Green Revolution,pintura,0.0
181,popcorn,cine,1.38
182,key,cerradura,2.21
183,suffrage,salida,0.04
184,bat,vampiro,2.5
185,bus,centro,0.75
186,Gauss,científico,2.92
187,Wall Street,mercado financiero,3.0
188,elementary school,bolígrafo,1.13
189,archaeology,antropología,2.54
190,Hebrew,Jerusalén,1.75
191,person,paso de cebra,1.29
192,European Parliament,Naciones Unidas,2.58
193,mask,fiesta,1.25
194,Soviet Union,Guerra Fría,2.33
195,basmati,arroz jazmín,3.42
196,battery,energía,2.63
197,pedestrian crossing,persona,1.29
198,worm,malware,3.29
199,meadow,pradera,3.42
200,esteem,honor,2.79
201,Orion,constelación,3.08
202,zinc,oro,2.96
203,stock market,bolsa,3.58
204,Islam,Corán,2.58
205,theory,hipótesis,3.58
206,cable,capilla,0.13
207,Photoshop,Paint,3.25
208,El Niño,ecuador,0.96
209,song,artista,1.63
210,Woody Allen,objetivo,0.33
211,biology,biotopo,1.92
212,forest,Amazonas,2.83
213,Harry Potter,mago,3.13
214,Aristotle,Platón,3.17
215,heater,paraguas,0.17
216,acoustics,sonido,2.33
217,class,caos,0.13
218,riot,dibujo,0.04
219,will,intención,3.29
220,movie,largometraje,3.88
221,window blind,cortina,3.21
222,airport,pieza,0.08
223,biscuit,princesa,0.04
224,meteorite,Tierra,1.79
225,flora,naturaleza,3.21
226,American,inglés,3.25
227,pathogen,germen,3.83
228,debt,préstamo bancario,2.88
229,blanket,vendaval,0.25
230,England,Reina Victoria,1.79
231,IMF,Deutsche Bank,2.75
232,base,ácido,2.75
233,train,tranvía,3.46
234,candy,canela,1.67
235,pointer,diapositiva,1.25
236,iPhone,Apple,2.54
237,teacher,instructor,3.83
238,robotics,simulación,1.33
239,rock,mina,1.79
240,chemotherapy,cáncer de páncreas,1.79
241,nature,flora,3.21
242,eczema,dermatitis,3.83
243,University of Cambridge,Universidad de Oxford,3.21
244,United Nations,Parlamento Europeo,2.58
245,acid,base,2.75
246,lizard,gobierno,0.0
247,gray heron,lago,1.33
248,article,manuscrito,3.46
249,vampire,murciélago,2.5
250,Boeing 747-200,cola,1.58
251,officer,diputado,2.63
252,computer,máquina,3.13
253,telescope,tormenta de ideas,0.0
254,ice,nieve,3.0
255,The Last Supper,Leonardo da Vinci,2.38
256,gun,sargento,1.5
257,armed forces,defensa,2.42
258,app,galaxia,0.21
259,supporter,críquet,1.42
260,monkey,campaña,0.0
261,Dylan,Federer,0.46
262,blanket,madera,0.29
263,penny,ganga,1.13
264,chair,telescopio,0.17
265,senate,constitución,1.63
266,road,autovía,3.5
267,case,electricidad,0.25
268,diode,condensador,2.83
269,web browser,flora,0.0
270,theatre,película,1.96
271,carbon dioxide,CO2,4.0
272,chaos,clase,0.13
273,coin,pago,1.83
274,alloy,acero,3.29
275,thread,hilado,3.5
276,glacier,calentamiento global,1.63
277,homeless,multimillonario,1.67
278,ozone,atmósfera,2.5
279,Britain,HSBC,1.38
280,Brexit,impuesto,1.08
281,biotope,biología,1.92
282,crocodile,lagarto,3.25
283,mint,museo,1.25
284,sexism,discriminación de género,3.92
285,distance education,Internet,1.58
286,visa,globalismo,1.33
287,guitar,violín,3.17
288,atmosphere,ozono,2.5
289,multiple sclerosis,EM,3.96
290,behaviourism,terapia,2.17
291,Alexander Fleming,penicilina,2.54
292,autonomous car,coche autónomo,3.96
293,statue,escultura,3.63
294,yo-yo,juguete,2.83
295,salt,cloruro de sodio,3.92
296,prosecutor,abogado,3.29
297,poem,ritmo,1.54
298,rose oil,agua de rosas,3.08
299,language,lengua materna,3.25
300,actor,televisión,1.58
301,GTA,Grand Theft Auto,4.0
302,university,campus,2.75
303,orchard,avestruz,0.58
304,Google Drive,conductor,0.0
305,roof,ventana,2.08
306,sport,neandertal,0.0
307,wood,piedra,2.42
308,Jerusalem,hebreo,1.75
309,sequel,cámara,0.79
310,Paint,Photoshop,3.25
311,dermatitis,eczema,3.83
312,protein molecule,receptor,2.71
313,flute,música,1.92
314,law,piscina,0.04
315,Amazon,bosque,2.83
316,preschool,jardín de infancia,3.63
317,tremor,terremoto,3.67
318,weather,ola,0.75
319,field,avena,1.38
320,paper money,sacerdote,0.0
321,conqueror,Alejandro Magno,3.0
322,infinity,cero,2.38
323,Dingle,Dell,0.0
324,historiographer,historiador,3.63
325,Middle East,Éufrates,1.63
326,clock tower,piedra,0.67
327,philosopher,carreras,0.25
328,cable,mago,0.0
329,avalanche,nieve,2.25
330,combine,caña de azúcar,1.0
331,corn,mijo,3.58
332,teacher,estudiante,2.25
333,vexillology,bandera,2.33
334,skyscraper,palacio,2.42
335,statistics,tenis,0.7
336,lens,Woody Allen,0.33
337,Canon,Fox Terrier,0.0
338,spacecraft,Julio,0.38
339,fraud,corrupción,3.13
340,Mozart,Guerra de las Galaxias,0.0
341,topic,hashtag,2.54
342,wave,clima,0.75
343,global warming,glaciar,1.63
344,wrapper,puerto,0.04
345,grapefruit,cítrico,3.38
346,sculpture,estatua,3.63
347,insignia,dignidad,0.88
348,Promised Land,Baku,0.42
349,deputy,oficial,2.63
350,cable,Sol,0.04
351,water,coronación,0.0
352,New York,antropología,0.21
353,wizard,cable,0.0
354,gun,cuaderno,0.0
355,electric train,Siemens,1.75
356,gallery,abogado,0.21
357,Chomolungma,Monte Everest,3.92
358,year,siglo,2.83
359,jumping,valla,1.38
360,sensor,radiador,1.04
361,growth,fertilizante,1.54
362,navy,isla,1.04
363,scientist,Gauss,2.92
364,Ecuador,ecuador,1.38
365,parliament,congreso,3.63
366,growth hormone,somatotropina,3.88
367,Olympic Games,espíritu,0.79
368,palace,rascacielos,2.42
369,cash flow,río,0.0
370,runner,atleta,3.29
371,monitor,pantalla,3.92
372,mind,cerebro,3.71
373,tree,barco,0.21
374,hypothesis,teoría,3.58
375,vapor,cero absoluto,1.25
376,level,puntuación,2.63
377,economy,ecosistema,0.75
378,cinema,palomitas,1.38
379,river,flujo de caja,0.0
380,trout,guitarra,0.0
381,AI,batería,0.25
382,Ebola virus,Ébola,3.96
383,energy,batería,2.63
384,theory,Olimpiada Internacional de Matemáticas,0.83
385,sister,hermano,3.04
386,glass,emblema,0.0
387,Juventus,Bayern Munich,3.04
388,acetaminophen,bronquitis,1.38
389,pen,alfabeto,0.63
390,silkworm,Ruta de la Seda,0.79
391,car,tanque,2.33
392,polyester,algodón,3.08
393,lawyer,galería,0.21
394,Deutsche Bank,FMI,2.75
395,HSBC,Gran Bretaña,1.38
396,tax,Brexit,1.08
397,trainers,medalla,0.25
398,mainboard,placa madre,4.0
399,national anthem,patriotismo,2.17
400,town,ciudad,3.29
401,surfing,deporte acuático,3.08
402,pineapple,smartphone,0.0
403,rose,mariposa,1.13
404,writer,novela,1.88
405,Mona Lisa,obra maestra,2.75
406,cotton,jersey,1.79
407,receptor,molécula proteica,2.71
408,malware,gusano,3.29
409,nihilism,película,0.09
410,umbrella,radiador,0.17
411,demon,ángel,2.58
412,Obama,Clinton,3.08
413,association,partido político,2.17
414,chain reaction,termodinámica,1.83
415,paint,revolución verde,0.0
416,Leonardo da Vinci,La Última Cena,2.38
417,snake,lagartija,2.83
418,ball,raqueta,2.21
419,drug,Pfizer,2.46
420,slide,puntero,1.25
421,piston,motor,2.25
422,operating system,aprendizaje profundo,1.25
423,magistrate,juez,3.63
424,gender discrimination,sexismo,3.92
425,dice,cubo,2.5
426,leaf,plántula,1.96
427,fashion,estilo,3.0
428,sword,trono,1.25
429,rhythm,cadencia,3.46
430,polyhedron,actor,0.0
431,panda,oso polar,3.21
432,battery,teatro,0.0
433,Nike,Adidas,3.17
434,Shakespeare,Dickens,2.92
435,web browser,Mozilla Firefox,3.46
436,elephant,brújula,0.09
437,mark,club,0.67
438,cinema,ópera,2.75
439,mojito,mojito,4.0
440,spoon,zumo,0.54
441,satire,mito,1.83
442,tribunal,justicia,2.5
443,sea,maremoto,1.86
444,JPEG,PDF,2.96
445,base,sustancia química,2.67
446,guitar,trucha,0.0
447,Adidas,Nike,3.17
448,absolute zero,vapor,1.25
449,steel,aleación,3.29
450,singer,coro,2.67
451,maize,maíz,3.58
452,system,falla,0.7
453,galaxy,aplicación,0.21
454,dollar,millonario,1.83
455,slave,criado,3.33
456,billionaire,vagabundo,1.67
457,yarn,hilo,3.5
458,city,pueblo,3.29
459,attack,crimen,2.75
