,word1,word2,similarity
0,Obama,کلینتون,3.21
1,dignity,نشان افتخار,0.92
2,polyester,پنبه,3.08
3,Spider-Man,خیابان,0.34
4,Earth,شهاب‌سنگ,2.29
5,Euphrates,خاورمیانه,1.75
6,orange,مرکبات,3.04
7,caterpillar,کرم ابریشم,3.46
8,meteor,گرانش,1.13
9,basilica,موزائیک,1.42
10,character,آدم,2.58
11,Alexander the Great,فاتح,2.63
12,matrix,ملکول,0.25
13,surgical operation,درمان,2.5
14,opera,سینما,2.79
15,bishop,مسلمان,1.92
16,Grand Theft Auto,جی‌تی‌ای,3.83
17,growth,کود,1.75
18,Soviet Union,جنگ سرد,2.08
19,Mercedes,اوپل,3.17
20,jasmine rice,باسماتی,3.42
21,post,سرعت,0.41
22,television,بازیگر,1.92
23,culture,جامعه,2.38
24,Gmail,یاهو,2.71
25,fashion,سبک,3.13
26,harbor,لفاف,0.04
27,ostrich,باغ سیب,0.21
28,apocalypse,آتش,0.92
29,civilization,سبک زندگی,1.58
30,film,فیلم سینمایی,3.71
31,atmosphere,ازن,2.46
32,masterpiece,مونالیزا,2.46
33,crochet,لباس فرم,0.88
34,window,سقف,2.38
35,movie,فیلم,3.71
36,key,تاج‌,0.33
37,chapel,سیم,0.13
38,problem,اختلال دوقطبی,2.21
39,serial killer,قاتل,3.42
40,jacket,آب‌ معدنی,0.0
41,MS,اسکلروز چندگانه,3.96
42,growth hormone,سوماتوتروپین,3.96
43,sequel,دوربین,0.67
44,sport,نئاندرتال,0.0
45,Yahoo,جیمیل,2.71
46,rain,تگرگ,3.13
47,Coke,کوکاکولا,3.95
48,blizzard,باران,2.75
49,director,رئيس,3.63
50,sultan,وزارت,1.58
51,leggings,زارا,1.92
52,cadence,نواخت,3.38
53,fertilizer,رشد,1.75
54,jeans,زن,0.79
55,precipitation,تغییر اقلیم,1.63
56,wall,قلعه,2.0
57,surfing,ورزش آبی,3.08
58,somatotropin,هورمون رشد,3.96
59,suidae,گراز کوتوله,3.42
60,christian,پروتستان,3.17
61,Western world,وسترن یونیون,0.38
62,fox,سلول خون,0.33
63,Dickens,شکسپیر,3.08
64,Aristotle,افلاطون,3.29
65,grassland,علف‌زار,3.5
66,Bible,انجیل,3.33
67,Mozart,جنگ ستارگان,0.0
68,comic book,داستان مصور,3.17
69,whale shark,شاه‌میگو,2.38
70,volcano,ماگما,2.29
71,battery,تئاتر,0.04
72,murderer,قاتل زنجیره‌ای,3.42
73,Times,گاردین,3.08
74,criminal,خلافکار,3.71
75,anthropology,باستان‌شناسی,2.88
76,corruption,کلاه‌برداری,3.13
77,evolution,داروین,2.21
78,illustration,تاول,0.0
79,band,ارکستر,3.54
80,actor,چندوجهی,0.0
81,splash,گرانروی,2.13
82,mineral water,ژاکت,0.0
83,Hadoop,صفحه لمسی,0.75
84,food,برنامه,0.33
85,nihilism,فیلم,0.25
86,sweater,پنبه,2.0
87,sadness,خوشحالی,2.5
88,society,فرهنگ,2.38
89,association,حزب سیاسی,2.29
90,blood,بدن,1.79
91,Renascence,رنسانس,4.0
92,Woody Allen,لنز,0.58
93,mosaic,قصر سلطنتی,1.42
94,bargain,پنی,1.38
95,job,ابزار,1.21
96,liberty,رهایی,3.92
97,mill,دانه,0.79
98,cable,خورشید,0.04
99,Jupiter,عطارد,3.25
100,charger,دیسک,1.29
101,Zara,ساق‌پوش,1.92
102,London,قیمت پیشنهادی خرید,0.25
103,chair,چهارپایه,3.17
104,orchard,شترمرغ,0.21
105,viscosity,شتک,2.13
106,England,ملکه ویکتوریا,1.96
107,flora,طبیعت,2.63
108,Dingle,دل,0.04
109,film,پوچ‌گرایی,0.25
110,cloud,پنجره,0.63
111,base,ماده شیمیایی,2.96
112,Bayern Munich,یوونتوس,3.13
113,bottle,قوطی,3.08
114,robotics,شبیه‌سازی,1.58
115,diode,خازن,3.33
116,avalanche,برف,2.21
117,acetylcholine,عنبیه,0.79
118,chemical substance,باز,2.96
119,patient,جلسه,0.46
120,city center,اتوبوس,0.71
121,maize,ذرت,3.96
122,sign,سمبل,3.13
123,penny,معامله,1.38
124,electric train,زیمنس,1.79
125,parcel,کامیون,0.5
126,pen,الفبا,0.79
127,acetaminophen,برونشیت,1.5
128,U2,رونالدو,0.33
129,fluid,سرشلنگ,1.67
130,fire,آخرالزمان,0.92
131,global warming,گرما,2.38
132,Dell,دینگل,0.04
133,umbrella,کالیبر,0.0
134,ministry,سلطان,1.58
135,pollination,پرچم,2.5
136,case,الکتریسیته,0.38
137,JPY,پولشویی,1.5
138,chair,تلسکوپ,0.29
139,European Union,مسکو,2.21
140,cytoplasm,انگشت,0.75
141,wrapper,بندرگاه,0.04
142,tremor,زمین‌لرزه,3.96
143,receptor,ملکول پروتئین,3.21
144,helmet,سلاح,2.08
145,highway,جاده,3.38
146,phonology,صفحه نمایش,0.04
147,dance,قطب جنوب,0.0
148,zero,بینهایت,2.58
149,tree,قایق,0.38
150,McDonald's,کی‌اف‌سی,3.17
151,iPhone,اپل,2.5
152,crown,کلید,0.33
153,national anthem,میهن‌دوستی,2.25
154,smartphone,سیب,0.25
155,museum,ضرابخانه,1.21
156,bipolar disorder,مشکل,2.21
157,brain,ذهن,3.54
158,theatre,باتری,0.04
159,instructor,معلم,3.92
160,citrus,پرتقال,3.04
161,fossil fuel,سنگواره,2.08
162,poem,وزن,1.92
163,key,قفل,2.46
164,blister,تصویرسازی,0.0
165,yo-yo,اسباب‌بازی,2.92
166,galaxy,منجم,1.71
167,cash,پول,3.52
168,Neanderthal,ورزش,0.0
169,king,فرمانروا,3.71
170,fly,مورچه,3.0
171,constellation,شکارچی,3.04
172,spacecraft,ژول,0.45
173,tool,شغل,1.21
174,screen,صداشناسی,0.04
175,campus,دانشگاه,2.96
176,camera,دنباله,0.67
177,Spanish,رطوبت,0.0
178,magistrate,قاضی,3.58
179,anthropology,نیویورک,0.13
180,check,شطرنج,1.96
181,gift,نویسنده,0.17
182,statistics,تنیس,0.45
183,fossil,سوخت فسیلی,2.08
184,river,جریان نقدی,0.13
185,acoustics,صدا,2.33
186,operation,جبر,1.83
187,base,اسید,2.75
188,suffrage,خروج,0.25
189,Pfizer,دارو,2.46
190,deep learning,سیستم‌عامل,1.79
191,sandwich,ساب‌وی,2.04
192,orchestra,گروه‌موسیقی,3.54
193,university,پردیس دانشگاهی,2.96
194,silkworm,کرم پیله ساز,3.46
195,Plato,ارسطو,3.29
196,caliber,چتر,0.0
197,Juventus,بایرن‌مونیخ,3.13
198,cricket,حامی,1.54
199,cinnamon,آب‌نبات,1.67
200,Maastricht Treaty,اروپا,1.96
201,theory,قضیه,2.67
202,Orion,صورت فلکی,3.04
203,sensor,رادیاتور,0.79
204,vampire,خفاش,2.33
205,theory,المپیاد جهانی ریاضی,1.0
206,heater,چتر,0.25
207,teeth,چکش,0.17
208,gun,دفتریادداشت,0.17
209,water,خشکسالی,2.17
210,depression,دره,2.38
211,club,علامت,0.5
212,supporting character,فیلم,1.88
213,drought,آب‌,2.17
214,butterfly,رز,1.21
215,skirt,ساعت,1.38
216,wizard,هری پاتر,2.83
217,policeman,سیاستمدار,2.04
218,Mona Lisa,شاهکار,2.46
219,entropy,اطلاعات,1.67
220,pancreatic cancer,شیمی‌درمانی,1.83
221,coach,بازیکن,2.79
222,constitution,امپراتور,1.21
223,backgammon,گو,3.25
224,pc game,بازی ویدئویی,3.25
225,silkworm,راه ابریشم,0.54
