,word1,word2,similarity
0,bird,coq,2.545
1,forest,bois,3.685
2,car,automobile,3.93
3,implement,fournaise,0.965
4,sage,garçon,0.625
5,oracle,moine,0.65
6,glass,magicien,0.25
7,cushion,bijou,0.31
8,monk,oracle,0.65
9,gem,bijou,3.58
10,rooster,coq,3.84
11,forest,cimetière,0.585
12,furnace,four,2.945
13,rooster,nourriture,0.85
14,cord,ficelle,3.37
15,lad,garçon,3.825
16,rooster,garçon,0.44
17,magician,verre,0.25
18,hill,côte,1.715
19,lad,frère,2.205
20,coast,forêt,0.535
21,signature,autographe,3.575
22,madhouse,refuge,3.16
23,autograph,signature,3.575
24,asylum,fruit,0.095
25,bird,grue,2.14
26,cemetery,cimetière,3.94
27,fruit,fournaise,0.08
28,journey,périple,3.085
29,stove,monticule,0.1
30,graveyard,cimetière,3.94
31,implement,outil,3.33
32,cushion,oreiller,3.42
33,stove,fournaise,2.945
34,mound,rivage,0.57
35,fruit,nourriture,2.735
36,pillow,coussin,3.42
37,cemetery,refuge,0.645
38,cock,oiseau,2.14
39,coast,colline,1.715
40,shore,autographe,0.03
41,tool,instrument,3.33
42,lad,sorcier,0.715
43,automobile,sorcier,0.055
44,magician,sorcier,2.94
45,noon,ficelle,0.02
46,fruit,refuge,0.095
47,voyage,rivage,0.75
48,jewel,joyau,3.58
49,glass,gobelet,3.42
50,monk,frère,2.815
51,food,fruit,2.735
52,brother,gars,2.205
53,boy,coq,0.44
54,mound,colline,3.115
55,asylum,moine,0.305
56,brother,moine,2.815
57,woodland,forêt,3.685
58,monk,refuge,0.305
59,boy,sage,0.625
60,string,corde,3.37
61,wizard,automobile,0.055
62,rooster,périple,0.05
63,shore,trip,0.75
64,furnace,instrument,0.965
65,shore,monticule,0.57
66,grin,gars,0.495
67,voyage,coq,0.05
68,forest,côte,0.535
69,wizard,magicien,2.94
70,cushion,automobile,0.515
71,boy,gars,3.825
72,jewel,coussin,0.31
73,woodland,rivage,0.615
74,hill,monticule,3.115
75,implement,grimace,0.09
76,graveyard,asile,0.32
77,wizard,gars,0.715
78,crane,oiseau,2.545
79,grin,instrument,0.09
80,shore,bois,0.615
81,food,coq,0.85
82,furnace,fruit,0.08
83,automobile,coussin,0.515
84,graveyard,forêt,0.585
85,cock,coq,3.84
86,asylum,cimetière,0.645
87,asylum,asile,3.16
88,string,midi,0.02
89,automobile,auto,3.93
90,smile,corde,0.01
91,autograph,rivage,0.03
92,slave,moine,0.37
93,monk,esclave,0.37
94,cord,sourire,0.01
95,lad,grimace,0.495
96,madhouse,cimetière,0.32
97,mound,four,0.1
98,voyage,voyage,3.085
99,tumbler,verre,3.42
