,word1,word2,similarity
0,cimetière,manicomio,0.36
1,côte,colina,1.835
2,midi,cuerda,0.0
3,sourire,cordel,0.0
4,automobile,coche,3.93
5,corde,sonrisa,0.0
6,coq,pollo,3.52
7,rivage,autógrafo,0.0
8,sorcier,chaval,0.41
9,garçon,chaval,3.875
10,cimetière,asilo,0.625
11,sorcier,mago,2.94
12,refuge,monje,0.32
13,gars,sonrisa,0.45
14,verre,mago,0.07
15,fruit,asilo,0.105
16,monticule,colina,3.345
17,bois,orilla,0.52
18,monticule,cementerio,0.485
19,instrument,sonrisa,0.04
20,bois,selva,3.465
21,bijou,cojín,0.125
22,bois,cementerio,0.45
23,frère,chaval,1.71
24,bijou,gema,3.255
25,automobile,cojín,0.175
26,grimace,chaval,0.45
27,sorcier,automóvil,0.0
28,garçon,sabio,0.54
29,colline,costa,1.835
30,oiseau,gallo,2.055
31,esclave,monje,0.355
32,grue,pájaro,2.055
33,coq,pájaro,2.665
34,coq,comida,1.075
35,oiseau,grulla,2.665
36,rivage,bosque,0.52
37,forêt,costa,0.695
38,gars,hermano,1.71
39,rivage,viaje,0.475
40,cimetière,loma,0.485
41,signature,autógrafo,3.51
42,moine,asilo,0.32
43,refuge,cementerio,0.625
44,fruit,comida,2.85
45,oracle,monje,0.84
46,four,caldera,2.91
47,coq,chico,0.365
48,grue,instrumento,1.095
49,gars,chico,3.875
50,oreiller,cojín,3.145
51,cimetière,cementerio,4.0
52,côte,bosque,0.695
53,asile,cementerio,0.36
54,autographe,orilla,0.0
55,four,loma,0.07
56,périple,trayecto,2.86
57,instrument,grúa,1.095
58,fournaise,fruta,0.16
59,sage,oráculo,1.745
60,autographe,firma,3.51
61,fournaise,instrumento,0.8
62,ficelle,cordel,3.5
63,moine,esclavo,0.355
64,nourriture,gallo,1.075
65,sage,chico,0.54
66,automobile,hechicero,0.0
67,verre,recipiente,3.32
68,moine,oráculo,0.84
69,forêt,cementerio,0.275
70,côte,orilla,2.77
71,coq,gallo,3.52
72,joyau,joya,3.255
73,fournaise,estufa,2.91
74,grimace,instrumento,0.04
75,forêt,bosque,3.465
76,garçon,gallo,0.365
77,magicien,vaso,0.07
78,périple,gallo,0.05
79,outil,instrumento,3.065
80,coussin,almohada,3.145
81,cimetière,bosque,0.45
82,nourriture,fruta,2.85
83,coq,viaje,0.05
84,auto,automóvil,3.93
85,coussin,automóvil,0.175
86,magicien,hechicero,2.94
87,ficelle,mediodía,0.0
88,instrument,herramienta,3.065
89,colline,loma,3.345
90,corde,cuerda,3.5
91,gars,hechicero,0.41
92,trip,orilla,0.475
93,fruit,caldera,0.16
94,coussin,joya,0.125
95,gobelet,vaso,3.32
96,cimetière,selva,0.275
97,refuge,fruta,0.105
98,rivage,costa,2.77
99,voyage,viaje,2.86
100,oracle,sabio,1.745
101,monticule,estufa,0.07
102,instrument,caldera,0.8
