,word1,word2,similarity
0,car,automobile,3.92
1,gem,jewel,3.84
2,journey,voyage,3.84
3,boy,lad,3.76
4,coast,shore,3.70
5,asylum,madhouse,3.61
6,magician,wizard,3.50
7,midday,noon,3.42
8,furnace,stove,3.11
9,food,fruit,3.08
10,bird,cock,3.05
11,bird,crane,2.97
12,tool,implement,2.95
13,brother,monk,2.82
14,lad,brother,1.66
15,crane,implement,1.68
16,journey,car,1.16
17,monk,oracle,1.10
18,cemetery,woodland,0.95
19,food,rooster,0.89
20,coast,hill,0.87
21,forest,graveyard,0.84
22,shore,woodland,0.63
23,monk,slave,0.55
24,coast,forest,0.42
25,lad,wizard,0.42
26,chord,smile,0.13
27,glass,magician,0.11
28,rooster,voyage,0.08
29,noon,string,0.008
