,word1,word2,similarity
0,episcopal,russia,2.75
1,water,shortage,2.714285714
2,horse,wedding,2.266666667
3,plays,losses,3.2
4,classics,advertiser,2.25
5,latin,credit,2.0625
6,ship,ballots,2.3125
7,mistake,error,4.352941176
8,disease,plague,4.117647059
9,sake,shade,2.529411765
10,saints,observatory,1.9375
11,treaty,wheat,1.8125
12,texas,death,1.533333333
13,republicans,challenge,2.3125
14,body,peaceful,2.058823529
15,admiralty,intensity,2.647058824
16,body,improving,2.117647059
17,heroin,marijuana,3.375
18,scottish,commuters,2.6875
19,apollo,myth,2.6
20,film,cautious,2.125
21,exhibition,art,4.117647059
22,chocolate,candy,3.764705882
23,republic,candidate,2.8125
24,gospel,church,4.0625
25,momentum,desirable,2.4
26,singapore,sanctions,2.117647059
27,english,french,3.823529412
28,exile,church,2.941176471
29,navy,coordinator,2.235294118
30,adventure,flood,2.4375
31,radar,plane,3.235294118
32,pacific,ocean,4.266666667
33,scotch,liquor,4.571428571
34,kennedy,gun,3
35,garfield,cat,2.866666667
36,scale,budget,3.5
37,rhythm,blues,3.071428571
38,rich,privileges,3.2
39,navy,withdrawn,1.571428571
40,marble,marching,2.615384615
41,polo,charged,2.125
42,mark,missing,2.333333333
43,battleship,army,4.235294118
44,medium,organization,2.5625
45,pennsylvania,writer,1.466666667
46,hamlet,poet,3.882352941
47,battle,prisoners,3.705882353
48,guild,smith,2.75
49,mud,soil,4.235294118
50,crime,assaulted,3.941176471
51,mussolini,stability,2.133333333
52,lincoln,division,2.4375
53,slaves,insured,2.2
54,summer,winter,4.375
55,integration,dignity,3.058823529
56,money,quota,2.5
57,honolulu,vacation,3.6875
58,libya,forged,2.461538462
59,cheers,musician,2.823529412
60,session,surprises,1.8125
61,billion,campaigning,2.571428571
62,perjury,soybean,2.0625
63,forswearing,perjury,3.3125
64,costume,halloween,3.4375
65,bulgarian,nurses,1.941176471
66,costume,ultimate,2.5
67,faith,judging,2.235294118
68,france,bridges,2.235294118
69,citizenship,casey,2.2
70,recreation,dish,1.4
71,intelligence,troubles,1.625
72,germany,worst,1.4375
73,chaos,death,2.75
74,sydney,hancock,2.857142857
75,sabbath,stevenson,2.214285714
76,espionage,passport,2.3125
77,political,today,1.6875
78,pipe,convertible,2
79,scouting,demonstrate,2.5625
80,salute,patterns,2.235294118
81,reichstag,germany,2.285714286
82,radiation,costumes,1.5625
83,horace,grief,1.764705882
84,sale,rental,3.470588235
85,open,close,4.058823529
86,photography,proving,2.375
87,propaganda,germany,1.705882353
88,assassination,forbes,2.071428571
89,mirror,duel,1.928571429
90,probability,hanging,2.058823529
91,africa,theater,1.5
92,hell,heaven,4.117647059
93,mussolini,italy,3
94,composer,beethoven,3.647058824
95,minister,forthcoming,1.764705882
96,brussels,sweden,3.176470588
97,neutral,parish,1.6
98,emotion,taxation,1.733333333
99,louisiana,simple,2
100,quarantine,disease,3
101,cannon,imprisoned,2.625
102,bronze,suspicion,2
103,pearl,interim,2.352941176
104,artist,paint,4.117647059
105,relay,family,2.0625
106,art,mortality,2.294117647
107,food,investment,2.25
108,alt,tenor,2.692307692
109,catholics,protestant,3.5625
110,militia,landlord,3.0625
111,battle,warships,4.176470588
112,alcohol,fleeing,2.5625
113,coil,ashes,3.117647059
114,poland,russia,4
115,explosive,builders,2.4375
116,aeronautics,plane,4.277777778
117,charge,sentence,3.133333333
118,pet,retiring,2
119,drink,alcohol,4.352941176
120,stability,species,2.375
121,colonies,depression,2
122,easter,preference,2.0625
123,genius,intellect,4.090909091
124,diamond,killed,1.555555556
125,slavery,african,2.8
126,jurisdiction,law,4.454545455
127,saints,repeal,1.555555556
128,conspiracy,campaign,2.166666667
129,operator,extracts,2.214285714
130,physician,action,2.153846154
131,electronics,guess,1.916666667
132,slavery,diamond,2.285714286
133,quarterback,sport,3.142857143
134,assassination,killed,4.285714286
135,slavery,klan,2.230769231
136,heroin,shoot,2.692307692
137,birds,disturbances,1.692307692
138,palestinians,turks,2.5
139,citizenship,court,2.5
140,immunity,violation,2.076923077
141,alternative,contend,2.461538462
142,chile,plates,2.692307692
143,abraham,stranger,1.846153846
144,kansas,city,3.769230769
145,month,year,3.857142857
146,month,day,3.857142857
147,amateur,actor,2.333333333
148,afghanistan,war,3.384615385
149,transmission,maxwell,2.25
150,manchester,ambitious,1.923076923
151,program,battered,1.928571429
152,drawing,music,2.583333333
153,exile,pledges,2.307692308
154,adventure,sixteen,1.538461538
155,exile,threats,2.166666667
156,concrete,wings,1.428571429
157,seizure,bishops,2
158,submarine,sea,3.857142857
159,villa,mayor,2.25
160,trade,farley,2.375
161,nature,forest,3.636363636
162,chronicle,young,1.9
163,radical,bishops,1.818181818
164,pakistan,radical,2.875
165,fire,water,4.266666667
166,gossip,nuisance,3.0625
167,con,examiner,2.266666667
168,satellite,space,3.75
169,essay,boston,2
170,miniature,statue,3.6
171,spill,pollution,3.5
172,minister,council,3.5625
173,landscape,mountain,3.5625
174,religion,remedy,2.5625
175,ship,storm,3.5
176,college,scientist,2.8125
177,crystal,oldest,2.5625
178,afghanistan,wise,2.066666667
179,trinity,religion,3.133333333
180,homer,odyssey,2.857142857
181,parish,clue,2.4375
182,actress,actor,4.0625
183,patent,professionals,2.375
184,chaos,horrible,3.066666667
185,acre,earthquake,2.125
186,goverment,immunity,2
187,football,justice,1.8
188,gambling,money,3.75
189,corruption,nervous,1.875
190,cardinals,villages,2.375
191,life,death,4.103448276
192,artillery,sanctions,2.428571429
193,jerusalem,murdered,2.357142857
194,cell,brick,3.285714286
195,knowledge,promoter,2.642857143
196,adventure,rails,2.571428571
197,houston,crash,2.357142857
198,oxford,subcommittee,2.642857143
199,militia,weapon,3.785714286
200,manufacturer,meat,1.857142857
201,damages,reaction,3.071428571
202,sea,fishing,4.357142857
203,atomic,clash,2.785714286
204,broadcasting,athletics,3
205,mystery,expedition,2.538461538
206,kremlin,soviets,3.166666667
207,pig,blaze,1.75
208,riverside,vietnamese,2.25
209,bitter,protective,1.923076923
210,disaster,announced,2.384615385
211,pork,blaze,2.230769231
212,feet,international,1.916666667
213,radical,uniform,2.5
214,gossip,condemned,2.692307692
215,mozart,wagner,3.166666667
216,soccer,boxing,3.4
217,radical,roles,2.75
218,rescued,slaying,3
219,researchers,tested,3.538461538
220,sales,season,2.307692308
221,homeless,refugees,3.615384615
222,pakistan,repair,1.75
223,athens,painting,2.294117647
224,tiger,woods,3.375
225,aircraft,plane,4.473684211
226,solar,carbon,2.842105263
227,enterprise,bankruptcy,2.5
228,homer,springfield,2.833333333
229,coin,awards,2.166666667
230,rhodes,native,2.25
231,soccer,curator,2.125
232,gasoline,stock,2.888888889
233,guilt,extended,2.105263158
234,rapid,singapore,1.764705882
235,coin,banker,3.631578947
236,london,correspondence,1.944444444
237,pop,sex,2.6
238,medicine,bread,2.176470588
239,asia,animal,1.555555556
240,pop,clubhouse,3.210526316
241,nazi,defensive,2.055555556
242,earth,poles,3.421052632
243,thailand,crowded,2.166666667
244,day,independence,3.473684211
245,controversy,pitch,2.375
246,stock,gasoline,3.166666667
247,composers,mozart,3.833333333
248,tone,piano,3.722222222
249,paris,chef,2.111111111
250,profession,responsible,2.722222222
251,bankruptcy,chronicle,2
252,lebanon,war,2.722222222
253,israel,terror,3.055555556
254,angola,military,2.941176471
255,chemistry,patients,2.357142857
256,munich,constitution,3.071428571
257,piano,theater,3.266666667
258,poetry,artist,3.8
259,acre,burned,1.769230769
260,religion,abortion,2.076923077
261,jazz,music,4.533333333
262,government,transportation,3
263,color,wine,2.533333333
264,jackson,quota,1.692307692
265,shariff,deputy,3.642857143
266,boat,negroes,2
267,shooting,sentenced,2.933333333
268,republicans,friedman,2.416666667
269,politics,brokerage,2.5
270,russian,stalin,3.357142857
271,love,philip,2.5
272,nuclear,plant,3.733333333
273,jamaica,queens,3.076923077
274,dollar,asylum,1.846153846
275,bridge,rowing,2.785714286
276,berlin,germany,4
277,funeral,death,4.714285714
278,albert,einstein,4.266666667
279,gulf,shore,3.857142857
280,ecuador,argentina,3.266666667
281,britain,france,3.714285714
282,sports,score,3.866666667
283,socialism,capitalism,3.785714286
284,treaty,peace,4.166666667
285,exchange,market,4.266666667
286,marriage,anniversary,4.333333333
