,word1,word2,similarity
0,gem,jewel,3.94
1,midday,noon,3.94
2,automobile,car,3.92
3,cemetery,graveyard,3.88
4,cushion,pillow,3.84
5,boy,lad,3.82
6,cock,rooster,3.68
7,implement,tool,3.66
8,forest,woodland,3.65
9,coast,shore,3.60
10,autograph,signature,3.59
11,journey,voyage,3.58
12,serf,slave,3.46
13,grin,smile,3.46
14,glass,tumbler,3.45
15,cord,string,3.41
16,hill,mound,3.29
17,magician,wizard,3.21
18,furnace,stove,3.11
19,asylum,madhouse,3.04
20,brother,monk,2.74
21,food,fruit,2.69
22,bird,cock,2.63
23,bird,crane,2.63
24,oracle,sage,2.61
25,sage,wizard,2.46
26,brother,lad,2.41
27,crane,implement,2.37
28,magician,oracle,1.82
29,glass,jewel,1.78
30,cemetery,mound,1.69
31,car,journey,1.55
32,hill,woodland,1.48
33,crane,rooster,1.41
34,furnace,implement,1.37
35,coast,hill,1.26
36,bird,woodland,1.24
37,shore,voyage,1.22
38,cemetery,woodland,1.18
39,food,rooster,1.09
40,forest,graveyard,1.00
41,lad,wizard,0.99
42,mound,shore,0.97
43,automobile,cushion,0.97
44,boy,sage,0.96
45,monk,oracle,0.91
46,shore,woodland,0.90
47,grin,lad,0.88
48,coast,forest,0.85
49,asylum,cemetery,0.79
50,monk,slave,0.57
51,cushion,jewel,0.45
52,boy,rooster,0.44
53,glass,magician,0.44
54,graveyard,madhouse,0.44
55,asylum,monk,0.39
56,asylum,fruit,0.19
57,grin,implement,0.18
58,mound,stove,0.14
59,automobile,wizard,0.11
60,autograph,shore,0.06
61,fruit,furnace,0.05
62,noon,string,0.04
63,rooster,voyage,0.04
64,cord,smile,0.02
