,word1,word2,similarity
0,squishing,squirt,5.88
1,undated,undatable,5.83
2,circumvents,beat,5.33
3,circumvents,ebb,3.25
4,dispossess,deprive,6.83
5,provincialism,narrow-mindedness,8.11
6,provincialism,partiality,4.50
7,instrumentality,department,3.00
8,instrumentality,utility,7.29
9,involvement,action,6.86
10,involvement,implication,4.17
11,ecclesiastic,clergyman,8.67
12,brigadier,general,8.17
13,carbonic,chemical,5.17
14,carbonic,paper,5.17
15,aspirate,pronounce,5.20
16,aspirate,remove,2.50
17,monotype,machine,5.25
18,incommensurate,incommensurable,7.60
19,campfires,fire,9.33
20,cognizance,knowing,9.44
21,urbanize,change,5.67
22,imperfection,state,0.29
23,assessment,charge,4.40
24,assessment,assay,5.83
25,incubate,breed,6.40
26,incubate,develop,7.20
27,principality,domain,7.62
28,vicarious,abnormal,0.12
29,vicarious,secondary,6.50
30,ungraceful,awkward,8.50
31,unsighted,color-blind,5.29
32,socialise,educate,6.12
33,socialise,swing,1.00
34,diagonals,line,7.57
35,diagonals,heterosexual,0.11
36,naturalise,adapt,7.75
37,insubordinate,rebellious,9.00
38,insubordinate,defiant,9.56
39,subdividing,subdivide,9.50
40,subdividing,separate,8.67
41,antifeminism,sexism,8.60
42,circumcising,cut,8.00
43,circumcising,remove,8.17
44,excommunicate,oust,8.20
45,accomplished,over,5.00
46,attackers,wrongdoer,7.50
47,contravened,disagree,7.38
48,contravened,transgress,7.00
49,tenderize,change,5.88
50,blithering,chatter,7.71
51,resurfacing,coat,8.44
52,resurfacing,surface,6.50
53,friendships,brotherhood,7.50
54,soulfully,emotional,7.60
55,elector,voter,7.83
56,intentionality,intended,8.40
57,vulgarism,profanity,9.62
58,vulgarism,inelegance,6.29
59,preliterate,illiterate,4.71
60,preliterate,noncivilized,4.43
61,retrying,hear,0.38
62,wanderers,program,0.29
63,wanderers,nomad,9.50
64,marginalize,interact,2.50
65,hyperlink,link,9.12
66,inducted,admit,7.17
67,inducted,install,6.00
68,entrapping,capture,8.00
69,entrapping,deceive,6.57
70,alleviated,comfort,6.00
71,alleviated,help,6.00
72,radiators,beginning,0.00
73,radiators,system,1.00
74,postmodernism,genre,2.80
75,excavations,site,5.29
76,excavations,removal,7.43
77,comfortable,cozy,8.83
78,unfeathered,unfledged,7.14
79,unfeathered,plucked,8.00
80,assigned,regiment,3.80
81,assigned,allow,3.50
82,listeners,eavesdropper,8.14
83,unheralded,unexpected,7.57
84,inabilities,insufficiency,7.38
85,inabilities,incomprehension,4.33
86,monocultures,culture,4.50
87,tricolour,flag,5.80
88,omnipotence,state,0.86
89,mingles,change,1.71
90,calcify,harden,8.12
91,calcify,change,4.83
92,disinheritance,discontinuance,5.67
93,interwove,braid,8.75
94,cession,relinquishment,6.67
95,dwarfish,small,8.38
96,assessments,charge,5.12
97,assessments,classification,6.86
98,prescriptions,medicine,9.11
99,prescriptions,direction,2.57
100,antipsychotic,lithium,8.17
101,circumferential,peripheral,7.33
102,roosters,cockerel,8.56
103,nonpublic,private,10.00
104,yodeling,sing,7.71
105,yodeling,singing,7.50
106,autoerotic,sexy,8.44
107,unisons,concurrence,7.56
108,unisons,agreement,7.14
109,disassembled,destroy,8.00
110,preteens,juvenile,8.40
111,unaccessible,pathless,7.25
112,monogram,symbol,7.25
113,opalescence,brightness,7.89
114,estrogenic,hormone,8.00
115,misleading,beat,1.25
116,consubstantial,considerable,5.40
117,coeducation,education,7.71
118,canonical,standard,6.00
119,galvanic,exciting,6.00
120,nominated,nominate,8.33
121,nominated,choose,8.67
122,exceedance,probability,5.00
123,confide,consign,5.14
124,confide,unwrap,0.67
125,established,initiate,5.86
126,condescend,act,2.20
127,tricycle,pedicab,6.00
128,discharged,spread,4.57
