,word1,word2,similarity
0,tiger,cat,7.35
1,tiger,tiger,10.0
2,plane,car,5.77
3,train,car,6.31
4,television,radio,6.77
5,media,radio,7.42
6,bread,butter,6.19
7,cucumber,potato,5.92
8,doctor,nurse,7.0
9,professor,doctor,6.62
10,student,professor,6.81
11,smart,stupid,5.81
12,wood,forest,7.73
13,money,cash,9.15
14,king,queen,8.58
15,king,rook,5.92
16,bishop,rabbi,6.69
17,fuck,sex,9.44
18,football,soccer,9.03
19,football,basketball,6.81
20,football,tennis,6.63
21,Arafat,Jackson,2.5
22,physics,chemistry,7.35
23,vodka,gin,8.46
24,vodka,brandy,8.13
25,drink,eat,6.87
26,car,automobile,8.94
27,gem,jewel,8.96
28,journey,voyage,9.29
29,boy,lad,8.83
30,coast,shore,9.1
31,asylum,madhouse,8.87
32,magician,wizard,9.02
33,midday,noon,9.29
34,furnace,stove,8.79
35,food,fruit,7.52
36,bird,cock,7.1
37,bird,crane,7.38
38,food,rooster,4.42
39,money,dollar,8.42
40,money,currency,9.04
41,tiger,jaguar,8.0
42,tiger,feline,8.0
43,tiger,carnivore,7.08
44,tiger,mammal,6.85
45,tiger,animal,7.0
46,tiger,organism,4.77
47,tiger,fauna,5.62
48,psychology,psychiatry,8.08
49,psychology,science,6.71
50,psychology,discipline,5.58
51,planet,star,8.45
52,planet,moon,8.08
53,planet,sun,8.02
54,precedent,example,5.85
55,precedent,antecedent,6.04
56,cup,tableware,6.85
57,cup,artifact,2.92
58,cup,object,3.69
59,cup,entity,2.15
60,jaguar,cat,7.42
61,jaguar,car,7.27
62,mile,kilometer,8.66
63,skin,eye,6.22
64,Japanese,American,6.5
65,century,year,7.59
66,announcement,news,7.56
67,doctor,personnel,5.0
68,Harvard,Yale,8.13
69,hospital,infrastructure,4.63
70,life,death,7.88
71,travel,activity,5.0
72,type,kind,8.97
73,street,place,6.44
74,street,avenue,8.88
75,street,block,6.88
76,cell,phone,7.81
77,dividend,payment,7.63
78,calculation,computation,8.44
79,profit,loss,7.63
80,dollar,yen,7.78
81,dollar,buck,9.22
82,phone,equipment,7.13
83,liquid,water,7.89
84,marathon,sprint,7.47
85,seafood,food,8.34
86,seafood,lobster,8.7
87,lobster,food,7.81
88,lobster,wine,5.7
89,championship,tournament,8.36
90,man,woman,8.3
91,man,governor,5.25
92,murder,manslaughter,8.53
93,opera,performance,6.88
94,Mexico,Brazil,7.44
95,glass,metal,5.56
96,aluminum,metal,7.83
97,rock,jazz,7.59
98,museum,theater,7.19
99,shower,thunderstorm,6.31
100,monk,oracle,5.0
101,cup,food,5.0
102,journal,association,4.97
103,street,children,4.94
104,car,flight,4.94
105,space,chemistry,4.88
106,situation,conclusion,4.81
107,word,similarity,4.75
108,peace,plan,4.75
109,consumer,energy,4.75
110,ministry,culture,4.69
111,smart,student,4.62
112,investigation,effort,4.59
113,image,surface,4.56
114,life,term,4.5
115,start,match,4.47
116,computer,news,4.47
117,board,recommendation,4.47
118,lad,brother,4.46
119,observation,architecture,4.38
120,coast,hill,4.38
121,deployment,departure,4.25
122,benchmark,index,4.25
123,attempt,peace,4.25
124,consumer,confidence,4.13
125,start,year,4.06
126,focus,life,4.06
127,development,issue,3.97
128,theater,history,3.91
129,situation,isolation,3.88
130,profit,warning,3.88
131,media,trading,3.88
132,chance,credibility,3.88
133,precedent,information,3.85
134,architecture,century,3.78
135,population,development,3.75
136,stock,live,3.73
137,peace,atmosphere,3.69
138,morality,marriage,3.69
139,minority,peace,3.69
140,atmosphere,landscape,3.69
141,report,gain,3.63
142,music,project,3.63
143,seven,series,3.56
144,experience,music,3.47
145,school,center,3.44
146,five,month,3.38
147,announcement,production,3.38
148,morality,importance,3.31
149,money,operation,3.31
150,delay,news,3.31
151,governor,interview,3.25
152,practice,institution,3.19
153,century,nation,3.16
154,coast,forest,3.15
155,shore,woodland,3.08
156,drink,car,3.04
157,president,medal,3.0
158,prejudice,recognition,3.0
159,viewer,serial,2.97
160,peace,insurance,2.94
161,Mars,water,2.94
162,media,gain,2.88
163,precedent,cognition,2.81
164,announcement,effort,2.75
165,line,insurance,2.69
166,crane,implement,2.69
167,drink,mother,2.65
168,opera,industry,2.63
169,volunteer,motto,2.56
170,listing,proximity,2.56
171,precedent,collection,2.5
172,cup,article,2.4
173,sign,recess,2.38
174,problem,airport,2.38
175,reason,hypertension,2.31
176,direction,combination,2.25
177,Wednesday,news,2.22
178,glass,magician,2.08
179,cemetery,woodland,2.08
180,possibility,girl,1.94
181,cup,substance,1.92
182,forest,graveyard,1.85
183,stock,egg,1.81
184,month,hotel,1.81
185,energy,secretary,1.81
186,precedent,group,1.77
187,production,hike,1.75
188,stock,phone,1.62
189,holy,sex,1.62
190,stock,CD,1.31
191,drink,ear,1.31
192,delay,racism,1.19
193,stock,life,0.92
194,stock,jaguar,0.92
195,monk,slave,0.92
196,lad,wizard,0.92
197,sugar,approach,0.88
198,rooster,voyage,0.62
199,noon,string,0.54
200,chord,smile,0.54
201,professor,cucumber,0.31
202,king,cabbage,0.23
203,,,
