,word1,word2,similarity
0,brag,boast,4.000
1,concoct,devise,4.000
2,divide,split,4.000
3,build,construct,4.000
4,end,terminate,4.000
5,accentuate,highlight,4.000
6,demonstrate,show,3.833
7,solve,figure,3.833
8,consume,eat,3.833
9,position,situate,3.833
10,swear,vow,3.833
11,furnish,supply,3.833
12,merit,deserve,3.667
13,submit,yield,3.667
14,seize,take,3.667
15,spin,twirl,3.500
16,enlarge,swell,3.500
17,swing,sway,3.500
18,circulate,distribute,3.500
19,recognize,acknowledge,3.333
20,resolve,settle,3.333
21,prolong,sustain,3.333
22,tap,knock,3.333
23,block,hinder,3.167
24,arrange,plan,3.167
25,twist,curl,3.167
26,hail,acclaim,3.000
27,dissipate,disperse,3.000
28,approve,support,3.000
29,impose,levy,3.000
30,hasten,accelerate,2.833
31,rap,tap,2.833
32,lean,rest,2.833
33,make,earn,2.833
34,show,publish,2.833
35,sell,market,2.833
36,weave,intertwine,2.667
37,refer,direct,2.667
38,distribute,commercialize,2.500
39,twist,intertwine,2.500
40,drain,tap,2.500
41,depict,recognize,2.500
42,build,organize,2.500
43,hail,address,2.333
44,call,refer,2.167
45,swing,bounce,2.167
46,yield,seize,2.000
47,split,crush,2.000
48,challenge,yield,2.000
49,hinder,assist,2.000
50,welcome,recognize,2.000
51,need,deserve,1.833
52,refer,explain,1.833
53,finance,build,1.667
54,expect,deserve,1.667
55,terminate,postpone,1.667
56,yell,boast,1.667
57,swell,curl,1.667
58,rotate,situate,1.500
59,seize,request,1.500
60,approve,scorn,1.500
61,supply,consume,1.500
62,clip,twist,1.500
63,divide,figure,1.333
64,advise,furnish,1.333
65,complain,boast,1.333
66,want,deserve,1.333
67,twist,fasten,1.333
68,swing,crash,1.167
69,make,trade,1.167
70,hinder,yield,1.167
71,build,propose,1.167
72,express,figure,1.167
73,resolve,examine,1.167
74,bruise,split,1.167
75,swing,break,1.167
76,catch,consume,1.000
77,swear,explain,1.000
78,request,levy,1.000
79,arrange,study,1.000
80,relieve,hinder,1.000
81,move,swell,1.000
82,weave,print,0.833
83,swear,think,0.833
84,forget,resolve,0.833
85,supervise,concoct,0.833
86,situate,isolate,0.667
87,explain,boast,0.667
88,ache,spin,0.667
89,evaluate,terminate,0.667
90,recognize,succeed,0.667
91,dilute,market,0.667
92,hasten,permit,0.667
93,scorn,yield,0.667
94,swear,describe,0.667
95,arrange,explain,0.667
96,discard,arrange,0.667
97,list,figure,0.667
98,stamp,weave,0.500
99,market,sweeten,0.500
100,boil,tap,0.500
101,sustain,lower,0.500
102,resolve,publicize,0.500
103,dissipate,isolate,0.500
104,anger,approve,0.500
105,approve,boast,0.500
106,research,distribute,0.500
107,request,concoct,0.500
108,boast,yield,0.500
109,furnish,impress,0.333
110,refine,sustain,0.333
111,acknowledge,distribute,0.333
112,clean,concoct,0.333
113,lean,grate,0.333
114,postpone,show,0.333
115,hail,judge,0.333
116,remember,hail,0.333
117,scrape,lean,0.333
118,sweat,spin,0.333
119,highlight,restore,0.333
120,seize,refer,0.167
121,levy,believe,0.167
122,alter,highlight,0.167
123,refer,carry,0.167
124,empty,situate,0.167
125,flush,spin,0.167
126,shake,swell,0.167
127,imitate,highlight,0.167
128,correlate,levy,0.000
129,refer,lean,0.000
