,word1,word2,similarity
0,абажур,торшер,1
1,абажур,люстра,1
2,абажур,лампа,1
3,абажур,свет,1
4,абажур,ночник,1
5,абажур,год,0
6,абажур,состав,0
7,абажур,население,0
8,абажур,город,0
9,абажур,область,0
10,абажур,место,0
11,абажур,название,0
12,абажур,начало,0
13,абажур,россия,0
14,абажур,война,0
15,абак,счёты,1
16,абак,человек,0
17,абак,время,0
18,абба,швеция,1
19,абба,район,0
20,абба,центр,0
21,аббревиатура,ссср,1
22,аббревиатура,сокращение,1
23,аббревиатура,буквы,1
24,аббревиатура,кгб,1
25,аббревиатура,вднх,1
26,аббревиатура,работа,0
27,аббревиатура,декабрь,0
28,аббревиатура,площадь,0
29,аббревиатура,январь,0
30,аббревиатура,конец,0
31,аббревиатура,число,0
32,аббревиатура,октябрь,0
33,аббревиатура,май,0
34,аббревиатура,август,0
35,аббревиатура,век,0
36,абзац,отступ,1
37,абзац,строка,1
38,абзац,текст,1
39,абзац,имя,0
40,абзац,группа,0
41,абзац,июнь,0
42,абзац,мир,0
43,абзац,данные,0
44,абзац,территория,0
45,абонемент,библиотека,1
46,абонемент,июль,0
47,абонемент,река,0
48,абонент,телефон,1
49,абонент,сентябрь,0
50,абонент,апрель,0
51,абордаж,пират,1
52,абордаж,округ,0
53,абордаж,род,0
54,абориген,остров,1
55,абориген,часть,0
56,абориген,участие,0
57,аборт,беременность,1
58,аборт,школа,0
59,аборт,ноябрь,0
60,абрикос,персик,1
61,абрикос,результат,0
62,абрикос,день,0
63,абрис,контур,1
64,абрис,профиль,1
65,абрис,февраль,0
66,абрис,вид,0
67,абрис,март,0
68,абрис,семья,0
69,абсолют,бог,1
70,абсолют,совершенство,1
71,абсолют,водка,1
72,абсолют,идеал,1
73,абсолют,русский,0
74,абсолют,история,0
75,абсолют,страна,0
76,абсолют,член,0
77,абсолют,ссср,0
78,абсолют,совет,0
79,абсолют,пункт,0
80,абсолют,перепись,0
81,абстракция,кандинский,1
82,абстракция,качество,0
83,абстракция,сша,0
84,абсцисса,ордината,1
85,абсцисса,ось,1
86,абсцисса,раз,0
87,абсцисса,сторона,0
88,абсцисса,длина,0
89,абсцисса,образование,0
90,абхазия,грузия,1
91,абхазия,код,0
92,абхазия,жизнь,0
93,авангард,супрематизм,1
94,авангард,село,0
95,авангард,период,0
96,аванс,зарплата,1
97,аванс,получка,1
98,аванс,премия,1
99,аванс,берег,0
100,аванс,москва,0
101,аванс,деревня,0
102,аванс,военный,0
103,аванс,ряд,0
104,аванс,система,0
105,авантюра,приключение,1
106,авантюра,связь,0
107,авантюра,армия,0
108,авария,чернобыль,1
109,авария,дтп,1
110,авария,катастрофа,1
111,авария,происшествие,1
112,авария,машина,1
113,авария,дискотека,1
114,авария,крушение,1
115,авария,автомобиль,1
116,авария,университет,0
117,авария,образ,0
118,авария,дом,0
119,авария,течение,0
120,авария,сын,0
121,авария,игра,0
122,авария,женщина,0
123,авария,язык,0
124,авария,команда,0
125,авария,сила,0
126,авария,участник,0
127,авария,книга,0
128,авария,союз,0
129,авария,уровень,0
130,авария,автор,0
131,авария,житель,0
132,август,лето,1
133,август,месяц,1
134,август,рим,1
135,август,путч,1
136,август,цезарь,1
137,август,земля,0
138,август,значение,0
139,август,дело,0
140,август,управление,0
141,август,институт,0
142,август,фильм,0
143,август,момент,0
144,август,количество,0
145,август,компания,0
146,август,отец,0
147,авель,каин,1
148,авель,ребенок,0
149,авель,решение,0
150,авеню,улица,1
151,авеню,проспект,1
152,авеню,чемпионат,0
153,авеню,возраст,0
154,авеню,войско,0
155,авеню,высота,0
156,аверс,реверс,1
157,аверс,роль,0
158,аверс,помощь,0
159,авиалайнер,самолёт,1
160,авиалайнер,служба,0
161,авиалайнер,европа,0
162,авиация,самолёт,1
163,авиация,небо,1
164,авиация,деятельность,0
165,авиация,клуб,0
166,авиация,смерть,0
167,авиация,список,0
168,авитаминоз,витамины,1
169,авитаминоз,представитель,0
170,авитаминоз,действие,0
171,авоська,сумка,1
172,авоська,сетка,1
173,авоська,создание,0
174,авоська,основа,0
175,авоська,слово,0
176,авоська,власть,0
177,аврора,революция,1
178,аврора,организация,0
179,аврора,право,0
