,word1,word2,similarity
0,автомобиль,машина,0.958333
1,маг,волшебник,0.958333
2,доллар,бакс,0.9523809999999999
3,мальчик,парень,0.9523809999999999
4,машина,автомобиль,0.9523809999999999
5,кладбище,погост,0.916667
6,автограф,подпись,0.916667
7,расположение,размещение,0.916667
8,расчет,вычисление,0.916667
9,жидкость,вода,0.9047620000000001
10,чемпионат,турнир,0.8888889999999999
11,шнур,веревка,0.8888889999999999
12,тигр,тигр,0.875
13,поездка,путешествие,0.857143
14,деньги,богатство,0.851852
15,футбол,мини-футбол,0.833333
16,крепостной,раб,0.814815
17,ребенок,мать,0.814815
18,марафон,спринт,0.809524
19,король,королева,0.791667
20,убийство,кровопролитие,0.791667
21,улица,проспект,0.791667
22,деньги,валюта,0.777778
23,алюминий,металл,0.761905
24,морепродукт,омар,0.761905
25,деньги,наличные,0.75
26,птица,журавль,0.75
27,холм,курган,0.733333
28,дерево,лес,0.714286
29,водка,джин,0.714286
30,омар,еда,0.708333
31,приспособление,инструмент,0.708333
32,тигр,кошка,0.708333
33,тигр,ягуар,0.708333
34,ягуар,кошка,0.708333
35,теннис,ракетка,0.7
36,книга,библиотека,0.666667
37,век,год,0.666667
38,доллар,йена,0.666667
39,мексика,бразилия,0.666667
40,новость,сообщение,0.666667
41,еда,фрукт,0.666667
42,лес,лесопарк,0.666667
43,тигр,кошачьи,0.666667
44,мобильный,телефон,0.641026
45,деньги,доллар,0.636364
46,морепродукт,море,0.636364
47,объявление,предупреждение,0.625
48,деньги,банк,0.625
49,камень,драгоценность,0.625
50,компания,фонд,0.625
51,психология,дисциплина,0.625
52,психология,наука,0.625
53,тигр,млекопитающее,0.625
54,тигр,хищник,0.625
55,водка,бренди,0.625
56,иерусалим,израиль,0.622222
57,прибор,приспособление,0.622222
58,лечение,восстановление,0.6190479999999999
59,напиток,пища,0.6190479999999999
60,планета,звезда,0.6190479999999999
61,страна,гражданин,0.6190479999999999
62,тигр,животное,0.6190479999999999
63,тигр,фауна,0.6190479999999999
64,студент,профессор,0.6190479999999999
65,инструмент,приcпособление,0.6153850000000001
66,марадона,футбол,0.604167
67,день,полдень,0.6
68,кино,театр,0.6
69,природа,среда,0.6
70,чашка,кофе,0.583333
71,огурец,картофель,0.583333
72,сми,радио,0.583333
73,деньги,имущество,0.583333
74,ливень,наводнение,0.583333
75,планета,космос,0.583333
76,психология,cознание,0.583333
77,психология,фрейд,0.583333
78,шкаф,одежда,0.583333
79,футбол,теннис,0.583333
80,любовь,секс,0.571429
81,мужчина,женщина,0.571429
82,фбр,расследование,0.555556
83,доктор,персонал,0.555556
84,психология,психиатрия,0.555556
85,дивиденд,выплата,0.555556
86,книга,бумага,0.555556
87,компьютер,интернет,0.555556
88,король,ладья,0.555556
89,телевидение,фильм,0.555556
90,поголовье,скот,0.541667
91,игра,победа,0.541667
92,кровать,шкаф,0.541667
93,поездка,машина,0.541667
94,печь,плита,0.537037
95,наркотик,злоупотребление,0.533333
96,объявление,новости,0.533333
97,прецедент,право,0.533333
98,сеть,аппаратура,0.533333
99,епископ,раввин,0.52381
100,планета,луна,0.52381
101,рок,джаз,0.52381
102,жизнь,смерть,0.5217390000000001
103,планета,солнце,0.518519
104,территория,километр,0.518519
105,жертва,авария,0.518519
106,планета,астроном,0.518519
107,стекло,стакан,0.518519
108,телефон,сообщение,0.518519
109,ягуар,автомобиль,0.515152
110,машина,поездка,0.509804
111,инсульт,больница,0.5
112,кино,критик,0.5
113,стекло,металл,0.5
114,юрист,доказательство,0.5
115,брат,монах,0.490196
116,еда,приготовление,0.488889
117,погода,прогноз,0.487179
118,физика,химия,0.487179
119,музей,театр,0.48484799999999995
120,физика,протон,0.479167
121,игра,поражение,0.47222200000000003
122,прецедент,познание,0.466667
123,министр,партия,0.466667
124,отель,бронирование,0.458333
125,инвалидность,смерть,0.458333
126,награда,мужество,0.458333
127,планета,галактика,0.458333
128,психология,депрессия,0.458333
129,психология,клиника,0.458333
130,хлеб,масло,0.458333
131,фбр,улика,0.454545
132,день,рассвет,0.44444399999999995
133,игра,раунд,0.44444399999999995
134,профессор,доктор,0.44444399999999995
135,среда,экология,0.44444399999999995
136,арафат,терроризм,0.428571
137,игра,команда,0.428571
138,концерт,виртуоз,0.428571
139,чашка,предмет,0.428571
140,маг,оракул,0.424242
141,планета,люди,0.416667
142,планета,созвездие,0.416667
143,телефон,оборудование,0.416667
144,допуск,билет,0.416667
145,опек,нефть,0.404762
146,блядь,секс,0.4
147,космос,мир,0.395833
148,мудрец,волшебник,0.388889
149,валик,подушка,0.384615
150,гарвард,йель,0.384615
151,кладбище,курган,0.384615
152,самолет,машина,0.380952
153,больница,инфраструктура,0.380952
154,тигр,зоопарк,0.380952
155,японец,американец,0.377778
156,проблема,вызов,0.375
157,бой,поражение,0.375
158,брат,парень,0.375
159,каньон,пейзаж,0.375
160,психология,страх,0.375
161,чашка,еда,0.375
162,умник,глупец,0.366667
163,инвестор,заработок,0.363636
164,психология,здоровье,0.363636
165,марс,ученый,0.35897399999999996
166,деньги,снятие,0.355556
167,деньги,отмывание,0.351852
168,автомобиль,путешествие,0.333333
169,чашка,вещь,0.333333
170,психология,тревога,0.333333
171,чашка,жидкость,0.333333
172,любовник,ссора,0.333333
173,прибытие,отель,0.333333
174,лето,засуха,0.333333
175,алкоголь,химия,0.333333
176,валюта,рынок,0.333333
177,выставка,реликвия,0.333333
178,перечисление,категория,0.333333
179,потребитель,энергия,0.333333
180,тигр,организм,0.333333
181,деньги,владение,0.333333
182,кино,попкорн,0.333333
183,лето,природа,0.333333
184,птица,лесопарк,0.333333
185,фонд,рынок,0.333333
186,энергия,лаборатория,0.333333
187,монах,оракул,0.307692
188,ответственность,страхование,0.3
189,побережье,лес,0.3
190,психология,познание,0.291667
191,психология,доктор,0.291667
192,умник,студент,0.291667
193,доктор,ответственность,0.291667
194,министерство,культура,0.282051
195,семья,планирование,0.277778
196,жизнь,срок,0.27451
197,прецедент,предшественник,0.272727
198,еда,петушок,0.270833
199,театр,история,0.266667
200,цель,жизнь,0.266667
201,передвижение,деятельность,0.266667
202,печь,приспособление,0.266667
203,территория,поверхность,0.266667
204,берег,лес,0.259259
205,открытие,космос,0.259259
206,жизнь,урок,0.25640999999999997
207,журавль,приспособление,0.25
208,день,лето,0.25
209,приют,кладбище,0.25
210,сто,процент,0.25
211,улица,дети,0.25
212,чашка,объект,0.25
213,берег,путешествие,0.25
214,деньги,операция,0.25
215,кожа,глаз,0.25
216,мораль,брак,0.25
217,потребитель,доверие,0.25
218,кино,звезда,0.24242399999999997
219,кредит,информация,0.24242399999999997
220,начало,матч,0.24242399999999997
221,шанс,доверие,0.23809499999999997
222,дивиденд,расчет,0.23809499999999997
223,изображение,поверхность,0.23809499999999997
224,приют,дурдом,0.23809499999999997
225,игра,серия,0.22222199999999998
226,пол,равенство,0.22222199999999998
227,рождаемость,яйцо,0.22222199999999998
228,развитие,вопрос,0.214286
229,ситуация,заключение,0.212121
230,сми,торговля,0.212121
231,правительство,кризис,0.208333
232,роскошь,автомобиль,0.208333
233,холм,лесопарк,0.208333
234,приют,монах,0.2
235,парень,мастер,0.190476
236,прецедент,информация,0.186275
237,курган,берег,0.185185
238,курган,плита,0.185185
239,мыло,опера,0.185185
240,оборудование,производитель,0.17948699999999998
241,побережье,холм,0.166667
242,атмосфера,пейзаж,0.166667
243,бейсбол,сезон,0.166667
244,берег,лесопарк,0.166667
245,запись,число,0.166667
246,космос,химия,0.166667
247,мир,атмосфера,0.166667
248,напиток,рот,0.166667
249,школа,центр,0.166667
250,доллар,потеря,0.166667
251,регистрация,расположение,0.166667
252,стекло,драгоценность,0.166667
253,отчет,выгода,0.166667
254,нефть,фонд,0.160494
255,монах, оракул,0.14285699999999998
256,природа,мужчина,0.141026
257,мужчина,губернатор,0.13333299999999998
258,изменение,отношение,0.13095199999999999
259,мальчик,петушок,0.125
260,причина,критерий,0.125
261,смерть,ссора,0.115942
262,слово,сходство,0.11111099999999999
263,усмешка,приспособление,0.11111099999999999
264,монах,раб,0.11111099999999999
265,возможность,девушка,0.10526300000000001
266,задержка,новости,0.10526300000000001
267,кладбище,лесопарк,0.10416700000000001
268,погост,дурдом,0.10256400000000002
269,президент,медаль,0.10256400000000002
270,мир,страхование,0.095238
271,чашка,вещество,0.095238
272,архитектура,век,0.095238
273,оружие,тайна,0.095238
274,чашка,артефакт,0.095238
275,марс,вода,0.090909
276,меньшинство,мир,0.090909
277,век,нация,0.088889
278,король,капуста,0.088889
279,наблюдение,архитектура,0.088889
280,журнал,ассоциация,0.087719
281,фонд,ягуар,0.087719
282,еда,петух,0.083333
283,мир,план,0.083333
284,фрукт,печь,0.083333
285,арафат,мир,0.076923
286,запас,жизнь,0.074074
287,размер,известность,0.074074
288,фонд,телефон,0.06060599999999999
289,cреда,новости,0.047619
290,музыка,проект,0.047619
291,население,развитие,0.047619
292,объявление,производство,0.047619
293,объявление,усилие,0.047619
294,перечисление,близость,0.047619
295,предубеждение,признание,0.047619
296,профессор,огурец,0.047619
297,ситуация,изоляция,0.047619
298,автомобиль,валик,0.041667
299,валик,драгоценность,0.041667
300,задержка,расизм,0.041667
301,месяц,отель,0.041667
302,напиток,ухо,0.041667
303,опера,отрасль,0.041667
304,опыт,музыка,0.041667
305,ориентир,индекс,0.041667
306,развертывание,вывод,0.041667
307,развертывание,отход,0.041667
308,семь,серия,0.041667
309,смерть,заключенный,0.041667
310,энергия,секретарь,0.041667
311,автограф,берег,0.0
312,петушок,путешествие,0.0
313,подписать,перерыв,0.0
314,прецедент,сбор,0.0
315,причина,гипертония,0.0
316,проблема,аэропорт,0.0
317,стекло,маг,0.0
318,фонд,яйцо,0.0
319,автомобиль,волшебник,0.0
320,арафат,джексон,0.0
321,доска,рекомендация,0.0
322,линия,страхование,0.0
323,машина,полет,0.0
324,напиток,мать,0.0
325,полдень,веревка,0.0
326,попытка,мир,0.0
327,прецедент,группа,0.0
328,приют,фрукт,0.0
329,производство,поход,0.0
330,пять,месяц,0.0
331,сми,выгода,0.0
332,шнур,улыбка,0.0
333,петух,петушок,0.9523809999999999
334,побережье,берег,0.9047620000000001
335,тип,вид,0.851852
336,миля,километр,0.791667
337,чашка,посуда,0.761905
338,птица,петух,0.714286
339,война,войска,0.666667
340,улица,квартал,0.666667
341,банк,деньги,0.636364
342,морепродукт,еда,0.625
343,усмешка,улыбка,0.622222
344,доктор,медсестра,0.6190479999999999
345,ливень,гроза,0.6
346,компьютер,клавиатура,0.583333
347,компьютер,программа,0.583333
348,журавль,петушок,0.571429
349,бокс,раунд,0.555556
350,зритель,сериал,0.545455
351,иерусалим,палестинец,0.533333
352,закон,юрист,0.52381
353,деньги,депозит,0.518519
354,прибыль,убыток,0.511111
355,прецедент,пример,0.491228
356,телевидение,радио,0.48148100000000005
357,оракул,мудрец,0.458333
