,word1,word2,similarity
0,авария,бедствие,0.615
1,август,месяц,0.28500000000000003
2,авиация,полет,0.6769999999999999
3,автомобиль,гудок,0.185
4,автомобиль,автострада,0.12300000000000001
5,автомобиль,такси,0.415
6,автомобиль,датчик,0.162
7,автомобиль,велосипед,0.13799999999999998
8,автомобиль,карета,0.3
9,автомобиль,мост,0.115
10,автомобиль,подъемник,0.208
11,автомобиль,шланг,0.215
12,автомобиль,завод,0.177
13,автор,создатель,0.9229999999999999
14,автотранспорт,автобус,0.8310000000000001
15,агрессивность,враждебность,0.9079999999999999
16,актер,певец,0.562
17,актриса,актер,0.369
18,алкоголь,бренди,0.6769999999999999
19,алкоголь,джин,0.638
20,алкоголь,коктейль,0.5309999999999999
21,алкоголь,виски,0.631
22,алкоголь,вино,0.6459999999999999
23,анализировать,оценивать,0.792
24,анархия,хаос,0.754
25,анатомия,биология,0.43799999999999994
26,аргументировать,обосновывать,0.877
27,аргументировать,подтверждать,0.546
28,арифметика,ритм,0.023
29,армия,легион,0.6849999999999999
30,армия,отряд,0.377
31,архиепископ,епископ,0.6
32,атом,углерод,0.185
33,бал,костюм,0.192
34,баллада,песня,0.638
35,банка,бутылка,0.32299999999999995
36,баскетбол,бейсбол,0.12300000000000001
37,башня,колокол,0.108
38,бедро,губа,0.077
39,безумный,сумасшедший,0.9309999999999999
40,бекон,боб,0.031
41,берег,побережье,0.762
42,библия,псалом,0.5539999999999999
43,биография,роман,0.292
44,битва,завоевание,0.408
45,боб,кофе,0.27699999999999997
46,бог,дьявол,0.008
47,бог,дух,0.408
48,бог,священник,0.215
49,бог,жертва,0.046
50,богатство,бедность,0.023
51,богатство,репутация,0.131
52,богатство,слава,0.32299999999999995
53,болезнь,инфекция,0.75
54,боль,вред,0.215
55,большой,огромный,0.915
56,большой,широкий,0.331
57,большой,тяжелый,0.292
58,брат,сын,0.092
59,брат,человек,0.154
60,братство,дверь,0.008
61,братство,бейсбол,0.06899999999999999
62,брать,красть,0.26899999999999996
63,брать,получать,0.408
64,брать,нести,0.1
65,брать,доставлять,0.115
66,брать,завладевать,0.6849999999999999
67,бревно,древесина,0.654
68,бревно,ванна,0.0
69,бровь,глаз,0.223
70,брюшко,живот,0.7769999999999999
71,бумага,картон,0.662
72,буря,ураган,0.8539999999999999
73,бутерброд,обед,0.215
74,бутылка,контейнер,0.231
75,быстрый,скоростной,0.915
76,ванна,шалость,0.038
77,ванна,жена,0.031
78,ванна,шар,0.015
79,ванная,спальня,0.108
80,ванная,кухня,0.208
81,вежливый,приличный,0.5379999999999999
82,велосипед,спальня,0.0
83,вера,цветок,0.023
84,верование,мнение,0.131
85,верование,представление,0.462
86,верх,бок,0.146
87,вечер,сумерки,0.7230000000000001
88,взрослый,младенец,0.031
89,взрослый,опекун,0.5379999999999999
90,видение,восприятие,0.762
91,вино,бренди,0.462
92,вино,спиртное,0.6459999999999999
93,виски,джин,0.5690000000000001
94,виски,шампанское,0.231
95,витамин,железо,0.26899999999999996
96,вкладывать,соединять,0.192
97,внимание,интерес,0.708
98,внимание,осведомленность,0.28500000000000003
99,вода,лед,0.2
100,вода,соль,0.0
101,водитель,пилот,0.662
102,воздух,гелий,0.185
103,воровать,покупать,0.0
104,восхитительный,прекрасный,0.9079999999999999
105,восхитительный,радостный,0.523
106,врач,ортодонт,0.385
107,врач,самообладание,0.223
108,входить,задолжать,0.008
109,выбирать,избирать,0.8539999999999999
110,выбор,вена,0.015
111,выигрывать,доминировать,0.738
112,выносливость,сила,0.43799999999999994
113,высказываться,участвовать,0.185
114,выход,проход,0.45399999999999996
