,similarity,word1,word2
0,3.92,автомобиль,автомобильный
1,3.84,камень,жемчужина
2,3.84,путешествие,путешествие
3,3.76,мальчик,хлопец
4,3.7,побережье,берег
5,3.61,убежище,дурд
6,3.5,маг,мастер
7,3.42,полдень,полдень
8,3.11,печь,плита
9,3.08,еда,фрукт
10,3.05,птица,петух
11,2.97,птица,кран
12,2.95,инструмент,реализация
13,2.82,брат,монах
14,1.66,хлопец,брат
15,1.68,кран,реализация
16,1.16,путешествие,автомобиль
17,1.1,монах,оракул
18,0.95,кладбище,лесна
19,0.89,еда,петух
20,0.87,побережье,холм
21,0.84,лес,кладбище
22,0.63,берег,лесна
23,0.55,монах,раб
24,0.42,побережье,лес
25,0.42,хлопец,мастер
26,0.13,аккорд,улыбка
27,0.11,стекло,маг
28,0.08,петух,путешествие
29,0.008,полдень,строка
