,similarity,word1,word2
0,3.94,камень,жемчужина
1,3.94,полдень,полдень
2,3.92,автомобильный,автомобиль
3,3.88,кладбище,кладбище
4,3.84,подушка,подушка
5,3.82,мальчик,хлопец
6,3.68,петух,петух
7,3.66,реализация,инструмент
8,3.65,лес,лесна
9,3.6,побережье,берег
10,3.59,автограф,подпись
11,3.58,путешествие,путешествие
12,3.46,холоп,раб
13,3.46,оскал,улыбка
14,3.45,стекло,неваляшка
15,3.41,шнур,строка
16,3.29,холм,курган
17,3.21,маг,мастер
18,3.11,печь,плита
19,3.04,убежище,дурд
20,2.74,брат,монах
21,2.69,еда,фрукт
22,2.63,птица,петух
23,2.63,птица,кран
24,2.61,оракул,мудрец
25,2.46,мудрец,мастер
26,2.41,брат,хлопец
27,2.37,кран,реализация
28,1.82,маг,оракул
29,1.78,стекло,жемчужина
30,1.69,кладбище,курган
31,1.55,автомобиль,путешествие
32,1.48,холм,лесна
33,1.41,кран,петух
34,1.37,печь,реализация
35,1.26,побережье,холм
36,1.24,птица,лесна
37,1.22,берег,путешествие
38,1.18,кладбище,лесна
39,1.09,еда,петух
40,1.0,лес,кладбище
41,0.99,хлопец,мастер
42,0.97,курган,берег
43,0.97,автомобильный,подушка
44,0.96,мальчик,мудрец
45,0.91,монах,оракул
46,0.9,берег,лесна
47,0.88,оскал,хлопец
48,0.85,побережье,лес
49,0.79,убежище,кладбище
50,0.57,монах,раб
51,0.45,подушка,жемчужина
52,0.44,мальчик,петух
53,0.44,стекло,маг
54,0.44,кладбище,дурд
55,0.39,убежище,монах
56,0.19,убежище,фрукт
57,0.18,оскал,реализация
58,0.14,курган,плита
59,0.11,автомобильный,мастер
60,0.06,автограф,берег
61,0.05,фрукт,печь
62,0.04,полдень,строка
63,0.04,петух,путешествие
64,0.02,шнур,улыбка
