,similarity,word1,word2
0,7.35,тигр,кошка
1,10.0,тигр,тигр
2,5.77,самолёт,автомобиль
3,6.31,поезд,автомобиль
4,6.77,телевизор,радио
5,7.42,сми,радио
6,6.19,хлеб,масло
7,5.92,огурец,картофель
8,7.0,врач,медсестра
9,6.62,профессор,врач
10,6.81,студент,профессор
11,5.81,умный,глупо
12,7.73,древесина,лес
13,9.15,деньга,наличный
14,8.58,король,королева
15,5.92,король,грач
16,6.69,епископ,раввин
17,9.44,бля,секс
18,9.03,футбол,футбол
19,6.81,футбол,баскетбол
20,6.63,футбол,теннис
21,2.5,арафат,джексон
22,7.35,физик,химия
23,8.46,водка,джина
24,8.13,водка,коньяк
25,6.87,пить,есть
26,8.94,автомобиль,автомобильный
27,8.96,камень,жемчужина
28,9.29,путешествие,путешествие
29,8.83,мальчик,хлопец
30,9.1,побережье,берег
31,8.87,убежище,дурд
32,9.02,маг,мастер
33,9.29,полдень,полдень
34,8.79,печь,плита
35,7.52,еда,фрукт
36,7.1,птица,петух
37,7.38,птица,кран
38,4.42,еда,петух
39,8.42,деньга,доллар
40,9.04,деньга,валюта
41,8.0,тигр,ягуар
42,8.0,тигр,кошка
43,7.08,тигр,хищник
44,6.85,тигр,млекопитающее
45,7.0,тигр,животный
46,4.77,тигр,организм
47,5.62,тигр,фауна
48,8.08,психология,психиатрия
49,6.71,психология,наука
50,5.58,психология,дисциплина
51,8.45,планета,звезда
52,8.08,планета,луна
53,8.02,планета,солнце
54,5.85,прецедент,пример
55,6.04,прецедент,антецедент
56,6.85,кубок,посуда
57,2.92,кубок,артефакт
58,3.69,кубок,объект
59,2.15,кубок,сущность
60,7.42,ягуар,кошка
61,7.27,ягуар,автомобиль
62,8.66,миля,километр
63,6.22,кожа,глаз
64,6.5,японский,американский
65,7.59,век,год
66,7.56,объявление,новость
67,5.0,врач,персонал
68,8.13,гарвард,йель
69,4.63,больница,инфраструктура
70,7.88,жизнь,смерть
71,5.0,путешествие,деятельность
72,8.97,тип,вид
73,6.44,улица,место
74,8.88,улица,проспект
75,6.88,улица,блок
76,7.81,клетка,телефон
77,7.63,дивиденд,оплата
78,8.44,расчёт,расчёт
79,7.63,прибыль,потеря
80,7.78,доллар,йена
81,9.22,доллар,бак
82,7.13,телефон,оборудование
83,7.89,жидкость,вода
84,7.47,марафон,спринт
85,8.34,морепродукт,еда
86,8.7,морепродукт,лобстер
87,7.81,лобстер,еда
88,5.7,лобстер,вино
89,8.36,чемпионат,турнир
90,8.3,человек,женщина
91,5.25,человек,губернатор
92,8.53,убийство,непредумышленное убийство
93,6.88,опера,производительность
94,7.44,мексика,бразилия
95,5.56,стекло,металл
96,7.83,алюминий,металл
97,7.59,рок,джаз
98,7.19,музей,театр
99,6.31,душа,гроза
100,5.0,монах,оракул
101,5.0,кубок,еда
102,4.97,журнал,ассоциация
103,4.94,улица,ребёнок
104,4.94,автомобиль,рейс
105,4.88,пространство,химия
106,4.81,ситуация,заключение
107,4.75,слово,сходство
108,4.75,мир,план
109,4.75,потребитель,энергия
110,4.69,министерство,культура
111,4.62,умный,студент
112,4.59,расследование,усилие
113,4.56,изображение,поверхность
114,4.5,жизнь,термин
115,4.47,начать,матч
116,4.47,компьютер,новость
117,4.47,доска,рекомендация
118,4.46,хлопец,брат
119,4.38,наблюдение,архитектура
120,4.38,побережье,холм
121,4.25,развёртывание,отъезд
122,4.25,ориентир,индекс
123,4.25,попытка,мир
124,4.13,потребитель,уверенность
125,4.06,начать,год
126,4.06,фокус,жизнь
127,3.97,развитие,вопрос
128,3.91,театр,история
129,3.88,ситуация,изоляция
130,3.88,прибыль,предупреждение
131,3.88,сми,торговля
132,3.88,шанс,авторитет
133,3.85,прецедент,информация
134,3.78,архитектура,век
135,3.75,население,развитие
136,3.73,акция,жить
137,3.69,мир,атмосфера
138,3.69,мораль,брак
139,3.69,меньшинство,мир
140,3.69,атмосфера,пейзаж
141,3.63,отчёт,получить
142,3.63,музыка,проект
143,3.56,семь,серия
144,3.47,опыт,музыка
145,3.44,школа,центр
146,3.38,пять,месяц
147,3.38,объявление,производство
148,3.31,мораль,значение
149,3.31,деньга,операция
150,3.31,задержка,новость
151,3.25,губернатор,интервью
152,3.19,практика,учреждение
153,3.16,век,народ
154,3.15,побережье,лес
155,3.08,берег,лесна
156,3.04,пить,автомобиль
157,3.0,президент,медаль
158,3.0,предрассудок,признание
159,2.97,зритель,серийный
160,2.94,мир,страхование
161,2.94,марс,вода
162,2.88,сми,получить
163,2.81,прецедент,познание
164,2.75,объявление,усилие
165,2.69,линия,страхование
166,2.69,кран,реализация
167,2.65,пить,мать
168,2.63,опера,промышленность
169,2.56,волонтёр,девиз
170,2.56,листинг,близость
171,2.5,прецедент,коллекция
172,2.4,кубок,статья
173,2.38,знак,перерыв
174,2.38,проблема,аэропорт
175,2.31,причина,гипертония
176,2.25,направление,сочетание
177,2.22,в среда,новость
178,2.08,стекло,маг
179,2.08,кладбище,лесна
180,1.94,возможность,девушка
181,1.92,кубок,вещество
182,1.85,лес,кладбище
183,1.81,акция,яйцо
184,1.81,месяц,отель
185,1.81,энергия,секретарь
186,1.77,прецедент,группа
187,1.75,производство,поход
188,1.62,акция,телефон
189,1.62,святой,секс
190,1.31,акция,компакт-диск
191,1.31,пить,ухо
192,1.19,задержка,расизм
193,0.92,акция,жизнь
194,0.92,акция,ягуар
195,0.92,монах,раб
196,0.92,хлопец,мастер
197,0.88,сахар,подход
198,0.62,петух,путешествие
199,0.54,полдень,строка
200,0.54,аккорд,улыбка
201,0.31,профессор,огурец
202,0.23,король,капуста
203,,нэн,нэн
